Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
b0001,29.144817784944696,-0.9497664943125638,0.3593465980646325,-2.6430373890494927,0.00821659614278866,0.01094054937100898,thrL
b0002,3942.5755137598776,0.8421872167556098,0.17338701303922485,4.857268154017303,1.1901636612466541e-06,2.0964787662296006e-06,thrA
b0003,1554.726244653587,-0.21772022158846926,0.12154693441201697,-1.7912440378828995,0.07325414215601643,0.08822564535452375,thrB
b0004,1907.569973861644,-0.174757041151474,0.12805286513191583,-1.3647257401967936,0.17233926631174656,0.19844034797392318,thrC
b0005,190.27708040054736,1.30595514022193,0.24541410133786362,5.321434803878733,1.0295200746104019e-07,1.9219454488698002e-07,yaaX
b0006,194.74383278114098,-0.14420524687827835,0.1813375497149952,-0.7952310324305308,0.42647912338929084,0.4636604349616345,yaaA
b0007,195.080367985988,-0.41191628070460284,0.16201582705109224,-2.5424446993978167,0.011008001905393087,0.014495131435100318,yaaJ
b0008,7175.768146607686,-2.626681406766039,0.14593528641539816,-17.99894645966096,1.9856016618172742e-72,2.4212239654625045e-71,talB
b0009,707.6002846714963,-0.03290628368899126,0.1367830750268289,-0.2405727732216647,0.8098862543120685,0.8302560064000293,mog
b0010,274.0187784686444,1.3404107580647244,0.17793434334328798,7.5331761866717075,4.952072046476137e-14,1.2853196431950445e-13,satP
b0011,27.866688728400096,0.6662922592847395,0.3451936161926915,1.9301986712083532,0.05358222614693194,0.06562853631018208,yaaW
b0013,3.1375449827914488,2.863635646540738,1.309344272384333,2.1870761624259605,0.02873696449087169,0.03614289076823348,yaaI
b0014,24871.897968694688,-0.7207690558442248,0.16953466017415272,-4.2514554552079336,2.1238575648361812e-05,3.454996674208747e-05,dnaK
b0015,2774.526974714983,-0.22771983548377098,0.16068361435773504,-1.4171938837322333,0.15642624951217998,0.1809693430624484,dnaJ
b0016,4.077412905937742,1.3059555365445528,0.9911304453681945,1.3176424381347747,0.1876233720997691,0.2144684715614603,insL1
b0018,1.6580954371163432,-4.408994957667519,2.40540776673773,-1.832951160562311,0.066809834477744,0.08086249419054965,mokC
b0019,5370.190605576,-1.2904765320181926,0.13441942199047147,-9.60037257197602,7.965596512791588e-22,2.760988649551856e-21,nhaA
b0020,650.8573999363402,-1.252226403506306,0.13954191023709228,-8.973837332301661,2.8636006534870097e-19,9.036250951003453e-19,nhaR
b0021,5.064864559226062,1.1729688199995432,0.8498697496296079,1.3801748097408446,0.1675328280016557,0.1933283473481549,insB1
b0022,7.396604721306552,2.429929820306252,0.7968006921186117,3.049608069296873,0.002291401773065895,0.0032154130076621195,insA1
b0023,1365.3040271098391,-0.06291389836437687,0.14603714047010496,-0.4308075203462086,0.6666083309626287,0.6985027071881675,rpsT
b0024,53.71584567828228,-0.6451442615992713,0.28436100582375134,-2.268750807553183,0.023283483988778022,0.029588307309064914,yaaY
b0025,1179.6147983727915,0.048125765953362765,0.10890692378053471,0.44189812991453203,0.6585629239628813,0.6912241276310451,ribF
b0026,6121.24224917122,-0.0019667011042261936,0.09669781104988238,-0.020338631070062736,0.9837732390158018,0.9854588690026805,ileS
b0027,842.8938055154255,-0.000406273080789558,0.14666055933766683,-0.002770159084516834,0.9977897356623441,0.9982432764512815,lspA
b0028,489.97063978589944,-0.23343947656444716,0.13102516297436043,-1.7816385132841057,0.07480819968047657,0.08990054463375863,fkpB
b0029,849.2254136473321,-0.20115903240772234,0.11518424024896087,-1.7464110712796677,0.08073954751720984,0.09655405818276493,ispH
b0030,243.90278214450302,-0.5785572440245577,0.2167465916755044,-2.669279546922367,0.007601415499885815,0.010145976661763905,rihC
b0031,366.2702880157965,-1.8777858416879047,0.1460775919602702,-12.8547151995675,8.092335119447904e-38,4.632309388271739e-37,dapB
b0032,306.19946870683515,1.4964183961884165,0.23926718708703384,6.254173062368522,3.9962767424140256e-10,8.56873366785511e-10,carA
b0033,1454.0434418598543,-1.4220628272917708,0.18769171012190197,-7.576588365933528,3.547601025514729e-14,9.240556043973867e-14,carB
b0034,77.77703153718765,0.7030559213377886,0.2547355015777928,2.7599447936513273,0.0057811129877619214,0.007815865900530706,caiF
b0035,75.66937083216975,2.952619911848048,0.29871326940862003,9.884461837579298,4.8618706829948987e-23,1.767296015404091e-22,caiE
b0036,72.56225759302178,4.929148445039059,0.4708879572851258,10.467773424187245,1.21466410754447e-25,4.817073334604285e-25,caiD
b0037,68.41791703235738,1.2976045284216062,0.25999631874283347,4.990857311734048,6.01118920501595e-07,1.0769741506096952e-06,caiC
b0038,126.62418638314438,2.0521907169853857,0.2087064327951709,9.832905912389633,8.124010143562203e-23,2.9265051270017035e-22,caiB
