Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
b0985,67.27542915728374,9.302446838039444,1.9518681414270769,4.7659197056406235,1.8799412039615125e-06,3.2761287331110763e-06,gfcC
b1319,61.119702498262505,9.16420414875249,1.9536791862804839,4.690741557317698,2.7221663848666134e-06,4.699206441640326e-06,ompG
b1505,300.23937857986806,9.018848317269132,0.8449758223052846,10.673498672025527,1.3542897660770758e-26,5.509781469751652e-26,ydeT
b1504,45.00031987372552,8.72289082449409,1.9558330347362636,4.459936338926977,8.198400128706154e-06,1.3659862742832888e-05,ydeS
b4205,36.253589753381924,8.411864317268293,1.9581156837126101,4.295897523949811,1.7398794763046043e-05,2.8482519355495976e-05,ytfA
b4417,33.848502581250976,8.311367423807514,1.9601288490356803,4.240214834803558,2.2330596056254787e-05,3.6312997354870174e-05,rybB
b1408,27.83288652728075,8.032601344818532,1.966578117273164,4.084557472833294,4.416089561627886e-05,7.038242668459795e-05,ynbA
b1691,27.742490327907586,8.024446599419587,1.9654213535785978,4.082812362249369,4.449394736090831e-05,7.08619234018518e-05,ydiN
b0294,23.739101853110693,7.797793729869215,1.9661269634213758,3.966068252428524,7.306794712037086e-05,0.00011466848599781551,matA
b2339,42.0929935597082,7.657241597461288,1.4122565943603378,5.421990329547394,5.893907153969731e-08,1.120249537641397e-07,yfcV
b0533,39.85613536283263,7.58001673168816,1.4144098043457072,5.359137576958897,8.362016097507823e-08,1.5737321445587617e-07,sfmH
b2986,20.139647363222824,7.5633110749840515,1.9692940648093333,3.8406204589441697,0.00012272373324335027,0.00018948785469562535,yghT
b1560,286.85975857222684,7.210189251823357,0.4783189202438871,15.074020588913767,2.4004921018222997e-51,1.8869582557538863e-50,ydfU
b4365,29.53862372377873,7.145744242207711,1.4216759306538262,5.026282071837143,5.000801771426587e-07,8.996129708957842e-07,yjjQ
b1409,80.05686882720703,7.102148398210559,0.85859143505634,8.271860291437129,1.3188479383253268e-16,3.7431132330806505e-16,ynbB
b0245,14.264546033164185,7.063765567507617,1.9802612942858577,3.5670876302488277,0.0003609707947569322,0.000540901691503815,ykfI
b0315,1421.1264687528246,7.0558360872428345,0.22799052830949243,30.947935160116312,2.70847347176373e-210,2.483895879729987e-208,pdeL
b3686,5660.756481075489,7.053827015544692,0.5034432069465412,14.011167333704261,1.3319744890251136e-44,9.048382254148997e-44,ibpB
b0691,50.189489523847925,7.006774270505933,1.0499922042977183,6.673167897653465,2.5033970556859524e-11,5.7276267355143254e-11,ybfG
b4631,13.46178849364783,6.982545049642329,1.9815608911128995,3.5237600221917673,0.00042546940391238763,0.0006327419986561927,ykgQ
b0327,121.1757716345182,6.962586159565447,0.6672278959928867,10.435094517750313,1.7144305177329452e-25,6.756421789669136e-25,yahM
b0297,24.507783727101312,6.874440023283921,1.4241969958733405,4.826888445350501,1.3868275158547725e-06,2.4351075886688106e-06,eaeH
b0550,12.314354254011226,6.854309185153849,1.986436642922065,3.450555148374178,0.0005594348565978647,0.0008247261348773611,rusA
b4282,44.39427143162945,6.835477198096879,1.0586662959228026,6.456687271921349,1.0701972783412178e-10,2.3625919855857773e-10,yjhE
