gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1761778_at,yihU,c4826,oxidoreductase yihU,1.50257,1.143342,1.190372,5.854619,6.26263,13.90656
1761779_s_at,Z1841,Z1841,hypothetical protein,1.598045,6.465269,3.888515,9.317889,3.886633,0.8716103
1761780_at,c3514,c3514,oxidoreductase,22.39706,22.21615,25.71477,41.85499,31.10127,65.14577
1761781_s_at,dcuB,b4123,anaerobic C4-dicarboxylate transporter,106.5355,59.77686,128.3473,102.4543,77.19135,51.15341
1761782_s_at,1761782_s_at,,,16.69627,34.14505,24.61987,20.69915,26.49921,46.30072
1761783_s_at,minC,b1176,septum formation inhibitor,2168.31,2470.799,2866.461,2045.666,1572.791,1616.777
1761784_at,c4310,c4310,hypothetical protein,6.53293,0.6794003,1.0446,2.224221,2.074946,5.989189
1761785_s_at,ybfM,b0681,hypothetical protein,42.19172,46.6792,35.35098,21.48245,17.52611,62.40751
1761786_s_at,Z2219,b1490,hypothetical protein,619.1237,767.3099,474.7871,42.64418,62.31213,103.2788
1761787_s_at,fumB,c5127,"fumarate hydratase class I, anaerobic",62.08885,44.9275,46.63358,4.230737,43.46987,27.99909
1761788_s_at,kbl,b3617,2-amino-3-ketobutyrate CoA ligase,732.689,407.8591,676.9289,2354.578,1548.127,1911.073
1761789_s_at,metL,Z5495,bifunctional aspartate kinase II/homoserine dehydrogenase II,37.57469,19.27265,10.53317,24.18995,3.36704,8.528167
1761790_s_at,yaeD,b0200,"D,D-heptose 1,7-bisphosphate phosphatase",5084.712,5115.601,4557.536,6734.564,6347.335,5747.649
1761791_at,c3143,c3143,hypothetical protein,3.19162,0.5085316,9.705626,0.9388582,0.8814169,3.673168
1761792_s_at,1761792_s_at,,,48.81403,38.76484,47.37286,52.00002,43.37235,79.51432
1761793_at,c0956,c0956,secretory protein,4.382564,24.57999,4.257761,53.31035,10.08224,123.1034
1761794_s_at,ycdW,b1033,2-hydroxyacid dehydrogenase ycdW,2658.194,2059.779,2502.332,3516.163,2768.006,2239.895
1761795_s_at,Z5140,Z5140,hypothetical protein,8.623477,2.813797,2.374238,2.044279,1.371997,1.303999
1761796_at,Z1457,Z1457,DNA-binding protein Roi of bacteriophage BP-933W,9.564011,7.288311,6.376362,32.84832,7.928998,3.941517
1761797_at,c5477,c5477,hypothetical protein,44.5106,6.659023,1.092539,49.44384,20.15141,11.18731
1761798_at,yagU,c0399,hypothetical protein,48.34385,57.54744,56.94094,49.28947,60.77948,50.14747
1761799_s_at,yhaC,b3121,hypothetical protein,4.421516,8.355761,12.27123,14.09512,3.434597,0.903199
1761800_s_at,yhfC,c4139,hypothetical protein,121.1717,162.589,144.0024,148.6071,190.9995,244.3161
1761801_s_at,ybgH,c0788,transporter YbgH,160.8558,171.2516,274.7805,130.3703,155.3523,263.1852
1761802_s_at,caiC,Z0043,crotonobetaine/carnitine-CoA ligase,13.05027,9.829114,1.332988,21.74401,13.0057,36.85715
1761803_at,1761803_at,,,8.377533,1.337572,4.829504,2.625241,16.11055,7.542476
1761804_s_at,ybeX,b0658,magnesium and cobalt efflux protein corC,1731.472,2211.484,2146.661,600.7843,620.7791,764.0604
1761805_s_at,ytfE,b4209,iron-sulfur cluster repair di-iron protein,44.35275,43.59323,53.08894,126.6025,170.6339,147.0706
1761806_s_at,hslO,b3401,Hsp33-like chaperonin,563.8928,618.9325,458.8834,4437.851,716.7542,3223.862
1761807_s_at,yicO,Z5153,hypothetical protein,57.36373,76.39662,104.4702,122.5056,125.8356,175.192
1761808_at,appY,b0564,global transcriptional activator; DLP12 prophage,73.75204,100.2621,442.5199,15.66232,4.615996,3.963418
1761809_s_at,Z0328,Z0328,hypothetical protein,6.551973,0.7021971,0.6071674,7.098152,2.162838,6.076644
1761810_s_at,Z5214,Z5214,hypothetical protein,10.75595,4.157455,6.28064,0.3657071,1.360155,15.85661
1761811_s_at,1761811_s_at,,,36.01957,33.6587,34.66012,87.22919,52.64697,50.54468
1761812_s_at,ECs2753,ECs2753,hypothetical protein,25.3651,5.650785,20.60532,39.89258,1.901296,33.39677
1761813_s_at,fabG,Z4865,3-ketoacyl-ACP reductase,1.483722,10.29554,10.73286,2.246914,5.92744,7.187608
1761814_s_at,yeiJ,Z3418,transport system permease,13.89912,16.88245,8.424243,2.840714,6.345562,7.892686
1761815_s_at,dinP,b0231,DNA polymerase IV,152.4055,194.5525,222.0484,184.8879,274.9025,198.9984
1761816_s_at,c1624,c1624,hypothetical protein,76.86634,100.8327,110.6987,130.9766,123.6334,189.3437
1761817_s_at,c4661,c4661,hypothetical protein,60.18366,87.72094,53.05119,13.494,38.04805,49.57796
1761818_at,c4485,c4485,PTS enzyme-II fructose,21.09372,10.53119,20.82644,18.54807,26.7429,23.6681
1761819_s_at,htpG,b0473,heat shock protein 90,660.5215,474.7946,923.5806,6938.768,776.0795,3394.667
1761820_s_at,1761820_s_at,,,363.574,270.5422,386.5131,299.979,303.9103,295.1277
1761821_at,c4924,c4924,hippuricase,95.63293,63.18358,49.95336,65.48589,57.99055,92.18522
1761822_s_at,1761822_s_at,,,144.7138,148.0295,267.6168,154.7502,186.3161,162.2267
1761823_s_at,ykgD,b0305,transcriptional regulator YkgD,87.20676,85.71288,150.4976,115.1981,102.6538,111.646
1761824_at,ECs1538,ECs1538,hypothetical protein,15.94694,23.187,32.95115,26.95637,36.3246,52.68231
1761825_at,c1191,c1191,hypothetical protein,34.59346,3.750832,8.730104,30.41054,3.003392,66.18018
1761826_s_at,terW_2,Z1164,hypothetical protein,18.0477,11.20792,1.898896,18.80135,1.548713,7.171219
1761827_s_at,c4523,c4523,hypothetical protein,22.61677,7.982725,11.41196,20.23719,6.432001,43.99257
