gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1759068_at,c4728,c4728,hypothetical protein,12.807,5.752027,5.375299,11.22907,16.43795,3.233797
1759069_at,mrr,b4351,methylated adenine and cytosine restriction protein,625.7108,749.0485,917.9439,1223.206,816.5143,746.1516
1759070_s_at,1759070_s_at,,,214.7998,203.1238,190.1683,195.2338,141.7441,188.1915
1759071_s_at,yfgF,b2503,hypothetical protein,29.912,29.0215,29.94538,65.29614,106.2686,116.2876
1759072_s_at,c1549,Z0312,replication protein O of bacteriophage,36.38688,20.06378,40.57599,48.90085,10.38757,9.019986
1759073_at,stfP,b1154,e14 prophage; uncharacterized protein,31.39313,1.503988,10.89752,18.37519,26.23874,28.90524
1759074_at,yfbN,b2273,uncharacterized protein,29.97051,31.29064,31.01687,13.9661,2.215731,42.24295
1759075_at,ggt,b3447,gamma-glutamyltranspeptidase,289.7703,232.1361,333.9832,114.8397,106.0019,128.8491
1759076_s_at,1759076_s_at,,,14.14011,9.10797,17.66784,14.46538,11.51301,14.59932
1759077_s_at,Z1340,Z1340,hypothetical protein,0.6504773,11.24113,0.711755,0.8249168,2.207789,11.39426
1759078_at,c2520,c2520,hypothetical protein,5.97069,2.581418,2.869998,1.457452,2.767627,8.895336
1759079_at,c0978,c0978,regulator of late gene expression,20.51345,13.43483,7.712301,22.09716,0.6441065,9.341745
1759080_s_at,c5425,Z5948,restriction modification enzyme R subunit,3.29633,1.385498,1.211066,6.119434,2.570537,4.324697
1759081_s_at,1759081_s_at,,,26.14923,31.39242,25.50194,48.611,43.55908,38.63974
1759082_s_at,1759082_s_at,,,107.6128,99.94778,134.1096,69.01993,76.98154,93.31104
1759083_at,yajO,b0419,2-carboxybenzaldehyde reductase,3587.299,2291.847,2219.877,1115.613,724.4552,745.0493
1759084_s_at,treA,Z1968,trehalase,253.2935,299.7093,273.7495,63.7682,52.57823,107.3812
1759085_at,kdpD,c0780,sensor protein KdpD,34.15269,143.6742,109.5521,37.60468,26.13445,33.89691
1759086_s_at,Z4176,b2855,2-component transcriptional regulator,4.129604,12.69018,2.070014,20.90465,27.22902,22.03773
1759087_s_at,Z1777,Z1777,hypothetical protein,15.99337,0.9076484,15.94623,15.84511,29.12794,59.22158
1759088_s_at,rimO,b0835,ribosomal protein S12 methylthiotransferase,229.4751,360.5002,239.991,208.8283,349.6371,289.9688
1759089_s_at,yfdW,b2374,formyl-coenzyme A transferase,33.40356,39.93235,33.65495,26.14625,33.74121,83.76486
1759090_at,ECs1315,ECs1315,hypothetical protein,0.7010502,0.3308648,3.719566,9.322399,3.880408,5.00888
1759091_at,speF,b0693,"ornithine decarboxylase isozyme, inducible",45.87843,24.49058,38.38628,44.31676,45.91636,77.89462
1759092_s_at,1759092_s_at,,,948.2005,684.7083,698.6828,734.1475,813.4043,750.9521
1759093_s_at,Z3622,Z3622,resolvase,2.053197,0.6186017,3.063325,1.49165,1.256782,3.373343
1759094_s_at,Z3371,Z3371,hypothetical protein,14.17915,1.832761,10.77161,16.8391,10.77572,9.71543
1759095_s_at,c5387,b4309,hypothetical protein,26.29429,39.66798,48.47299,24.67297,28.45109,6.385108
1759096_at,c5174,c5174,iron-regulated outer membrane virulence protein,18.94518,12.29881,13.72867,25.7873,14.55878,2.107208
1759097_at,pgm,c0775,phosphoglucomutase,51.79338,94.96346,115.634,137.9447,69.25439,94.01802
1759098_s_at,Z0275,b1458,hypothetical protein,97.63652,98.33459,117.1649,32.38554,22.7511,75.45034
1759099_at,ECs2180,ECs2180,terminase small subunit,4.011242,1.994816,4.219079,9.068166,2.5982,29.97254
1759100_s_at,Z0404,Z0404,hypothetical protein,129.2128,236.4583,259.4282,94.24685,78.67533,173.3576
1759101_s_at,Z1851,Z1851,hypothetical protein,1.39112,0.9134681,1.168416,1.700535,1.806459,5.551204
1759102_s_at,rnc,b2567,ribonuclease III,2157.253,3177.892,3024.976,3271.167,5121.449,4511.281
1759103_s_at,1759103_s_at,,,71.8286,113.7915,94.02053,677.9517,843.4523,691.0799
1759104_at,c4529,c4529,hypothetical protein,3.029199,8.134578,2.887273,19.73854,2.318849,5.590501
1759105_s_at,slt,b4392,lytic murein transglycosylase,585.8932,609.7153,699.523,467.2752,452.1931,487.8801
1759106_s_at,fkpA,b3347,FKBP-type peptidylprolyl isomerase,2323.202,3397.675,1859.565,4655.683,4942.463,3482.4
1759107_s_at,yecF,b1915,hypothetical protein,127.7181,150.834,187.4748,432.5043,523.593,397.106
1759108_s_at,ydiI,b1686,hypothetical protein,3481.2,3424.245,3323.664,841.4484,1158.733,880.0983
1759109_s_at,yeiP,ECs3063,elongation factor P,278.8194,293.7189,221.7211,851.0268,935.7554,835.1973
1759110_s_at,1759110_s_at,,,452.8207,890.7933,1436.687,913.0964,1615.99,1375.418
1759111_at,kpsM,c3698,KpsM protein,2.568151,1.6007,1.990613,1.915559,2.015575,5.501801
1759112_at,c2457,c2457,amidase,6.01717,3.621005,3.91045,19.6912,22.89609,9.167542
1759113_s_at,ftsK,b0890,DNA translocase FtsK,532.0516,642.8279,750.5789,138.5374,156.823,215.6836
1759114_s_at,yojL,b2214,thiamine biosynthesis lipoprotein ApbE,110.566,114.0475,67.68692,71.67787,75.47643,89.96712
1759115_s_at,mltB,c3255,murein hydrolase B,34.2887,19.15019,50.70369,26.7115,34.95217,34.30469
1759116_at,c5371,c5371,prophage P4 integrase,1.698427,1.244964,1.123271,2.662933,1.127802,2.517633
1759117_s_at,1759117_s_at,,,214.9254,252.3418,254.2698,77.8473,77.20878,130.6629
1759118_s_at,Z3240,Z3240,hypothetical protein,10.80066,1.058481,2.274316,3.146187,20.95238,2.317472
1759119_s_at,1759119_s_at,,,0.6370752,10.50022,17.26235,25.33029,2.711964,3.331864
1759120_s_at,1759120_s_at,,,46.96946,80.90863,47.67808,61.55128,109.606,45.91871
1759121_at,c4753,c4753,hypothetical protein,0.7468633,0.7538004,0.3953006,1.129462,2.009436,1.332749
1759122_s_at,thrA,b0002,bifunctional aspartokinase I/homoserine dehydrogenase I,1492.648,1833.593,1947.044,701.5026,465.2725,525.2139
1759123_at,c3064,c3064,hypothetical protein,1.121281,1.26147,9.157091,20.91038,3.250592,34.68076
1759124_s_at,yohG,b2138,multidrug resistance outer membrane protein MdtQ,11.58091,17.17218,28.49764,52.2128,21.95716,85.01759
1759125_at,c5421,c5421,hypothetical protein,3.471146,13.12989,10.62689,17.04675,6.740444,3.989905
1759126_at,glnE,c3801,bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase,57.15765,10.12673,48.33786,41.1497,20.8709,37.88561
1759127_s_at,yghA,b3003,oxidoreductase,68.68178,42.30061,83.94243,45.76707,53.26869,39.37941
1759128_at,gshB,c3533,glutathione synthetase,3.221011,5.813037,0.7449856,2.287338,1.903842,3.083458
1759129_s_at,yggN,b2958,hypothetical protein,617.1464,1152.607,753.9643,2999.788,3063.107,2880.9
1759130_s_at,ydhL,b1648,hypothetical protein,92.40504,93.79327,129.1652,88.38789,106.7889,182.1325
1759131_s_at,1759131_s_at,,,38.64126,27.41595,36.71582,44.81881,36.23587,67.91472
1759132_at,sokB,b4429,ncRNA,5540.624,6001.705,4978.518,3826.103,3488.513,3766.315
1759133_s_at,ycjW,b1320,LACI-type transcriptional regulator,290.7979,407.5869,682.8524,134.7603,191.1425,166.5795
1759134_s_at,ydgF,b1600,multidrug efflux system protein MdtJ,337.7718,950.9623,491.1505,1523.111,2495.271,2222.687
1759135_s_at,ygjN,b3083,hypothetical protein,41.04403,80.24543,62.55247,339.5683,250.9064,430.5673
1759136_s_at,c2236,b1827,transcriptional regulator kdgR,1180.518,1508.622,1469.125,2853.414,4184.659,3986.153
1759137_s_at,ygfA,b2912,ligase,275.1804,617.2684,877.1855,262.5793,247.4451,457.806
1759138_s_at,yqeA,b2874,carbamate kinase,227.7791,413.6722,430.6335,344.0468,628.4169,911.6013
1759139_s_at,Z0310,Z0310,cII antiterminator protein for prophage CP-933H,1.273326,0.7792804,0.9605544,4.034941,6.61388,15.78169
1759140_s_at,Z2268,Z2268,outer membrane receptor for iron transport,1.393889,0.9918662,12.19889,1.405436,6.568326,3.21696
1759141_x_at,c0270,c0270,hypothetical protein,20.27581,4.113839,7.653936,3.311849,9.696936,3.339757
1759142_at,hrpA,c1840,ATP-dependent RNA helicase HrpA,10.28546,3.275385,0.7083426,20.05091,14.76665,10.8928
1759143_at,ygeV,c3447,sigma-54-dependent transcriptional regulator ygeV,6.085442,1.41416,10.54331,2.604664,5.119925,1.123112
1759144_at,c1487,c1487,hypothetical protein,33.54309,13.70479,21.64173,46.48694,5.051041,60.53095
1759145_at,ycjM,c1780,sucrose phosphorylase,2.94902,1.986545,1.652574,0.4733059,4.458655,2.114862
1759146_at,c3133,c3133,hypothetical protein,11.32765,10.94253,17.53878,37.2821,12.33909,48.71404
1759147_at,ECs3718,ECs3718,EprI,2.814995,7.542555,15.42092,20.70891,13.63089,10.38947
1759148_s_at,Z6073,Z6073,repressor protein encoded by cryptic prophage CP-933P,9.186282,12.68824,15.19031,7.449208,13.05921,21.16058
1759149_at,c3400,c3400,hypothetical protein,33.77682,13.88136,35.60423,36.25447,16.72035,7.870194
1759150_at,yjcS,c5089,hypothetical protein,12.10396,1.44176,1.821842,2.393018,15.46114,10.06953
1759151_s_at,1759151_s_at,,,428.7135,365.4227,293.2559,1719.462,934.1818,978.3462
1759152_at,yabN,c0085,transcriptional regulator SgrR,50.90033,7.868997,27.21296,31.82913,25.71857,38.02229
1759153_s_at,c2531,b2004,hypothetical protein,38.86647,24.92297,37.57104,7.12796,19.95616,12.71563
1759154_at,Z0362,Z0362,hypothetical protein,1.816261,14.94875,3.110014,6.045131,3.841629,9.05399
1759155_s_at,1759155_s_at,,,8.546617,6.616529,7.6094,16.0886,0.5798774,10.04383
1759156_s_at,yjbI,Z5636,hypothetical protein,1.003751,1.343792,0.2697441,10.33249,1.571285,17.93826
1759157_s_at,Z4999,Z4999,hypothetical protein,74.88432,87.78928,128.2777,25.47826,41.46875,60.37831
1759158_s_at,stx1B,Z3343,shiga-like toxin 1 subunit B encoded within prophage CP-933V,19.55262,4.396971,15.21323,2.243841,21.1583,48.86214
1759159_s_at,ghxQ,b2885,"guanine/hypoxanthine permease, high affinity; guanine/hypoxanthine:H+ symporter",217.1891,177.6098,270.8486,90.19902,117.5863,222.8003
1759160_s_at,c0952,c0952,major capsid protein,3.247099,0.9836422,3.256176,37.62263,2.029751,8.390605
1759161_s_at,hycB,b2724,formate hydrogenlyase subunit 2,4.748384,5.805654,4.903036,2.040189,31.47722,62.09738
1759162_at,serB,c5473,phosphoserine phosphatase,157.6473,135.1707,171.4881,233.2311,199.6888,249.1656
1759163_s_at,ygcS,Z4082,metabolite transport protein,398.463,376.5071,680.176,605.7004,629.9708,476.0513
1759164_s_at,grpE,b2614,heat shock protein GrpE,4769.339,3753.124,4147.917,21707.31,6248.355,17071.16
1759165_at,entF,c0673,enterobactin synthase subunit F,31.96902,19.61494,34.73784,22.28747,31.20583,22.68752
1759166_s_at,yaeJ,b0191,peptidyl-tRNA hydrolase domain protein,225.0056,260.2249,238.7522,232.7982,342.1812,294.3729
1759167_at,Z1843,Z1843,hypothetical protein,4.893399,1.77463,2.243305,3.856983,2.139253,5.300993
1759168_at,yhiX,c4327,DNA-binding transcriptional regulator GadX,15.15722,3.237202,5.381822,3.648495,7.057126,2.387147
1759169_at,nrdF,c3229,ribonucleotide-diphosphate reductase subunit beta,2.450242,5.538822,0.9163085,10.01229,5.380972,6.051383
1759170_s_at,pepA,b4260,leucyl aminopeptidase,3085.544,2466.237,2962.091,5034.025,3505.036,3237.492
1759171_s_at,ygiH,b3059,glycerol-3-phosphate acyltransferase PlsY,855.0704,825.9352,866.4324,2098.12,1892.468,1177.229
1759172_s_at,Z1774,Z1774,hypothetical protein,6.914895,4.154492,6.384701,45.25103,32.95998,9.378388
1759173_s_at,yfeK,Z3685,hypothetical protein,345.4256,705.3488,353.6436,3260.875,3188.981,3356.393
1759174_s_at,ypdE,b2384,exoaminopeptidase,66.35445,51.34974,70.35664,51.76323,147.363,162.1036
1759176_s_at,tdcE,b3114,formate acetyltransferase 3,102.2054,107.4506,88.99187,52.55739,64.38867,115.054
1759177_s_at,1759177_s_at,,,16.33074,24.24428,10.43489,72.96223,28.31231,25.80656
1759178_s_at,fruB,b2169,bifunctional PTS system fructose-specific transporter subunit IIA/HPr protein,909.566,667.6117,335.7452,262.8186,205.4724,162.6033
1759179_s_at,osmB,b1283,lipoprotein,484.7434,493.3631,507.5113,1521.331,1380.849,1499.119
1759180_x_at,Z3310,Z3310,Lom-like outer membrane protein of prophage CP-933V,7.637304,6.754687,14.72422,31.66858,104.9991,51.40019
1759181_s_at,yoaF,b1793,hypothetical protein,1113.781,512.9057,419.3093,1200.755,2203.416,1320.589
1759182_s_at,yhcN,b3238,hypothetical protein,48.5926,91.62587,114.3906,1944.514,1974.73,1937.351
1759183_at,Z4187,Z4187,type III secretion apparatus protein,11.1676,5.194454,0.8572091,2.289949,0.8053262,3.409308
1759184_at,yfgA,c3038,cytoskeletal protein RodZ,9.541377,1.0699,0.9055661,4.381767,1.032727,2.643392
1759185_s_at,ybbA,b0495,ABC transporter ATP-binding protein YbbA,341.7051,347.9852,360.4495,2617.537,3648.091,3124.152
1759186_s_at,c0869,c0869,hypothetical protein,31.76874,30.71423,27.92418,46.67883,50.75387,23.36366
1759187_at,ryeA,b4432,ncRNA,1418.918,1135.488,897.6095,2290.471,1443.709,1079.353
1759188_s_at,yadG,Z0138,ABC transporter ATP-binding protein,772.6818,758.0977,660.1803,1122.879,828.9362,717.4514
1759189_s_at,ygcW,b2774,oxidoreductase,11.19332,9.121785,6.018873,25.56206,22.61765,17.73217
1759190_s_at,1759190_s_at,,,59.40227,94.13363,103.0381,123.378,138.3022,149.5907
1759191_s_at,sufI,b3017,repressor protein for FtsI,900.3649,1056.43,1130.534,407.2128,267.1293,399.5725
1759192_at,ruvB,c2274,Holliday junction DNA helicase RuvB,2.636441,3.138119,3.772255,5.097679,4.069827,6.543555
1759193_s_at,yheR,b3351,glutathione-regulated potassium-efflux system ancillary protein KefG,277.9679,316.3305,319.2314,1439.885,864.9002,781.4391
1759194_s_at,1759194_s_at,,,558.4247,747.0686,759.2639,163.7711,216.6468,154.8213
1759195_s_at,ylbA,Z0670,hypothetical protein,4.530947,0.8433673,1.508872,4.292427,2.14097,0.8966238
1759196_s_at,lspA,b0027,lipoprotein signal peptidase,6380.259,5423.742,6368.756,2699.034,2774.103,4310.512
1759197_s_at,1759197_s_at,,,27.83281,40.72325,54.10471,61.94818,78.91117,38.07566
1759198_s_at,nanT,b3224,sialic acid transporter,180.7752,132.9183,132.5448,48.77995,20.11568,5.548883
1759199_s_at,Z6024,Z6024,hypothetical protein,3.521603,12.83237,28.67446,26.53096,2.588897,21.58303
1759200_s_at,1759200_s_at,,,1.362403,6.985926,18.91305,18.02747,11.87189,2.049701
1759201_s_at,ygjE,b3063,tartrate carrier/transporter,55.67199,55.97865,31.13429,50.93667,50.68747,118.9956
1759202_s_at,yebN,b1821,hypothetical protein,66.77286,66.74094,27.94603,116.6822,136.4662,206.9037
1759203_at,ygbE,c3316,hypothetical protein,180.3392,40.23134,208.5984,232.8083,221.7203,164.8355
1759204_at,lacZ,c0459,beta-D-galactosidase,3.730957,11.98874,33.60427,25.50714,19.34636,5.922986
1759205_at,quuQ,b1559,Qin prophage; putative antitermination protein Q,26.90613,26.45893,32.09087,33.76184,57.5075,32.40514
1759206_s_at,yggV,Z4299,deoxyribonucleotide triphosphate pyrophosphatase,66.80566,37.47604,76.95628,17.81381,82.83047,77.616
1759207_at,1759207_at,b1364,,133.5614,236.8976,232.5011,110.0397,162.4324,247.1094
1759208_at,c3149,c3149,hypothetical protein,26.18293,16.46891,5.960831,25.31097,16.79652,2.722117
1759209_s_at,1759209_s_at,,,26.72968,63.67598,33.51622,64.72073,186.4653,119.6134
1759210_s_at,1759210_s_at,,,15.07493,17.98533,21.33405,130.4322,105.3589,104.299
1759211_s_at,matA,b0294,hypothetical protein,18.84599,29.2541,23.28027,3.764641,11.7872,26.78804
1759212_s_at,yajD,b0410,hypothetical protein,2550.923,1933.127,1790.894,2626.772,2151.125,1589.655
1759213_s_at,c2225,c2225,hypothetical protein,101.4336,82.29408,147.6878,83.05437,128.476,227.6089
1759214_at,c0366,c0366,hypothetical protein,0.6148541,10.04526,0.8897603,1.196183,3.077367,1.381419
1759215_s_at,ecnA,b4410,"entericidin A membrane lipoprotein, antidote entericidin B",231.8513,294.1743,491.5887,1083.027,1516.443,1404.399
1759216_s_at,c3891,Z4488,phosphotransferase system enzyme subunit,1.220508,1.17462,3.36545,3.132583,1.68799,3.891598
1759217_s_at,Z1843,ECs1584,hypothetical protein,9.496946,7.300042,2.888983,16.71419,5.796343,31.17838
1759218_s_at,fruK,b2168,1-phosphofructokinase,349.8372,218.6062,265.0573,194.6777,178.258,203.2568
1759219_s_at,frdC,b4152,fumarate reductase subunit C,702.9954,305.3036,431.1581,131.9533,65.26467,127.6569
1759220_s_at,1759220_s_at,,,14.03512,16.70461,8.47845,20.7855,26.72757,21.44821
1759221_s_at,Z1775,Z1775,hypothetical protein,1.585045,0.876585,2.212377,3.520852,12.92992,3.706918
1759222_at,yqiH,c3793,fimbrial chaperone yqiH,2.61554,1.324233,1.390839,1.719336,3.786633,3.363353
1759223_at,ECs1569,ECs1569,hypothetical protein,4.357989,3.698181,4.350229,1.570369,0.5734654,6.158373
1759224_s_at,wcaE,b2055,glycosyl transferase,41.00417,32.56362,42.84845,20.70103,16.17226,26.77038
1759225_s_at,c0974,c0974,phage tail protein,15.48917,4.106271,2.747572,5.489082,2.133006,4.00608
1759226_s_at,yhbG,b3201,ABC transporter ATP-binding protein YhbG,1888.184,2186.464,2517.427,2028.895,2045.842,2242.729
1759227_s_at,yiiE,b3889,hypothetical protein,6.02183,52.77734,29.23656,55.84732,29.97935,39.40397
1759228_s_at,1759228_s_at,,,29.68446,27.73843,44.49031,54.89639,102.8997,64.03224
1759229_s_at,1759229_s_at,,,3.798218,23.03337,29.6086,31.7232,29.39233,34.01583
1759230_s_at,yiaK,b3575,"2,3-diketo-L-gulonate reductase",69.71301,26.46,111.1921,136.9695,97.87413,139.2434
1759231_s_at,ygfY,b2897,hypothetical protein,2537.524,2384.015,2128.612,4498.006,3701.175,3451.92
1759232_s_at,1759232_s_at,,,82.6491,74.62843,78.7512,73.23836,85.1768,83.42425
1759233_at,yafL,b0227,putative lipoprotein and C40 family peptidase,33.40763,20.72484,50.22289,48.5896,32.75449,42.38694
1759234_s_at,c2504,c2504,hypothetical protein,2.428728,2.284869,3.694291,24.16548,1.57455,2.181705
1759235_at,flgF,b1077,flagellar component of cell-proximal portion of basal-body rod,2097.331,2062.838,2416.293,95.11348,57.55794,11.40786
1759236_s_at,c0094,c0094,hypothetical protein,0.2834476,0.2204302,6.582993,0.7085549,0.06672596,0.3588632
1759237_s_at,1759237_s_at,,,23.04691,18.92052,12.41114,70.39198,77.1175,84.13242
1759238_s_at,Z3358,Z3358,repressor protein CI of prophage CP-933V,19.56771,3.198177,29.85865,2.397395,2.310658,21.67543
1759239_s_at,cusC,b0572,copper/silver efflux system outer membrane protein CusC,287.4834,473.1459,452.3458,279.7237,562.0661,295.2645
1759240_s_at,c2985,b2460,ethanolamine utilization protein EutQ,32.95235,33.69739,41.95009,29.84258,28.99489,34.85217
1759241_at,ybgO,b0716,putative fimbrial protein,23.6238,25.99631,65.99438,74.42544,84.58149,125.6279
1759242_s_at,lipB,b0630,lipoate-protein ligase B,1462.622,1722.339,1598.52,2151.547,1984.632,2254.15
1759243_at,nagC,c0751,N-acetylglucosamine repressor,27.26186,31.14091,38.98127,25.12179,2.693732,2.556638
1759244_at,c3635,c3635,hypothetical protein,2.196292,0.9726002,1.724744,2.580265,1.600239,1.840646
1759245_s_at,1759245_s_at,,,518.4861,580.2743,383.7774,726.7488,738.2286,418.6306
1759246_s_at,Z0418,Z0418,permease,4.129752,23.33151,8.374634,39.92555,38.90452,10.0953
1759247_at,lit,b1139,"T4 phage exclusion protein; cell death peptidase, e14 prophage",208.1487,237.1626,225.9188,32.74979,14.69131,51.29672
1759248_at,hsdR,b4350,endonuclease R Type I restriction enzyme,1460.163,1148.295,1418.587,105.5744,198.6526,214.8827
1759249_at,c2460,c2460,polyketide synthase,20.79634,2.126734,1.843041,4.254441,1.241949,3.380686
1759250_at,c2963,c2963,hypothetical protein,1.575835,1.190872,13.76528,7.487532,6.992141,8.950708
1759251_s_at,Z0255,Z0255,hypothetical protein,18.97658,14.48759,12.00579,5.048828,2.491833,2.967155
1759252_s_at,1759252_s_at,,,282.5471,431.5946,364.3464,984.3805,713.8052,755.5175
1759253_at,perM,c3009,permease PerM,23.86213,53.52197,21.4547,4.235974,22.80592,28.95579
1759254_at,c4973,c4973,hypothetical protein,12276.68,9157.056,10545.81,351.26,289.609,325.2405
1759255_at,yhcE,b3217,pseudo,77.38068,129.1204,154.235,174.666,112.916,71.63718
1759256_s_at,Z2189,b1516,LACI-type transcriptional regulator,202.934,146.9034,174.1135,21.19147,30.33086,25.29074
1759257_s_at,c0488,c0488,hypothetical protein,2.973702,16.37808,11.23229,24.24856,26.17608,47.2689
1759258_s_at,Z5932,ECs5291,invasin,15.76043,0.8108609,12.34317,20.72494,16.44368,40.91
1759259_at,sgcE,b4301,putative epimerase,54.38421,62.49049,58.59824,42.06084,53.77966,15.50804
1759260_s_at,ydeF,b1534,MFS-type transporter YdeE,257.4472,212.6916,332.4403,3.49527,20.5854,19.2522
1759261_at,chuW,c4314,coproporphyrinogen III oxidase,3.828665,16.93884,1.435969,6.145886,7.567035,25.33947
1759262_at,Z2562,Z2562,transposase (partial),2.727408,2.49042,4.524936,5.273832,2.270178,33.84715
1759263_at,1759263_at,,,2.816183,8.818868,6.014383,15.23122,1.981539,15.55581
1759264_s_at,yeiA,b2147,dihydropyrimidine dehydrogenase,71.85139,78.57805,57.53056,98.9362,74.53958,146.069
1759265_s_at,ybeM,b0626,pseudo,383.5731,432.4045,378.7993,320.8268,262.7415,327.4023
1759266_at,yagH,b0271,CP4-6 prophage; putative xylosidase/arabinosidase,81.68844,50.60556,117.217,78.32833,96.54674,121.6436
1759267_at,Z0341,Z0341,hypothetical protein,4.80005,1.566732,0.7454982,17.43443,3.908045,4.574232
1759268_at,c4577,c4577,hypothetical protein,1.329796,8.244925,10.2129,15.3215,19.64157,32.87242
1759269_at,ykfF,b0249,CP4-6 prophage; uncharacterized protein,25.71838,9.240298,4.778633,74.45174,195.6258,178.2675
1759270_s_at,gltD,Z4577,glutamate synthase,30.92017,14.26587,35.19973,71.79948,31.42051,62.31769
1759271_at,c3766,c3766,hypothetical protein,9.512527,0.4211767,0.573801,3.165305,10.74325,10.8226
1759272_at,Z4104,Z4104,hypothetical protein,3.475024,3.51466,15.90778,2.597026,1.939754,25.06619
1759273_at,yjbB,c4979,hypothetical protein,153.4331,98.66232,87.81759,48.41491,78.11371,108.8141
1759274_s_at,1759274_s_at,,,120.8824,145.9553,112.1547,239.713,235.1048,258.2961
1759275_at,ECs1567,ECs1567,hypothetical protein,0.8824736,11.03091,0.8889717,0.3389412,1.103696,7.927808
1759276_s_at,ygeN,b2858,pseudo,1.161212,4.60322,0.9178776,11.75046,22.02953,23.58041
1759277_at,ECs4946,ECs4946,DNA transposition protein,30.11494,40.00285,7.220674,40.65527,5.373638,51.29987
1759278_at,ECs5541,ECs5541,hypothetical protein,4.742147,2.039307,2.712189,27.78902,20.56516,1.124427
1759279_at,Z1447,Z1447,repressor protein CI of bacteriophage BP-933W,0.7449334,1.878545,1.117583,1.703938,0.4446548,1.621585
1759280_s_at,Z3231,Z3231,hypothetical protein,4.65785,8.912923,6.371179,5.930255,20.12003,31.38153
1759281_at,entE,c0681,enterobactin synthase subunit E,17.56814,23.70678,31.64768,8.927816,9.759497,51.33113
1759282_at,c2470,c2470,peptide/polyketide synthase,3.683833,1.861632,1.529267,3.546354,3.727021,13.76968
1759283_s_at,1759283_s_at,,,47.2725,47.35353,41.36369,55.27191,60.08418,45.16568
1759284_at,ECs4990,ECs4990,tail fiber assembly protein,9.470032,0.7487664,6.331305,1.138985,1.042134,4.331022
1759285_s_at,1759285_s_at,,,12.10812,1.321126,1.988491,35.64561,24.66768,8.150799
1759286_s_at,Z2390,Z2390,hypothetical protein,0.8241644,10.11104,1.020603,2.716449,1.023959,3.286877
1759287_s_at,narX,b1222,nitrate/nitrite sensor protein NarX,231.6041,198.7317,257.3411,224.9516,310.5752,272.2243
1759288_s_at,1759288_s_at,,,91.3054,82.25788,117.8398,172.6289,203.3722,216.3141
1759289_s_at,ycjO,b1311,ABC transporter permease,31.84318,42.52113,22.70511,52.22002,40.89402,71.30814
1759290_at,c1426,c1426,cryptic prophage antitermination protein Q,0.7027778,3.992722,15.00941,6.550664,4.208636,8.178003
1759291_s_at,nfnB,b0578,dihydropteridine reductase,1486.367,1667.482,1456.497,839.6921,1005.731,553.6457
1759292_x_at,c1443,c1443,hypothetical protein,28.38582,22.49928,19.76632,25.62009,55.04545,23.53044
1759293_s_at,talB,b0008,transaldolase B,17482.19,14247.23,16406.26,4706.523,3697.275,3134.33
1759294_at,c1507,c1507,hypothetical protein,20.21989,10.32565,5.289196,21.55693,19.76036,25.58585
1759295_s_at,c1802,b1328,transcriptional regulator YcjZ,240.6935,298.3785,269.4079,411.6844,409.2033,335.2071
1759296_s_at,ybdO,b0603,LysR family transcriptional regulator,31.14092,43.90261,45.47688,22.99776,9.829626,30.95735
1759297_s_at,1759297_s_at,,,990.8521,570.0275,664.3405,1231.526,1203.279,3169.759
1759298_s_at,ydhV,b1673,oxidoreductase,21.34497,23.38797,34.18953,11.69927,5.830923,3.484752
1759299_s_at,tesA,b0494,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,1148.446,1061.044,1308.661,856.0433,678.511,950.7093
1759300_at,c1893,c1893,hypothetical protein,9.490721,1.065706,11.69454,1.123087,0.7952864,16.81335
1759301_s_at,Z1339,Z1339,hypothetical protein,10.27365,1.307224,3.707736,28.76564,20.07631,52.17015
1759302_s_at,cheW,b1887,purine-binding chemotaxis protein,5269.836,4923.258,5174.983,242.0784,504.2607,453.5994
1759303_s_at,ccrB,b0624,camphor resistance protein CrcB,336.7753,422.0085,421.2409,611.5722,751.8522,700.0363
1759304_s_at,yciU,Z2024,dsDNA-mimic protein,743.7014,625.3725,705.1606,619.2158,658.5447,618.6223
1759305_s_at,yfiL,b2602,hypothetical protein,132.7832,156.3278,179.7838,176.3824,207.6589,253.7477
1759306_at,priC,c0586,primosomal replication protein N'',43.08091,29.1216,47.1795,112.0779,143.8613,128.3023
1759307_s_at,1759307_s_at,,,60.57877,84.84456,123.8598,105.2799,133.7959,189.5479
1759308_s_at,xisN,Z1765,excisionase for prophage,9.82046,1.212029,3.4626,0.9096841,19.22734,19.50954
1759309_s_at,dps,b0812,DNA starvation/stationary phase protection protein Dps,15882.37,9084.092,10208.93,9468.271,5941.116,3846.334
1759310_at,ucpA,c2960,short chain dehydrogenase,3.353539,1.065475,5.919805,20.30833,5.227684,14.77153
1759311_s_at,1759311_s_at,,,63.84079,110.8278,93.63957,145.6673,254.8632,151.8907
1759312_at,c1220,c1220,phospho-2-dehydro-3-deoxyheptonate aldolase,10.74751,15.10092,16.28744,17.53869,26.48798,9.969574
1759313_s_at,menC,b2261,O-succinylbenzoate synthase,1416.138,776.1618,999.3277,286.3766,245.622,529.1014
1759314_s_at,nrdF,b2676,ribonucleotide-diphosphate reductase subunit beta,465.7473,938.1849,876.7223,21.99303,30.41063,11.85609
