antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,locus_tag,gene_title
aminoglycoside,gentamicin,gentamicin_vs_control,upregulated,ycfR,1759494_s_at,3490.1204116666668,6.746981145080264,107.40974977726168,3.5175235230473705e-05,0.007979306694059458,14.155401520599057,BH_from_pvalue,b1112,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,upregulated,ibpB,1762978_s_at,5487.727246333333,9.884243572671606,945.0478530549722,0.006682593986109896,0.04817508432924422,13.0193034010438,BH_from_pvalue,b3686,heat shock chaperone IbpB
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,1765833_s_at,1765833_s_at,4608.790063333333,-6.6238738716677625,0.010139470526223394,0.00028058179340310473,0.012085143236535414,12.702922180142142,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,entE,1768256_at,828.6026233333333,-6.157110528211537,0.014012803900202958,0.00010199200121878418,0.009213578304790698,12.533239752915064,BH_from_pvalue,b0594,"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex"
aminoglycoside,gentamicin,gentamicin_vs_control,upregulated,c1934,1761434_s_at,1813.9316216666666,5.769237022371264,54.53978176523979,1.3700923882608276e-05,0.006992951549683264,12.434664328046575,BH_from_pvalue,b1505,outer membrane usher protein fimD
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,fliK,1759897_s_at,2596.5292533333336,-6.911035745243109,0.008309424374192258,0.0007713715616960798,0.017936585197707477,12.068466906365904,BH_from_pvalue,b1943,flagellar hook-length control protein
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,murD,1767514_s_at,1144.065405,-5.7883311721181,0.01809417108460322,0.00011649893099926684,0.00907802356977493,11.81982257726795,BH_from_pvalue,b0088,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,hsdS,1762689_at,143.00175316666667,-5.655235330697369,0.01984287209249676,7.040094431391083e-05,0.008356428366934905,11.751461983975725,BH_from_pvalue,b4348,specificity determinant for hsdM and hsdR
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,flhE,1769102_s_at,2680.569411666667,-5.776168276313916,0.018247362039781313,0.00012443786596233122,0.009271983472580125,11.741952857102266,BH_from_pvalue,b1878,flagellar protein
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,fepC,1762805_s_at,1485.3186983333333,-6.178002474646577,0.013811343982329964,3.8077863955992653e-06,0.012956627842092434,11.661029190372549,BH_from_pvalue,b0588,iron-enterobactin transporter ATP-binding protein
aminoglycoside,gentamicin,gentamicin_vs_control,upregulated,puuD,1761141_s_at,1765.65701,5.456319846630684,43.905197973068994,2.4500729762745827e-05,0.00781573279431592,11.496631225738206,BH_from_pvalue,b1298,gamma-glutamyl-gamma-aminobutyrate hydrolase
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,dppB,1766155_s_at,2066.66649,-5.540146794471101,0.021490654119391314,8.694212835344173e-05,0.009056175981958502,11.318825422199627,BH_from_pvalue,b3543,dipeptide transporter permease DppB
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,gatD,1767932_s_at,1143.4665066666666,-5.336191624568377,0.024754049690416103,3.878596503877382e-05,0.008080145532975576,11.166412229396169,BH_from_pvalue,b2091,galactitol-1-phosphate dehydrogenase
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,c2785,1765922_s_at,347.18955916666664,-6.9085397796698,0.00832381271532333,0.001629976037470371,0.02465006724518155,11.110188571293596,BH_from_pvalue,c2785,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,upregulated,isrB,1763216_s_at,3691.9995333333336,6.3769377862393535,83.10928655133864,0.0008582555193263179,0.018252234044339694,11.087479513011816,BH_from_pvalue,b4434,ncRNA
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,arnA,1766084_at,1249.6149916666666,-4.941061650758291,0.03255309103394002,6.3039389896206505e-06,0.0058500553823679635,11.032600207158504,BH_from_pvalue,b2255,fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,fliI,1766980_s_at,2116.264503333333,-6.322063009728118,0.012498831106637309,0.0008916805893593496,0.018463033379675944,10.960541326945027,BH_from_pvalue,b1941,flagellum-specific ATP synthase
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,c4973,1759254_at,5490.9425833333335,-5.038623534511514,0.030424481053077948,1.6126713577424117e-05,0.006859228841597724,10.90219423449039,BH_from_pvalue,c4973,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,dppF,1760364_s_at,1655.1014716666666,-5.318392767901092,0.025061337671669574,0.00014038475331882324,0.009490381204493694,10.757599968620084,BH_from_pvalue,b3540,dipeptide transporter ATP-binding subunit
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,nuoG,1766000_s_at,599.6664783333333,-6.079270637942903,0.01478962581342144,0.0006647031990434395,0.017134571353119774,10.736762528344162,BH_from_pvalue,b2283,NADH dehydrogenase subunit G
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,flgF,1761549_s_at,7265.0800833333315,-4.836144174855166,0.03500866419909416,1.2281742623511482e-05,0.00696511270560029,10.431910470198549,BH_from_pvalue,c1346,flagellar basal body rod protein FlgF
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,Z1026,1763150_s_at,590.4223933333334,-5.927568920799671,0.01642948512318178,0.000847217456820837,0.018168898737872065,10.317949665661924,BH_from_pvalue,b0805,catecholate siderophore receptor Fiu
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,flgH,1768045_s_at,2836.3595000000005,-5.323918525237953,0.024965532252733562,0.0002619762890764768,0.011677964885994215,10.28917975244941,BH_from_pvalue,b1079,flagellar basal body L-ring protein
aminoglycoside,gentamicin,gentamicin_vs_control,downregulated,murF,1759615_s_at,939.3033700000002,-4.757457812851758,0.03697111046321752,1.2826492334471139e-05,0.006891201776330599,10.2842205013444,BH_from_pvalue,b0086,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
