Gene_id	MMC_1_readcount	MMC_1_fpkm
b0001	36	76.15211776
b0002	493	27.9451167
b0003	367	54.91713101
b0004	721	78.21321497
b0005	101	47.4775549
b0006	329	59.11508241
b0007	147	14.3417161
b0008	16032	2346.187679
b0009	715	169.7665551
b0010	291	71.65283038
b0011	26	5.083918226
b0013	5	1.723607604
b0014	40071	2918.310435
b0015	4041	498.8266706
b0016	6	0.752626501
b0018	1	0.664820076
b0019	4877	583.452251
b0020	1289	198.6315081
b0021	1	0.277008365
b0022	12	6.070096344
b0023	6282	3322.136137
b0024	23	14.66247016
b0025	1995	295.6755528
b0026	5273	261.3330545
b0027	612	172.6114669
b0028	360	111.6897727
b0029	765	112.3063566
b0030	296	45.16417039
b0031	344	58.42652344
b0032	3141	381.6553265
b0033	6081	263.4953088
b0034	113	39.83883939
b0035	15	3.543457256
b0036	10	1.776236844
b0037	91	8.17549012
b0038	135	15.47426038
b0039	237	28.94846471
b0040	9	0.8293795
b0041	12	2.172952777
b0042	11	1.630291268
b0043	16	1.735660804
b0044	0	0
b0045	11	1.152953735
b0046	49	12.8832365
b0047	221	16.56162089
b0048	873	253.9197177
b0049	668	110.6298461
b0050	188	69.43676346
b0051	1283	217.9105511
b0052	675	95.19014721
b0053	3723	403.8665733
b0054	7148	423.7571632
b0055	789	134.9926941
b0058	449	94.97861355
b0059	2213	106.2820206
b0060	5013	297.5663428
b0061	25	5.014806606
b0062	97	9.010236156
b0063	76	6.237817994
b0064	494	78.462383
b0065	394	71.90485368
b0066	108	21.57098615
b0067	238	20.62551669
b0068	609	86.40634094
b0069	294	24.78622674
b0070	239	28.30137371
b0071	67	15.43567404
b0072	93	9.267620327
b0073	56	7.159600815
b0074	46	4.08534474
b0075	1	1.604738114
b0076	59	8.716529882
b0077	142	11.49271574
b0078	28	7.945410661
b0080	1798	249.7738947
b0081	1489	452.903245
b0082	1976	292.8595951
b0083	242	92.31190232
b0084	1567	123.8100409
b0085	1717	161.0982357
b0086	1490	153.0700528
b0087	1146	147.7337021
b0088	1569	166.3261707
b0089	1010	113.2597093
b0090	1469	192.0321584
b0091	2380	225.1199687
b0092	1397	211.7679323
b0093	943	158.4287841
b0094	1965	217.2114048
b0095	5644	684.002905
b0096	24074	3661.246716
b0097	1532	416.9316077
b0098	8091	417.4436212
b0099	276	98.80249125
b0101	129	90.959474
b0102	371	69.61845712
b0103	343	77.1127054
b0104	1292	172.7768036
b0106	74	8.587950105
b0107	170	17.12415347
b0108	8	2.532647908
b0109	1065	166.3165659
b0110	338	85.48719017
b0111	651	106.3012311
b0112	274	27.84115514
b0113	4625	844.0607824
b0114	45532	2386.194975
b0115	17671	1303.268604
b0116	14136	1384.953182
b0117	41	3.087433038
b0118	26203	1408.10581
b0119	856	329.223297
b0120	1141	200.3742621
b0121	1482	238.6451026
