Gene_id	ERY_1_readcount	ERY_1_fpkm
b3853	0	0
b3854	1	0.059368975
b3855	0	0
b3856	4	1.306567207
b3857	537	158.3157434
b3858	128	81.76207231
b3859	616	107.6388984
b3860	1192	327.8796022
b3861	12	1.446263071
b3862	58	10.72141322
b3863	2462	152.3550187
b3864	11	17.40491361
b3865	2141	583.3358158
b3866	655	221.50157
b3867	1545	193.9310889
b3868	371	45.37958102
b3869	125	20.53177039
b3870	1113	136.1387431
b3871	4909	464.166596
b3872	88	21.34611065
b3873	152	26.72269565
b3874	23	3.133284391
b3875	0	0
b3876	12	1.474075823
b3877	8	0.995479776
b3878	6	0.508002566
b3879	4	0.744193619
b3880	30	4.165866456
b3881	17	3.335536759
b3882	12	2.307249114
b3883	58	11.15170405
b3884	215	47.17605257
b3885	525	150.9085124
b3886	264	52.15493014
b3887	149	58.67023703
b3888	441	76.82615175
b3889	5	4.048518105
b3890	37	29.13823853
b3891	1454	269.6417536
b3892	2030	550.4838816
b3893	3847	734.7508901
b3894	21460	1213.090481
b3895	334	69.06946643
b3896	15	2.449813512
b3897	22	2.169394607
b3898	66	10.62821055
b3899	11	1.306567207
b3900	0	0
b3901	0	0
b3902	7	1.463355271
b3903	6	0.821270816
b3904	4	0.469297609
b3905	28	5.76950107
b3906	44	8.93821241
b3907	62	10.33134881
b3908	5254	1459.164157
b3909	33	5.783949951
b3910	160	40.88103615
b3911	1161	145.7307406
b3912	625	154.2085759
b3915	685	130.8303509
b3916	3094	554.1147453
b3917	48	8.362030122
b3918	47	10.72214676
b3919	6088	1367.159261
b3920	100	28.74447854
b3921	209	81.73600022
b3922	84	48.29072396
b3923	297	119.4001416
b3924	640	147.7627813
b3925	732	124.8721561
b3926	3690	421.7380749
b3927	1828	372.6589133
b3928	2396	1679.799283
b3929	1311	465.2347083
b3930	188	34.97710011
b3931	1945	251.8378864
b3932	643	208.8440645
b3933	741	133.1228663
b3934	800	134.4770926
b3935	470	36.86195066
b3936	3062	2479.312487
b3937	98	27.75328963
b3938	498	270.0896286
b3939	181	26.88760009
b3940	840	59.54466579
b3941	124	24.0021235
b3942	3191	252.3346108
b3943	217	41.30829036
b3944	8	2.232580858
b3945	304	47.4908776
b3946	39	10.14511007
b3947	29	1.999016494
b3949	33	5.269821067
b3950	5	2.686399864
b3951	60	4.503051469
b3952	16	3.139328715
b3953	11	5.54718007
b3954	71	14.37223927
b3955	337	33.51864799
b3956	3751	243.9378711
b3957	385	57.63866792
b3958	31	5.319873641
b3959	97	21.53061327
b3960	1159	145.4796971
b3961	1179	221.50157
b3962	3480	428.3973676
b3963	904	240.6019315
b3964	1129	540.8752713
b3965	732	114.6646229
b3966	631	58.98460475
b3967	5	1.005051697
b3968	0	0
b3969	0	0
b3970	0	0
b3971	0	0
b3972	218	36.53817098
b3973	525	93.73199526
b3974	465	84.32922728
b3976	1	2.269300938
b3977	41	83.18990261
b3978	7	16.09690799
b3979	11	24.96231032
b3980	186	27.07074941
b3981	2655	1192.446727
b3982	3117	984.5773585
b3983	8626	3467.830377
b3984	20078	4911.75864
b3985	17567	6083.7862
b3986	11030	5197.567186
b3987	18916	809.7253256
b3988	25826	1054.481396
b3989	15	4.790746424
b3990	376	57.18478271
b3991	332	74.26589009
b3992	147	33.53522497
b3993	97	26.30390961
b3994	418	38.02275959
b3995	1164	420.8625538
b3996	607	135.255027
b3997	1285	208.0938306
b3998	600	153.9882779
b3999	784	228.7885399
b4000	2479	1566.100271
b4001	125	30.9746536
b4002	17	6.882480778
b4003	82	10.11608258
b4004	186	24.19218556
b4005	256	34.22598376
b4006	273	29.61223639
b4007	0	0
b4008	0	0
b4009	0	0
b4010	0	0
b4011	0	0
b4012	0	0
b4013	65	12.05413616
b4014	28405	3058.00342
b4015	31304	4137.090374
b4016	6720	667.2293465
b4017	15	1.182900352
b4018	1673	349.7419099
b4019	1804	84.45446139
b4020	526	55.58674895
b4021	437	109.2290185
b4022	249	49.19158184
b4023	328	207.2129442
b4024	154	19.67399865
b4025	3244	339.0803215
b4026	25	17.74350527
b4027	1	0.269901207
b4028	1	0.233694948
b4029	92	7.56650079
b4030	37	15.52621469
b4031	52	6.076068636
b4032	249	48.19781251
b4033	276	30.80961584
b4034	1147	166.0952992
b4035	522	80.66998817
b4036	1645	211.5645065
b4037	496	92.88118149
b4038	1	0.109087205
b4039	713	246.9254603
b4040	1450	286.4570027
b4041	2806	199.6460564
b4042	352	164.5212431
b4043	1553	439.8046816
b4044	316	39.492414
b4045	3691	3031.31058
b4046	576	192.5211586
b4047	0	0
b4048	4	0.974389103
b4049	756	125.6117097
b4050	243	172.4668713
b4051	623	109.1939642
b4052	1536	187.0827078
b4053	645	103.0010481
b4054	242	34.95559702
b4055	1182	285.5123835
b4056	930	384.638346
b4057	814	393.2437905
b4058	4418	269.910959
b4059	2731	877.1080548
b4060	140	85.62185099
b4061	194	21.08290676
b4062	477	253.9095605
b4063	57	21.14110035
b4064	143	18.26871303
b4065	780	81.52979369
b4066	7	0.933695359
b4067	2501	261.4179667
b4068	441	241.4536198
b4069	7948	699.7277656
b4070	81	9.721514664
b4071	17	5.170964394
b4072	24	6.159531117
b4073	32	5.766917326
b4074	20	2.079166622
b4075	1	0.449132477
b4076	7	2.022224621
b4077	1023	134.2721532
b4078	714	178.465719
b4079	254	20.39412724
b4080	17	1.9985936
b4081	7	0.58833728
b4082	1	0.167119061
b4083	2	0.17368265
b4084	47	8.716067688
b4085	19	4.708147348
b4086	15	2.637108123
b4087	47	5.287634018
b4088	112	20.63706152
b4089	755	146.1419616
b4090	31	11.88105113
b4092	152	34.53882007
b4093	38	15.06607151
b4094	4	1.236321658
b4095	7	1.061801318
b4096	7	1.772787223
b4097	5	1.136145397
b4098	4	0.8154462
b4099	5	0.809703621
b4100	0	0
b4101	1	0.38072157
b4102	0	0
b4104	0	0
b4105	3	0.508751833
b4106	2	0.437178381
b4107	494	191.8888162
b4108	204	104.712029
b4109	92	7.118417298
b4110	14	2.746912625
b4111	940	107.8635123
b4112	181	28.58654185
b4113	136	35.06052988
b4114	25	2.6226714
b4115	26	3.35137418
b4116	2	0.452668953
b4117	103	7.832490186
b4118	210	39.84383165
b4119	483	61.43178379
b4120	180	21.83124953
b4121	46	12.59281917
b4122	25	2.617894221
b4123	25	3.215266056
b4124	62	14.85131391
b4125	244	25.78548811
b4126	29	21.65168514
b4127	247	156.041455
b4128	1	0.580696536
b4129	1922	218.3671453
b4130	42	4.968181477
b4131	18	1.445253111
b4132	3	0.387566003
b4133	23	2.577477608
b4134	3	6.807902813
b4135	1051	314.6921557
b4136	922	93.64808911
b4137	105	53.41894243
b4138	4550	602.7068082
b4139	21262	2551.83759
b4140	413	149.3266621
b4141	151	20.71797738
b4142	921	540.2788722
b4143	6239	653.3216818
b4144	1334	649.9175318
b4145	5	0.991188915
b4146	900	150.84566
b4147	3824	1163.162814
b4148	439	238.0910581
b4149	540	174.4047013
b4150	119	18.09837538
b4151	137	65.63322601
b4152	115	50.08507625
b4153	254	59.60079633
b4154	1102	105.0627375
b4155	113	19.92715384
b4156	75	8.606131301
b4157	4	2.190055508
b4158	15	8.212708156
b4159	505	26.20209687
b4160	1167	207.70778
b4161	1342	219.8010838
b4162	370	116.8731545
b4163	145	329.048636
b4164	0	0
b4165	7	15.88510656
b4166	365	55.21965615
b4167	1533	170.7956807
b4168	161	60.1020915
b4169	1068	137.6641394
b4170	1575	146.9888107
b4171	5220	946.6635836
b4172	2813	1570.062488
b4173	3465	466.5087502
b4174	5935	812.3737151
b4175	13457	2309.339987
b4176	11	9.581492848
b4177	5728	760.5005686
b4178	342	138.4593192
b4179	2915	205.8726166
b4180	1808	425.9837476
b4181	2	0.858044136
b4182	3	0.740201164
b4183	1	0.261313441
b4184	0	0
b4185	1	0.269901207
b4186	12	1.778008982
b4187	2253	238.9716242
b4188	1537	960.4405114
b4189	1895	990.3779426
b4190	90	20.69602455
b4191	143	32.62270184
b4192	27	4.372399553
b4193	28	3.4542721
b4194	5	2.818086132
b4195	18	6.676136952
b4196	55	14.57093382
b4197	33	6.656616084
b4198	53	13.30530448
b4199	41	25.6200787
b4200	7178	3126.179803
b4201	1128	617.5956533
b4202	563	425.8721427
b4203	6538	2505.75201
b4204	2	0.433878921
b4205	1	0.429022068
b4206	444	119.8361359
b4207	1427	396.3127622
b4208	4065	496.1626551
b4209	30	7.803930827
b4210	278	49.6333232
b4211	97	19.43006564
b4212	105	47.53024011
b4213	518	45.95567866
b4214	1585	368.9068704
b4215	8	1.469366315
b4216	1269	394.3431705
b4217	12337	10278.85889
b4218	728	93.41955527
b4219	752	202.9657077
b4220	368	36.60196576
b4221	773	35.26901891
b4222	278	140.192369
b4224	19	13.00345458
b4225	117	57.48895709
b4226	5208	1691.539483
b4227	1007	181.4776796
b4230	144	24.20587667
b4231	284	49.17730064
b4232	2605	449.7259256
b4233	2639	331.2518728
b4234	743	232.1429082
b4235	1359	173.2316911
b4236	260	122.5174495
b4237	140	51.92550963
b4238	955	77.00133804
b4239	136	14.16394595
b4240	193	23.40795088
b4241	130	23.65052032
b4242	311	19.88772598
b4243	2192	976.8666197
b4244	28	10.45253765
b4245	34	6.264822247
b4246	47	60.04402185
b4248	99	43.11671782
b4249	50	12.07751199
b4251	53	15.38845821
b4252	104	39.59504329
b4253	13	1.235299904
b4254	4	0.686435309
b4255	1874	775.0669467
b4256	82	28.0600862
b4257	13	1.87307379
b4258	4485	270.8382065
b4259	397	154.210243
b4260	2903	331.1318302
b4261	545	85.37188451
b4262	1168	186.0030523
b4263	862	98.91313575
b4264	26	4.48862728
b4265	49	6.402179312
b4266	8	1.803575124
b4267	14	2.339666858
b4268	11	3.363715574
b4269	660	111.5962108
b4270	1	2.029022015
b4271	273	37.19072343
b4272	1	0.47122096
b4273	1	0.190360785
b4277	2	1.045253765
b4278	150	19.46578683
b4279	81	11.46947173
b4280	103	15.8749667
b4281	8	5.972878659
b4282	2	1.385276074
b4284	0	0
b4286	2	1.045253765
b4287	168	37.72712809
b4288	149	26.8522088
b4289	328	56.62575954
b4290	624	119.1797649
b4291	2169	160.8949006
b4292	426	77.01350855
b4293	436	144.052789
b4294	6	3.74927981
b4295	804	140.489731
b4296	15	1.91629857
b4297	125	10.95445067
b4298	20	3.807215701
b4299	26	5.683318952
b4300	32	7.048454509
b4301	30	8.173785368
b4302	24	9.581492848
b4303	64	13.67767009
b4304	105	13.7815993
b4305	200	30.7427578
b4306	711	164.1552148
b4307	637	201.2113498
b4308	10	1.389741106
b4309	1	0.175807208
b4310	45	7.010848426
b4311	1	0.240539569
b4312	14	4.004205966
b4313	65	18.77780005
b4314	4698	1475.864046
b4315	693	221.3324848
b4316	321	76.25601333
b4317	317	20.73265005
b4318	23	7.470316458
b4319	45	15.39882779
b4320	165	31.51388013
b4321	102	13.08900362
b4322	295	42.93479074
b4323	472	55.71824999
b4324	489	108.961628
b4325	1	0.207541361
b4326	24	10.53232802
b4327	87	16.4524318
b4328	300	44.10917424
b4329	0	0
b4330	11	2.773590035
b4331	148	45.99116567
b4332	30	4.388470007
b4333	9	1.802789595
b4334	22	4.94045725
