Gene_id	CHL_5_readcount	CHL_5_fpkm
b3581	22	3.829012722
b3582	28	3.752602269
b3583	32	5.305403208
b3584	40	6.229015912
b3585	241	28.52266386
b3586	18	1.826794508
b3587	12	4.273797029
b3588	14023	1051.429048
b3589	6	0.601002707
b3590	2700	168.8671021
b3591	1519	125.9204293
b3592	531	100.6131823
b3593	4	0.111652172
b3594	32	4.380261723
b3595	5	0.610542433
b3596	2	0.499534718
b3597	375	38.05821892
b3598	35	11.12600053
b3599	2333	140.6534737
b3600	1813	182.0771439
b3601	261	51.22014908
b3602	722	229.5134966
b3603	699	48.70734983
b3604	170	25.24675465
b3605	885	85.74507137
b3606	90	21.90997211
b3607	2464	345.8967989
b3608	4740	536.2358272
b3609	2844	701.2314663
b3610	916	419.4426512
b3611	1735	463.4398653
b3612	1940	144.8941672
b3613	570	52.20137799
b3614	330	39.66617867
b3615	41	4.571104648
b3616	5900	663.5632229
b3617	5827	561.7311719
b3618	293	39.40560407
b3619	1827	225.961558
b3620	995	109.6614682
b3621	361	43.39239546
b3622	159	14.56143702
b3623	435	46.73719376
b3624	226	30.60881393
b3625	251	41.43565445
b3626	290	32.904455
b3627	375	42.4237205
b3628	420	44.8748688
b3629	348	42.90234709
b3630	266	38.46417326
b3631	919	94.26286726
b3632	1056	117.7338173
b3633	1060	95.70897571
b3634	460	110.5844981
b3635	134	19.08962673
b3636	101	69.37288391
b3637	6501	3165.260637
b3638	839	144.7149837
b3639	1182	111.7067636
b3640	651	164.7380052
b3641	538	103.9885689
b3642	45	8.088260732
b3643	731	117.8099608
b3644	2963	395.7268936
b3645	423	59.16489196
b3646	198	36.97041896
b3647	504	34.5560487
b3648	2722	503.3628827
b3649	1755	733.7459138
b3650	2722	148.9324034
b3651	294	49.16724756
b3652	732	40.57028073
b3653	1198	114.6270636
b3654	1315	109.0094565
b3655	802	54.11976658
b3656	179	8.906968969
b3657	25	2.085909613
b3658	8	9.717264823
b3659	2	0.194755308
b3660	257	32.09510561
b3661	236	33.25108018
b3662	158	15.30815963
b3663	167	42.53984724
b3664	47	4.062508187
b3665	241	15.73831198
b3666	55	4.559330882
b3667	63	5.507370262
b3668	165	12.66784149
b3669	352	68.72786288
b3670	121	47.9810821
b3671	1761	120.3115615
b3672	127	148.028788
b3673	1919	186.8677177
b3674	240	55.6108529
b3675	17	5.4040574
b3676	203	67.3123032
b3677	97	24.87349871
b3678	67	5.174898812
b3679	32	2.151841861
b3680	45	5.808348311
b3683	7	0.499534718
b3684	25	4.023449086
b3685	612	42.49110836
b3686	69	18.55963605
b3687	254	70.79637687
b3688	3146	1090.164766
b3689	589	54.46009146
b3690	27	2.925444163
b3691	63	5.622373353
b3693	275	36.1011865
b3696	57	10.01122318
b3697	914	129.7278759
b3698	152	43.95905515
b3699	13748	656.901185
b3700	257	27.61254896
b3701	1750	183.4122703
b3702	3006	247.0583436
b3703	1725	1411.716997
b3704	327	104.8148721
b3705	6481	454.0734187
b3706	1038	87.74903701
b3707	2313	3558.70531
b3708	51102	4164.39869
b3709	3624	335.0821247
b3710	104	10.20478066
b3711	123	14.7846666
b3712	424	65.23523784
b3713	677	137.7790756
b3714	599	51.65928202
b3715	110	19.05882459
b3716	25	6.16413033
b3717	69	13.54095895
b3718	15	2.39403568
b3719	17	1.67664345
b3720	6	0.428172615
b3721	12	0.979978936
b3722	20	1.228887325
b3723	11	1.516508623
b3724	351	55.78894551
b3725	310	46.21664229
b3726	223	28.88050719
b3727	146	17.54927905
b3728	339	37.57739117
b3729	8819	556.0910557
b3730	3827	322.1058885
b3731	10012	2750.737876
b3732	20310	1694.592969
b3733	8010	1069.784819
b3734	19244	1440.086673
b3735	2722	588.1993236
b3736	4866	1192.144376
b3737	2037	979.3940116
b3738	2858	404.156644
b3739	1117	338.3030042
b3740	255	47.15559702
b3741	3317	202.5169249
b3742	2468	641.4160784
b3743	110	27.65398077
b3744	4121	478.8847674
b3745	913	72.55741774
b3746	964	74.30754112
b3747	691	42.66250999
b3748	3270	898.4131897
b3749	2959	226.724081
b3750	2468	294.812359
b3751	9111	1179.956507
