Gene_id	TET_3_readcount	TET_3_fpkm
b0001	104	269.6904904
b0002	4637	322.2173438
b0003	1814	332.7605766
b0004	3519	467.9688539
b0005	146	84.13421281
b0006	170	37.44588781
b0007	136	16.26580284
b0008	11262	2020.427995
b0009	674	196.1818383
b0010	367	110.7794576
b0011	23	5.513226735
b0013	2	0.845183873
b0014	12578	1122.963671
b0015	1889	285.8548612
b0016	4	0.615093385
b0018	2	1.629997469
b0019	1960	287.4494252
b0020	462	87.27503006
b0021	2	0.679165612
b0022	9	5.580969596
b0023	8264	5357.505319
b0024	34	26.57119162
b0025	1971	358.1062912
b0026	7450	452.6324176
b0027	992	342.9909826
b0028	795	302.3645306
b0029	1410	253.7551265
b0030	111	20.76242678
b0031	411	85.57486714
b0032	67	9.980010615
b0033	222	11.79243979
b0034	59	25.49958162
b0035	5	1.447967295
b0036	8	1.741982028
b0037	68	7.489177562
b0038	100	14.05170232
b0039	260	38.93169809
b0040	22	2.485342676
b0041	3	0.665952273
b0042	19	3.452064704
b0043	12	1.595801718
b0044	1	0.594269911
b0045	10	1.284907915
b0046	25	8.057897094
b0047	320	29.39769993
b0048	400	142.6247786
b0049	667	135.4174054
b0050	196	88.74430666
b0051	1177	245.0647655
b0052	675	116.6930006
b0053	3801	505.4701943
b0054	4987	362.4304564
b0055	544	114.0998229
b0058	652	169.075192
b0059	1775	104.5031917
b0060	1604	116.7194616
b0061	25	6.147619766
b0062	85	9.679126689
b0063	51	5.131473515
b0064	443	86.25635072
b0065	319	71.36832057
b0066	72	17.62915718
b0067	142	15.08582388
b0068	275	47.83148062
b0069	314	32.45230469
b0070	231	33.53315404
b0071	779	220.0093119
b0072	963	117.6425368
b0073	490	76.79795769
b0074	638	69.46153338
b0075	6	11.80342995
b0076	108	19.55996963
b0077	223	22.12544391
b0078	88	30.6121476
b0080	1339	228.0293475
b0081	703	262.1312924
b0082	1025	186.2298064
b0083	169	79.02815599
b0084	797	77.19656945
b0085	848	97.53694534
b0086	802	101.0022714
b0087	769	121.5273736
b0088	1120	145.548749
b0089	958	131.6959401
b0090	1005	161.053823
b0091	1400	162.3371463
b0092	1029	191.21941
b0093	953	196.2764101
b0094	1746	236.6012954
b0095	4595	682.6675599
b0096	17580	3277.573343
b0097	950	316.9439524
b0098	5221	330.2190549
b0099	226	99.17907679
b0101	316	273.1480608
b0102	471	108.3488237
b0103	372	102.5244785
b0104	1192	195.4123403
b0106	95	13.51556505
b0107	192	23.7090541
b0108	12	4.657135627
b0109	749	143.3905492
b0110	245	75.96319728
b0111	402	80.47040138
b0112	245	30.51796572
b0113	620	138.7095886
b0114	5533	355.4697747
b0115	3449	311.8306569
b0116	4449	534.3474862
b0117	35	3.230982039
b0118	18929	1246.995119
b0119	927	437.0683297
b0120	586	126.1556532
b0121	996	196.6149197
b0122	392	192.7893559
b0123	413	45.57372035
b0124	849	60.77211393
b0125	1040	331.4631725
b0126	1253	323.4549277
b0127	889	164.1338876
b0128	707	156.9427524
b0129	211	81.8879681
b0130	304	42.30042213
b0131	2574	1156.271433
b0132	237	44.9196977
b0133	1112	223.3785264
b0134	1074	231.2136033
b0135	34	4.696602878
b0136	5	1.43341486
b0137	14	3.953954257
b0138	17	5.104465759
b0139	23	1.515182405
b0140	2	0.461942603
b0141	12	3.51076378
b0142	56	19.967469
b0143	1669	204.3268287
b0144	220	40.61805992
b0145	15987	6000.374566
b0146	3267	793.1151516
b0147	97	31.26464073
b0148	1078	75.92568459
b0149	2198	148.3972844
b0150	2675	204.0220763
b0151	288	61.76832515
b0152	179	34.38361665
b0153	485	41.85961731
b0154	1799	240.3578236
b0155	1191	143.3469293
b0156	2313	1147.447349
b0157	198	54.30712722
b0158	93	19.87131746
b0159	1252	306.5514554
b0160	622	70.12854725
b0161	841	101.0083695
b0162	365	53.94615977
b0163	1784	788.9693177
b0164	112	23.57782317
b0166	3478	721.5257889
b0167	879	56.28156245
b0168	1734	373.3001751
b0169	27034	6373.088039
b0170	16919	3398.688209
b0171	933	219.9486255
b0172	5852	1794.92517
b0173	1010	144.4120565
b0174	3030	680.55603
b0175	1737	346.4884481
b0176	3089	390.7476195
b0177	9193	646.6829047
b0178	5423	1909.763393
b0179	3191	532.2990274
b0180	1075	403.477992
b0181	1713	371.5836436
b0182	966	143.8908993
b0183	397	113.8131399
b0184	3485	171.2480115
b0185	2332	415.7512295
b0186	541	43.22689367
b0187	127	55.73337501
b0188	566	74.57332533
b0189	288	193.2985234
b0190	294	92.15754923
b0191	136	55.02686492
b0192	771	185.5927498
b0193	116	24.06468991
b0194	3869	385.2113566
b0195	160	38.67790605
b0196	227	95.92836958
b0197	1037	217.5027873
b0198	233	60.97536405
b0199	172	28.52495571
b0200	8	2.377079643
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	41	8.727784957
b0208	326	60.97793812
b0209	700	149.5690562
b0210	220	60.34125247
b0211	7059	888.9963019
b0212	245	55.46519167
b0213	203	48.05448971
b0214	542	198.2118718
b0215	507	118.542234
b0216	14	31.11813351
b0217	48	10.45189217
b0218	1	0.47941102
b0219	374	83.02205009
b0220	956	345.1880717
b0221	1244	87.0798648
b0222	1704	503.6945548
b0223	680	151.5388272
b0224	3533	816.0216076
b0225	402	246.6028429
b0226	738	483.940628
b0227	36	8.215187246
b0228	96	32.99271986
b0229	59	5.894824473
b0230	35	7.923598809
b0231	867	140.5178216
b0232	783	455.8171495
b0233	456	195.5996963
b0234	1084	409.5503575
b0235	216	178.5910271
b0236	539	184.1311513
b0237	2613	306.7313139
b0238	753	280.7750543
b0239	808	111.0754902
b0240	2940	1251.692087
b0241	15	2.43110418
b0242	1161	179.9862695
b0243	1234	168.4200734
b0244	92	207.1812573
b0245	1	0.50043782
b0246	0	0
b0247	5	1.794022372
b0248	2	0.745750476
b0249	10	7.131238928
b0250	475	173.7096662
b0251	8	3.083778996
b0252	10	2.082113556
b0253	395	78.24553824
b0254	86	16.4640684
b0256	0	0
b0258	304	46.95804984
b0259	0	0
b0260	78	9.508318571
b0261	352	64.57096084
b0262	80	13.07734359
b0263	14	6.885334138
b0264	0	0
b0265	0	0
b0266	47	26.03248386
b0267	8	1.185452705
b0268	80	15.06268289
b0269	250	21.7415821
b0270	32	3.96008062
b0271	37	3.930813264
b0272	106	23.90233443
b0273	90	15.32684188
