Gene_id	CIP_1_readcount	CIP_1_fpkm
b1804	1048	159.4509879
b1805	3676	374.1906778
b1806	600	176.9307413
b1807	439	108.2505999
b1808	1196	107.4101997
b1809	497	247.2363509
b1810	587	335.8086493
b1811	180	171.622819
b1812	208	26.20965225
b1813	135	40.0156832
b1814	6439	809.5819281
b1815	209	22.43225089
b1816	1595	175.8114299
b1817	3657	645.7043716
b1818	2044	437.9488666
b1819	3047	613.7731568
b1820	75	28.04294429
b1821	138	41.77063321
b1822	720	152.5536169
b1823	2771	2264.60396
b1824	2491	2968.836404
b1825	603	359.3352774
b1826	33	39.33022936
b1827	601	130.2339826
b1828	141	17.61194868
b1829	2658	517.2034615
b1830	5738	480.6109008
b1831	3783	928.825643
b1832	873	300.8568695
b1833	396	52.93040213
b1834	921	60.00934561
b1835	40	4.767300529
b1836	650	470.6954953
b1837	214	191.2879337
b1838	242	63.21571112
b1839	216	108.3933594
b1840	419	82.37108955
b1841	372	170.2498365
b1842	39	28.97528114
b1843	255	66.61159643
b1844	263	68.07964013
b1845	654	54.45964272
b1846	1366	355.2072285
b1847	4249	2042.648062
b1848	3678	2169.170888
b1849	92	13.39211141
b1850	871	232.8403043
b1851	341	32.29767179
b1852	734	85.34630703
b1853	241	47.54149355
b1854	2880	342.5320297
b1855	874	154.3192838
b1856	1256	162.931414
b1857	447	82.22443742
b1858	297	67.42325034
b1859	295	64.41314455
b1860	1437	243.9386656
b1861	1054	295.5726328
b1862	13	3.69999444
b1863	433	142.3614572
b1864	861	199.4159881
b1865	456	172.759394
b1866	3222	311.8830925
b1867	156	47.21897667
b1868	49	10.26803191
b1869	349	151.2534441
b1870	225	51.90206221
b1871	643	113.5323793
b1872	95	6.709534078
b1873	28	4.364613018
b1874	786	180.5830465
b1875	146	44.19211919
b1876	1612	159.5478571
b1877	23	8.072238932
b1878	3	1.310097855
b1879	63	5.200691486
b1880	19	2.83797525
b1881	60	15.9649134
b1882	13	5.720760635
b1883	54	8.826316408
b1884	54	10.7638005
b1885	150	16.06955234
b1886	188	19.41341154
b1887	59	20.09076651
b1888	191	16.68191269
b1889	120	22.21654615
b1890	175	33.82206456
b1891	242	71.73181728
b1892	252	123.2163829
b1893	0	0
b1894	0	0
b1895	82	32.80436168
b1896	1188	143.0792344
b1897	938	200.9765347
b1900	368	41.68791908
b1901	877	152.0335478
b1902	277	94.32444618
b1904	10	5.297000588
b1905	568	195.7465085
b1906	61	43.62079984
b1907	239	33.84311366
b1908	846	218.0073647
b1909	4	7.890704324
b1910	0	0
b1911	76	171.622819
b1912	854	266.9688296
b1913	1247	116.7559494
b1914	529	138.1864099
b1915	180	137.2982552
b1916	245	58.15711019
b1917	421	95.95379391
b1918	269	69.00827851
b1919	744	129.3691767
b1920	938	200.9765347
b1921	28	8.705505314
b1922	73	17.40064693
b1923	2001	229.4036479
b1924	93	11.343939
b1925	16	6.681180303
b1926	7	3.282403643
b1927	2857	329.5204261
b1928	583	241.6814094
b1929	505	71.86527663
b1930	36	26.40351062
b1931	55	14.10949932
b1932	17	6.078308174
b1936	9	9.534601058
b1937	5	2.724171731
b1938	21	2.172440747
b1939	18	3.101617212
b1940	10	2.498148749
b1941	21	2.623056186
b1942	1	0.386537881
b1943	11	1.673626781
b1944	7	2.583569319
b1945	17	2.903072561
b1946	3	1.243643616
b1947	2	0.937829612
b1948	5	1.162756227
b1949	1	0.635640071
b1950	3	0.655048928
b1951	54	14.85197472
b1952	106	96.25406782
b1953	604	454.6499241
b1954	22	43.39887378
b1955	796	167.4163774
b1956	763	77.25558167
b1957	150	140.6744418
b1958	332	62.06838336
b1959	173	32.23751107
b1960	59	21.49839984
b1961	430	52.00691486
b1962	250	61.64612753
b1963	30	14.06744418
b1967	1354	272.7433063
b1968	94	11.87089403
b1969	94	24.00676338
b1970	19	7.876409569
b1971	318	54.30453379
b1972	91	24.55609518
b1973	22	5.799849491
b1974	58	18.7459953
b1975	67	127.7636542
b1976	2115	454.8649903
b1977	58	130.9753093
b1978	462	11.20386356
b1981	275	35.83619988
b1982	600	70.77229651
b1983	309	73.96297222
b1984	7	15.80736491
b1985	124	14.30190159
b1986	93	210.0121338
b1987	39	7.038159771
b1988	88	16.45186065
b1989	56	126.4589193
b1990	677	124.5323135
b1991	207	32.89437365
b1992	90	20.76082488
