Gene_id	ETH_4_readcount	ETH_4_fpkm
b0001	41	74.39011311
b0002	4596	223.4554267
b0003	1910	245.1472475
b0004	2518	234.2893118
b0005	125	50.39980563
b0006	301	46.38961569
b0007	173	14.47710643
b0008	7576	950.970159
b0009	594	120.9718763
b0010	166	35.05906479
b0011	24	4.025208006
b0013	1	0.29567886
b0014	34989	2185.670624
b0015	3937	416.8483701
b0016	1	0.107592038
b0018	2	1.140475602
b0019	10322	1059.176403
b0020	1308	172.8840167
b0021	2	0.475198167
b0022	2	0.867753175
b0023	1446	655.9030705
b0024	83	45.38467977
b0025	1375	174.7942304
b0026	7032	298.9284932
b0027	685	165.7145609
b0028	549	146.0949246
b0029	1205	151.733623
b0030	156	20.4163829
b0031	777	113.1942846
b0032	113	11.7769739
b0033	720	26.75976272
b0034	53	16.02713819
b0035	20	4.052451377
b0036	7	1.066475276
b0037	44	3.39060314
b0038	58	5.702378009
b0039	114	11.94356339
b0040	6	0.474257181
b0041	5	0.776588445
b0042	8	1.016984613
b0043	9	0.837412155
b0044	2	0.831596793
b0045	8	0.719218848
b0046	86	19.39452859
b0047	514	33.03889867
b0048	628	156.6728358
b0049	709	100.7149539
b0050	149	47.20301796
b0051	899	130.9673898
b0052	540	65.3181481
b0053	5219	485.6060042
b0054	7959	404.7090267
b0055	416	61.04898809
b0058	683	123.9230421
b0059	2798	115.2598304
b0060	953	48.52112716
b0061	44	7.570398391
b0062	149	11.87141769
b0063	100	7.03997285
b0064	553	75.33756065
b0065	357	55.88330448
b0066	149	25.52609555
b0067	217	16.13019031
b0068	401	48.80053375
b0069	174	12.58242104
b0070	157	15.94634461
b0071	275	54.34196865
b0072	399	34.10437212
b0073	260	28.51189004
b0074	199	15.15918429
b0075	4	5.505744284
b0076	36	4.561902407
b0077	185	12.84274699
b0078	42	10.2225557
b0080	1922	229.0143096
b0081	975	254.3707837
b0082	1490	189.4133842
b0083	190	62.16526845
b0084	1423	96.4369904
b0085	1852	149.0436059
b0086	1539	135.6108571
b0087	1047	115.7693308
b0088	1876	170.5777403
b0089	1156	111.1895008
b0090	1200	134.5504923
b0091	1834	148.7949774
b0092	1246	162.0069739
b0093	1369	197.2775757
b0094	2874	272.4951087
b0095	6682	694.5912213
b0096	21773	2840.212858
b0097	767	179.0413306
b0098	4794	212.1512209
b0099	95	29.16985674
b0101	127	76.80930378
b0102	466	75.00466558
b0103	334	64.406569
b0104	610	69.96883361
b0106	37	3.683082055
b0107	67	5.788777675
b0108	2	0.54308362
b0109	641	85.86097357
b0110	320	69.42025402
b0111	583	81.65405141
b0112	498	43.40281602
b0113	424	66.37120757
b0114	10559	474.6394885
b0115	9459	598.3701348
b0116	6200	521.0172749
