Gene_id	ERY_4_readcount	ERY_4_fpkm
b0001	51	119.3920802
b0002	3937	246.9734575
b0003	1979	327.7279106
b0004	2034	244.1865171
b0005	80	41.61815434
b0006	187	37.18517815
b0007	85	9.177588279
b0008	21398	3465.565306
b0009	780	204.9587932
b0010	150	40.87497301
b0011	13	2.813159907
b0013	6	2.288998488
b0014	9633	776.4057197
b0015	1166	159.288794
b0016	1	0.138820663
b0018	0	0
b0019	2360	312.4571201
b0020	542	92.43157803
b0021	0	0
b0022	6	3.358856478
b0023	2754	1611.793083
b0024	34	23.98744991
b0025	2828	463.8502351
b0026	10208	559.8904929
b0027	1254	391.4187415
b0028	1068	366.6975578
b0029	1885	306.252834
b0030	224	37.82476191
b0031	800	150.3721635
b0032	80	10.75769525
b0033	195	9.351006395
b0034	17	6.632893347
b0035	4	1.04573535
b0036	9	1.769168679
b0037	83	8.252325632
b0038	121	15.34925711
b0039	215	29.06307136
b0040	5	0.509925406
b0041	3	0.601196101
b0042	18	2.952370662
b0043	10	1.200523683
b0044	1	0.536484021
b0045	5	0.579982725
b0046	63	18.3313862
b0047	460	38.14997481
b0048	1250	402.3630155
b0049	992	181.8165347
b0050	321	131.2086634
b0051	1289	242.2871484
b0052	927	144.675109
b0053	7793	935.568106
b0054	6156	403.8843065
b0055	998	188.9686068
b0058	346	80.99933287
b0059	1653	87.85714786
b0060	501	32.91165237
b0061	121	26.86119993
b0062	509	52.32486066
b0063	405	36.78747571
b0064	286	50.27203165
b0065	455	91.89655696
b0066	70	15.47284386
b0067	136	13.04345507
b0068	376	59.03941223
b0069	268	25.00482044
b0070	219	28.69984746
b0071	239	60.936086
b0072	719	79.29394657
b0073	759	107.391131
b0074	1213	119.2223115
b0075	2	3.551894206
b0076	24	3.923997409
b0077	294	26.33343478
b0078	73	22.92487815
b0080	1717	263.9693555
b0081	616	207.3563337
b0082	920	150.8989449
b0083	138	58.25688776
b0084	484	42.32121144
b0085	832	86.39123327
b0086	1353	153.8252461
b0087	1019	145.3767669
b0088	1363	159.9040117
b0089	760	94.31776904
b0090	836	120.9439932
b0091	1055	110.4371984
b0092	849	142.4286437
b0093	868	161.3867887
b0094	1614	197.4465086
b0095	5832	782.1937022
b0096	15340	2581.855648
b0097	1372	413.224464
b0098	6631	378.6173525
b0099	223	88.34653781
b0101	267	208.3508851
b0102	574	119.2032882
b0103	896	222.9285484
b0104	435	64.37808249
b0106	57	7.320799405
b0107	100	11.14771991
b0108	7	2.45249838
b0109	459	79.32762379
b0110	298	83.41160253
b0111	743	134.2678324
b0112	349	39.24532889
b0113	1168	235.9014913
b0114	10358	600.7461067
b0115	7470	609.7043121
b0116	11812	1280.730796
b0117	33	2.750131679
b0118	18620	1107.36249
b0119	353	150.2509958
b0120	497	96.59141735
b0121	1017	181.2387817
b0122	815	361.8492223
b0123	794	79.09663055
b0124	1387	89.62850731
b0125	1042	299.8076512
b0126	3628	845.4793964
b0127	1105	184.1754852
b0128	1078	216.029799
b0129	211	73.92530833
b0130	204	25.62561722
b0131	2991	1212.943904
b0132	64	10.95069044
b0133	1163	210.9062252
b0134	1076	209.1194468
b0135	6	0.748219845
b0136	6	1.552838171
b0137	7	1.78473892
b0138	7	1.897459273
b0139	3	0.178415009
b0140	0	0
b0141	0	0
b0142	27	8.691041136
b0143	1925	212.7516031
b0144	217	36.16839845
b0145	3598	1219.117583
b0146	988	216.5295166
b0147	53	15.42164236
b0148	1073	68.22487161
b0149	1317	80.27070735
b0150	2067	142.3203171
b0151	532	103.004932
b0152	172	29.82634394
b0153	582	45.34710319
b0154	2305	278.0168246
b0155	519	56.39194061
b0156	1010	452.3260056
b0157	269	66.60655457
b0158	180	34.72076359
b0159	2395	529.3923006
b0160	252	25.64944947
b0161	1656	179.5538604
b0162	309	41.22865801
b0163	751	299.8321857
b0164	44	8.362023998
b0166	2983	558.6612947
b0167	863	49.88398221
b0168	1415	275.0037335
b0169	26521	5644.202068
b0170	9126	1654.970087
b0171	871	185.3663135
b0172	9393	2600.874532
b0173	1124	145.084641
b0174	2930	594.1032494
b0175	1569	282.5432487
b0176	2864	327.0577885
b0177	10785	684.9002413
b0178	6845	2176.138146
b0179	4574	688.8078346
b0180	1537	520.7848041
b0181	2281	446.6810834
b0182	808	108.652722
b0183	280	72.46578129
b0184	2529	112.1875422
b0185	2844	457.7281665
b0186	651	46.95813076
b0187	192	76.06518054
b0188	1063	126.4367699
b0189	180	109.0640456
b0190	268	75.83879607
b0191	100	36.52657162
b0192	878	190.7981651
b0193	37	6.929422697
b0194	6695	601.7609246
b0195	389	84.89177657
b0196	753	287.2693103
b0197	1230	232.8971808
b0198	373	88.12119181
b0199	420	62.88091778
b0200	3	0.804726031
b0201	1	0.10019935
b0202	0	0
b0203	0	0
