Gene_id	ERY_2_readcount	ERY_2_fpkm
b0001	39	96.87701299
b0002	3572	237.764552
b0003	1816	319.1054846
b0004	1816	231.3328805
b0005	67	36.98438673
b0006	185	39.03469388
b0007	79	9.050811621
b0008	19425	3338.20283
b0009	597	166.4550875
b0010	146	42.21529857
b0011	25	5.740396159
b0013	1	0.404804233
b0014	11855	1013.863559
b0015	1313	190.3277833
b0016	5	0.736503658
b0018	1	0.780693878
b0019	2260	317.4955564
b0020	569	102.9636992
b0021	0	0
b0022	1	0.594006211
b0023	2328	1445.703117
b0024	17	12.72637965
b0025	2672	465.0349773
b0026	9912	576.8654313
b0027	1151	381.2151862
b0028	863	314.4114476
b0029	1641	282.8968635
b0030	213	38.16441218
b0031	765	152.5772159
b0032	69	9.845303992
b0033	178	9.057212025
b0034	30	12.42012987
b0035	9	2.496635243
b0036	10	2.085823337
b0037	54	5.696955323
b0038	131	17.63291344
b0039	210	30.12125984
b0040	0	0
b0041	2	0.425280712
b0042	3	0.522120109
b0043	14	1.783403264
b0044	1	0.569255952
b0045	3	0.369247104
b0046	60	18.52493947
b0047	453	39.86441684
b0048	1163	397.2268036
b0049	1074	208.8703406
b0050	271	117.5378005
b0051	1227	244.7218874
b0052	898	148.710355
b0053	7736	985.457689
b0054	5436	378.4326552
b0055	825	165.7539391
b0058	355	88.18292208
b0059	1592	89.78382427
b0060	498	34.71299563
b0061	83	19.55099754
b0062	415	45.26777873
b0063	311	29.97478962
b0064	241	44.94984886
b0065	468	100.2962017
b0066	82	19.23254445
b0067	161	16.38439479
b0068	357	59.48030488
b0069	248	24.55225673
b0070	190	26.42042894
b0071	198	53.5664215
b0072	732	85.65900276
b0073	757	113.6510126
b0074	989	103.143964
b0075	2	3.768866995
b0076	26	4.510675737
b0077	271	25.75610932
b0078	61	20.32660279
b0080	1562	254.8091599
b0081	632	225.7378898
b0082	925	160.9870337
b0083	151	67.63880562
b0084	508	47.13323309
b0085	836	92.10928572
b0086	1202	145.0057017
b0087	940	142.2982192
b0088	1269	157.9704719
b0089	711	93.62682961
b0090	760	116.6654896
b0091	999	110.9632578
b0092	860	153.0872034
b0093	837	165.1294379
b0094	1357	176.1475331
b0095	5307	755.2603349
b0096	14430	2577.055182
b0097	1271	406.1890894
b0098	6399	387.68981
b0099	193	81.13210989
