Gene_id	IPM_2_readcount	IPM_2_fpkm
b4133	68	6.738819963
b4134	3	6.020342835
b4135	1065	281.9945307
b4136	1238	111.1978831
b4137	230	103.4764924
b4138	8450	989.8269761
b4139	27733	2943.429542
b4140	1384	442.5183373
b4141	108	13.10394431
b4142	1240	643.2620281
b4143	7970	738.0372519
b4144	771	332.1732662
b4145	11	1.928355023
b4146	1109	164.3727164
b4147	1810	486.8655852
b4148	541	259.4679413
b4149	277	79.11376864
b4150	113	15.19773788
b4151	480	203.3538024
b4152	428	164.8398247
b4153	960	199.2037248
b4154	4922	414.9699069
b4155	273	42.57330373
b4156	118	11.97392649
b4157	8	3.87340576
b4158	11	5.32593292
b4159	1262	57.90444464
b4160	1523	239.7119513
b4161	1678	243.0396584
b4162	666	186.0352094
b4163	250	501.6952362
b4164	0	0
b4165	13	26.08815228
b4166	1318	176.3291524
b4167	1188	117.0466653
b4168	215	70.97575896
b4169	1128	128.5779648
b4170	2393	197.4941758
b4171	7312	1172.652211
b4172	3202	1580.434163
b4173	5921	704.9519111
b4174	6172	747.083136
b4175	3185	483.3446722
b4176	11	8.473075101
b4177	24372	2861.512051
b4178	523	187.2430258
b4179	8621	538.4254087
b4180	1062	221.2722727
b4181	2	0.758782845
b4182	4	0.872763101
b4183	3	0.693251599
b4184	0	0
b4185	0	0
b4186	12	1.572323215
b4187	2575	241.5295393
b4188	1371	757.6034324
b4189	3358	1551.959247
b4190	124	25.2158715
b4191	193	38.93579749
b4192	22	3.150551868
b4193	21	2.291003139
b4194	2	0.996832365
b4195	19	6.231810074
b4196	66	15.4623859
b4197	43	7.670362723
b4198	62	13.764122
b4199	23	12.70961265
b4200	6989	2691.741904
b4201	1162	562.6121867
b4202	515	344.4973955
b4203	6399	2168.768303
b4204	2	0.38368642
b4205	5	1.896957112
b4206	885	211.2301821
b4207	1202	295.2068484
b4208	2161	233.2524241
b4209	143	32.89546804
b4210	180	28.41900965
b4211	137	24.26783182
b4212	122	48.8369368
b4213	324	25.4192253
b4214	896	184.4180232
b4215	7	1.136962154
b4216	517	142.0728593
b4217	9985	7356.839555
b4218	719	81.59117407
b4219	622	148.4578229
b4220	583	51.27822959
b4221	1125	45.39147375
b4222	296	132.001591
b4224	9	5.446976851
b4225	50	21.72583359
b4226	4328	1243.100645
b4227	441	70.28136902
b4230	188	27.94628279
b4231	215	32.9224906
b4232	5980	912.9547586
b4233	2166	240.428131
b4234	1283	354.4876746
b4235	2465	277.8642588
b4236	215	89.59235148
b4237	336	110.2046413
b4238	4570	325.8509387
b4239	162	14.91998007
b4240	586	62.85091151
b4241	424	68.21361727
b4242	136	7.690800091
b4243	3379	1331.652129
b4244	112	36.97341862
b4245	246	40.08416298
b4246	11	12.42717681
b4248	54	20.79754797
b4249	36	7.689849671
b4251	63	16.17587065
b4252	137	46.12495187
b4253	31	2.604945403
b4254	16	2.428105104
b4255	5733	2096.811779
b4256	79	23.90617618
b4257	3	0.38224399
b4258	4688	250.3473282
b4259	276	94.80684032
b4260	2336	235.6321838
b4261	1479	204.8775707
b4262	1184	166.7388518
b4263	707	71.74208499
b4264	68	10.38142535
b4265	49	5.661554726
b4266	7	1.395565311
b4267	13	1.921220517
b4268	10	2.704172905
b4269	462	69.08048288
b4270	1	1.794298257
b4271	210	25.29875504
b4272	0	0
b4273	3	0.505017721
b4277	13	6.008180526
b4278	106	12.16450511
b4279	19	2.379139314
b4280	54	7.359990168
b4281	7	4.621677328
b4282	2	1.225022906
b4284	1	0.132391798
b4286	1	0.462167733
b4287	90	17.87289279
b4288	61	9.721459207
b4289	140	21.37352278
b4290	355	59.95896998
b4291	1665	109.2206713
b4292	143	22.86131584
b4293	106	30.97055037
b4294	5	2.762959272
b4295	936	144.6346193
b4296	10	1.129743347
b4297	91	7.052285069
b4298	33	5.555194934
b4299	9	1.739718842
b4300	33	6.427850076
