Gene_id	KAN_2_readcount	KAN_2_fpkm
b0001	27	76.17376665
b0002	5126	387.5250603
b0003	1531	305.5477919
b0004	1845	266.9337122
b0005	298	186.8294853
b0006	161	38.58250843
b0007	166	21.6000152
b0008	2162	421.9810199
b0009	748	236.8698987
b0010	421	138.2562075
b0011	37	9.649151269
b0013	3	1.379278079
b0014	18732	1819.481477
b0015	2501	411.7529216
b0016	3	0.501893641
b0018	0	0
b0019	3215	512.9744373
b0020	382	78.50923901
b0021	10	3.694494855
b0022	12	8.095762639
b0023	1490	1050.915855
b0024	42	35.7100763
b0025	1265	250.0490594
b0026	6310	417.0884032
b0027	850	319.7417365
b0028	456	188.6852412
b0029	813	159.1826137
b0030	184	37.44400818
b0031	156	35.33770845
b0032	410	66.44303019
b0033	685	39.58682197
b0034	101	47.49105205
b0035	152	47.88965514
b0036	145	34.35034148
b0037	95	11.3830382
b0038	207	31.64525938
b0039	594	96.76667469
b0040	84	10.32410127
b0041	40	9.660313395
b0042	33	6.523018942
b0043	58	8.39141209
b0044	2	1.293073199
b0045	23	3.215209036
b0046	60	21.03983511
b0047	308	30.78388757
b0048	427	165.6426768
b0049	175	38.65414546
b0050	75	36.94494855
b0051	343	77.69765384
b0052	321	60.3747632
b0053	3143	454.7277276
b0054	1220	96.46161344
b0055	460	104.9671185
b0058	261	73.63464109
b0059	847	54.25302785
b0060	703	55.65492607
b0061	24	6.420777265
b0062	155	19.20252416
b0063	142	15.54424502
b0064	1569	332.3683576
b0065	4019	978.2326942
b0066	174	46.35084704
b0067	282	32.59411327
b0068	426	80.61207555
b0069	385	43.28984189
b0070	562	88.75812372
b0071	50	15.36324593
b0072	127	16.87917392
b0073	188	32.05684767
b0074	156	18.47811473
b0075	22	47.08569995
b0076	70	13.79278079
b0077	310	33.46248557
b0078	92	34.81836127
b0080	1042	193.0577586
b0081	706	286.4030365
b0082	859	169.7961597
b0083	90	45.78751001
b0084	727	76.60964747
b0085	234	29.28185116
b0086	254	34.8016522
b0087	273	46.93748256
b0088	363	51.32234037
b0089	442	66.10564095
b0090	651	113.4998633
b0091	870	109.7535301
b0092	805	162.7503206
b0093	869	194.7172176
b0094	1263	186.2025407
b0095	2716	438.9983512
b0096	23552	4777.170194
b0097	206	74.77139061
b0098	1229	84.56870751
b0099	63	30.07887196
b0101	40	37.61667489
b0102	337	84.34174222
b0103	119	35.68132422
b0104	1738	309.980858
b0106	115	17.79991037
b0107	227	30.49637571
b0108	10	4.222279834
b0109	223	46.44649505
b0110	109	36.76825532
b0111	286	62.28529431
b0112	957	129.6912893
b0113	831	202.2670736
b0114	2988	208.8487956
b0115	2111	207.6458338
b0116	7617	995.3015807
b0117	72	7.231166629
b0118	15298	1096.430511
b0119	540	276.9955151
b0120	72	16.86362633
b0121	381	81.82602999
b0122	85	45.48050563
b0123	882	105.886938
b0124	1185	92.28356785
b0125	481	166.7847711
b0126	361	101.3863004
b0127	234	47.00258309
b0128	450	108.6785257
b0129	165	69.66761727
b0130	547	82.80714615
b0131	858	419.322257
b0132	183	37.73539861
b0133	639	139.6519055
b0134	622	145.6829941
b0135	234	35.16658154
b0136	8	2.495176425
b0137	24	7.374358047
b0138	22	7.186764729
b0139	103	7.382163854
b0140	11	2.76414028
b0141	10	3.182949414
b0142	11	4.267141558
b0143	2374	316.1980198
b0144	280	56.24240711
b0145	2501	1021.255601
b0146	343	90.5921581
b0147	58	20.33850727
b0148	2384	182.6777189
b0149	5208	382.5415511
b0150	949	78.74608339
b0151	241	56.23410064
b0152	147	30.72028449
b0153	541	50.79958372
b0154	1538	223.5593346
b0155	832	108.945509
b0156	4284	2312.14981
b0157	263	78.47959648
b0158	67	15.57499404
b0159	1106	294.6209013
b0160	385	47.22528206
b0161	9620	1257.030485
b0162	819	131.6924705
b0163	1080	519.6349973
b0164	103	23.59023578
b0166	886	199.9702437
b0167	537	37.40769336
b0168	443	103.7581453
b0169	42960	11018.26604
b0170	3291	719.2400956
b0171	502	128.751619
b0172	1908	636.6925585
b0173	432	67.20091694
b0174	1373	335.5066777
b0175	1531	332.2565149
b0176	3298	453.8772943
b0177	7760	593.8889091
b0178	1647	631.0197212
b0179	1586	287.8335571
b0180	546	222.9530421
b0181	1441	340.0733348
b0182	774	125.4314765
b0183	282	87.95496897
b0184	1981	105.9050339
b0185	1268	245.9425225
b0186	433	37.64038288
b0187	272	129.8643361
b0188	1243	178.1753334
b0189	294	214.6805763
b0190	219	74.68563446
b0191	80	35.21561053
b0192	969	253.7697074
b0193	171	38.59470844
b0194	1319	142.8744335
b0195	96	25.24780213
b0196	104	47.81497341
b0197	429	97.8932475
b0198	247	70.32420115
b0199	259	46.73106399
b0200	14	4.525756197
b0201	7	0.845277422
b0202	0	0
b0203	0	0
b0204	4	0.256477329
b0205	0	0
b0206	0	0
b0207	49	11.34816479
b0208	427	86.89451899
b0209	1246	289.6483966
b0210	329	98.17409598
b0211	1616	221.415236
b0212	44	10.83718491
b0213	257	66.18817837
b0214	127	50.52932194
b0215	457	116.2494004
b0216	11	26.60036296
b0217	88	20.84710379
b0218	2	1.043151488
b0219	318	76.79949149
b0220	1062	417.1879709
b0221	14453	1100.689293
b0222	728	234.1199475
b0223	277	67.15898929
b0224	1859	467.1397074
b0225	332	221.5743495
b0226	886	632.0898508
b0227	64	15.88928347
b0228	143	53.46779783
b0229	270	29.34891184
b0230	105	25.86146399
b0231	855	150.7605798
b0232	110	69.66761727
b0233	47	21.93363261
b0234	100	41.10431362
b0235	16	14.39246691
b0236	249	92.54377771
b0237	913	116.6000821
b0238	554	224.7411929
b0239	500	74.78013683
b0240	2636	1220.969894
b0241	46	8.111095523
b0242	2227	375.6096541
b0243	1286	190.9541207
b0244	235	575.7578561
b0245	30	16.3335562
b0246	11	6.440968389
b0247	20	7.807234411
b0248	20	8.113400466
b0249	19	14.74103447
b0250	171	68.03554372
b0251	12	5.0325011
b0252	19	4.303951671
b0253	326	70.25697716
b0254	55	11.45541358
b0256	0	0
b0258	577	96.96648554
b0259	0	0
b0260	222	29.44228208
b0261	375	74.84024948
b0262	593	105.4614199
b0263	173	92.56620558
b0264	0	0
b0265	4	2.698587546
b0266	48	28.92466652
b0267	81	13.05836
b0268	182	37.2814768
b0269	762	72.09671545
b0270	96	12.92512213
b0271	93	10.74912246
b0272	2015	494.3321733
b0273	495	91.71169915
b0274	1	0.369449486
b0275	3	2.02394066
b0276	322	72.41209916
b0277	694	206.0997819
b0278	18	4.794915211
b0279	0	0
b0280	26	10.97792757
b0281	405	53.82728693
b0283	69	13.42526155
b0284	163	13.80218924
b0285	56	10.89586445
b0286	54	14.57237275
b0287	282	85.3806772
b0288	27	15.23475333
b0289	118	30.90281266
b0290	141	15.96992594
b0291	140	10.32001413
b0292	58	16.14312012
b0293	81	25.65034999
b0294	52	16.38330307
b0295	35	28.58372335
b0296	9	6.347813887
b0297	45	9.609076068
b0298	0	0
b0299	5	1.073832415
b0300	37	10.07235966
b0301	52	16.30055912
b0303	0	0
b0304	38	5.336121076
b0305	264	57.49411783
b0306	157	40.60249846
b0307	275	35.85833242
b0308	100	26.75323861
b0310	33	9.184878689
b0311	1059	118.006278
b0312	4026	508.9283292
b0313	2516	796.7442047
b0314	3617	331.118284
b0315	2751	470.379421
b0316	153	30.53482179
b0317	24	8.973616419
b0318	26	7.988887885
b0319	12	2.586146399
b0320	141	16.96030894
b0321	155	20.33924863
b0323	60	11.74779437
b0324	193	25.98488095
b0325	95	16.84689654
b0326	41	9.355764912
b0327	243	183.931778
b0328	298	82.57196001
b0329	348	234.7771165
b0330	68	7.978432746
b0331	97	20.27120813
b0333	57	9.071405829
b0334	67	8.591990514
b0335	174	17.16970963
b0336	174	25.71368419
b0337	195	28.27842324
b0338	229	47.37820202
b0339	36	10.15650222
b0340	14	5.534682738
b0341	134	21.60271901
b0342	30	9.127575524
b0343	118	17.5214512
b0344	177	10.7179999
b0345	1063	182.7638973
b0346	2941	656.6207101
b0347	164	18.34067068
b0348	36	7.093430122
b0349	24	5.15439559
b0350	25	5.746991997
b0351	47	9.20243892
b0352	50	9.181584847
b0353	115	17.66773282
b0354	240	82.75668475
b0355	650	145.1218842
b0356	3056	512.644112
b0357	433	292.1221019
b0358	165	39.69434007
b0360	0	0
b0361	13	2.671780385
b0363	77	11.97794121
b0364	9	3.003266785
b0365	50	9.667837004
b0366	43	10.42540267
b0367	44	9.894821003
b0368	94	20.5434728
b0369	946	180.6642087
b0372	18	3.865796693
b0373	23	14.27552812
b0375	48	14.32327236
b0376	371	59.65556356
b0377	298	45.44500993
b0378	568	96.58725399
b0379	233	140.405152
b0380	340	297.2247128
b0381	475	80.77279163
b0382	236	168.3670483
b0383	824	108.3551508
b0384	65	37.70456432
b0385	190	31.7011494
b0386	422	97.00922491
b0387	303	122.9180171
b0388	338	119.8789691
b0389	56	54.30907437
b0390	271	74.42608928
b0391	897	586.0479965
b0392	448	243.9144393
b0393	279	56.96327725
b0394	364	74.56295359
b0396	339	53.2680686
b0397	224	13.25369212
b0398	105	16.25209208
b0399	393	106.0544906
b0400	293	42.09671638
b0401	1321	186.3436032
b0402	1314	178.0714254
b0403	359	36.83014441
b0404	160	51.18970191
b0405	522	90.7541795
b0406	710	117.2019538
b0407	246	137.5550301
b0408	1932	194.6662925
b0409	1538	294.629123
b0410	216	115.5739908
b0411	939	197.5640517
b0412	104	35.86123006
b0413	452	187.0301075
b0414	1101	185.6965555
b0415	468	185.0165373
b0416	561	248.7133936
b0417	189	35.98392658
b0418	970	348.0086021
b0419	545	104.0824458
b0420	609	60.86814132
b0421	516	106.7561233
b0422	218	167.0459007
b0423	790	101.5182934
b0424	206	64.90308525
b0425	242	49.40900751
b0426	651	246.377752
b0427	497	67.79682251
b0428	974	203.5480075
b0429	131	73.91676616
b0430	335	101.4274002
b0431	2191	204.8040997
b0432	1647	323.497452
b0433	298	37.59373789
b0434	248	79.75514696
b0435	1200	702.651097
b0436	2430	348.3234595
b0437	1572	469.0871698
b0438	3697	539.9143474
b0439	3473	274.5993307
b0440	1805	1231.119362
b0441	2596	258.2167712
b0442	82	41.04464607
b0443	249	116.2015855
b0444	200	53.50647721
b0445	276	30.21275793
b0446	283	64.34104886
b0447	606	245.8360341
b0448	1081	113.5278886
b0449	986	103.0278929
b0450	38	20.8722612
b0451	426	61.63347501
b0452	469	101.4274002
b0453	443	143.9576362
b0454	475	226.7851457
b0455	6	9.800133721
b0456	68	35.76771968
b0457	517	62.06751357
b0458	1106	437.2399363
b0459	955	322.1438883
b0460	379	322.2409266
b0461	839	416.5971511
b0462	2515	148.666473
b0463	1261	196.651092
b0464	108	31.03375678
b0465	2445	135.3747285
b0466	130	149.4217919
b0467	317	111.7920557
b0468	87	42.85614032
b0469	682	230.0545883
b0470	1443	139.0736368
b0471	178	100.436522
b0472	351	107.8499864
b0473	1025	101.7907222
b0474	913	263.5704181
b0475	920	177.8882009
b0476	228	44.22310342
b0477	639	91.17503717
b0478	1635	181.5391497
b0479	364	55.51001213
b0480	702	79.07694106
b0481	108	41.89557166
b0482	145	33.96146969
b0483	299	162.7911101
b0484	4406	327.508341
b0485	29	5.787645959
b0486	174	25.05741847
b0487	927	423.0631256
b0488	546	221.4958327
b0489	1006	204.0520217
b0490	63	17.30200599
b0491	188	44.87958673
b0492	981	213.6429151
b0493	335	77.00969276
b0494	198	58.80080233
b0495	1090	295.4305231
b0496	1130	87.1258265
b0497	687	29.88113652
b0498	7	3.53229752
b0499	5	1.314989694
b0501	13	4.930006169
b0502	36	15.88457693
b0503	213	36.22022025
b0504	30	6.025972191
b0505	90	34.6961256
b0506	1507	343.8814079
b0507	62	6.478427342
b0508	14	3.355000733
b0509	39	8.261546174
b0511	51	6.526686993
b0512	140	19.13976189
b0513	48	6.864609795
b0514	248	40.2951397
b0515	97	22.97919395
b0516	76	11.44934716
b0517	29	5.142736838
b0518	139	15.51687839
b0520	52	11.86584818
b0521	96	19.9949037
b0522	525	91.53214781
b0523	189	69.00447096
b0524	151	38.88877406
b0525	248	93.28935372
b0526	594	79.80108887
b0527	321	114.5038612
b0528	51	44.58370693
b0529	541	116.1886673
b0530	34	11.65909095
b0531	7	1.880833744
b0532	781	55.84646094
b0533	75	14.19226682
b0534	22	7.938868014
b0535	15	4.412382481
b0536	48	116.0743111
b0537	156	24.95497968
b0539	5	3.336963095
b0540	0	0
b0541	0	0
b0542	19	11.56159566
b0543	54	30.1950066
b0544	16	1.951041684
b0545	32	10.79435019
b0546	157	36.63383319
b0547	10	4.08338905
b0548	1	1.088903747
b0549	12	7.678455286
b0550	24	12.31091178
b0551	48	23.27531759
b0552	0	0
b0553	142	24.0808386
b0554	9	7.758439196
b0555	10	3.739006841
b0556	5	2.015179012
b0557	210	133.0018148
b0558	7	3.17133281
b0559	50	44.97645911
b0560	0	0
b0561	5	2.12559978
b0562	52	14.78249178
b0563	10	10.17500222
b0564	14	3.47578076
b0565	259	50.55184281
b0566	36	8.796970427
b0567	97	20.27120813
b0568	656	41.08606347
b0569	1199	99.75730397
b0570	132	17.03308065
b0571	287	78.12884383
b0572	70	9.4863012
b0573	16	8.946668622
b0574	152	23.12319133
b0575	584	34.58724038
b0576	1957	264.6320785
