Gene_id	CHL_2_readcount	CHL_2_fpkm
b0001	66	127.9612799
b0002	983	51.07021445
b0003	859	117.8121538
b0004	1470	146.1562405
b0005	36	15.51045817
b0006	207	34.09007072
b0007	158	14.12849911
b0008	12873	1726.672491
b0009	1067	232.2018464
b0010	157	35.43195935
b0011	15	2.688262184
b0013	1	0.315953778
b0014	5806	387.5551337
b0015	1001	113.2530868
b0016	2	0.229939407
b0018	2	1.218678857
b0019	2386	261.6243478
b0020	525	74.14974831
b0021	0	0
b0022	2	0.927255652
b0023	7680	3722.509962
b0024	42	24.54051944
b0025	1699	230.7921599
b0026	10892	494.7654459
b0027	1167	301.6784115
b0028	835	237.4392639
b0029	1735	233.4519671
b0030	467	65.30919971
b0031	745	115.9746394
b0032	1139	126.8476047
b0033	11809	468.9927855
b0034	79	25.52762908
b0035	9	1.948648933
b0036	8	1.302404885
b0037	50	4.117158299
b0038	58	6.093394283
b0039	213	23.84580282
b0040	6	0.506777346
b0041	2	0.331935875
b0042	8	1.086719999
b0043	16	1.590816223
b0044	1	0.44431
b0045	7	0.672469189
b0046	48	11.56712135
b0047	553	37.98313892
b0048	696	185.5438559
b0049	1015	154.0696312
b0050	328	111.0351847
b0051	1224	190.540884
b0052	1034	133.6484479
b0053	5491	545.9482425
b0054	6144	333.8403838
b0055	569	89.22790231
b0058	334	64.75616288
b0059	917	40.36480692
b0060	775	42.16411223
b0061	130	23.90081378
b0062	600	51.08234728
b0063	547	41.14921818
b0064	843	122.7205449
b0065	462	77.27857691
b0066	140	25.62886866
b0067	181	14.37677943
b0068	357	46.42497656
b0069	273	21.09506608
b0070	234	25.39689526
b0071	155	32.72937028
b0072	281	25.66532453
b0073	152	17.81146021
b0074	160	13.02404885
b0075	2	2.941638619
b0076	24	3.249810284
b0077	202	14.98445133
b0078	35	9.102936581
b0080	2795	355.8724154
b0081	444	123.7795388
b0082	858	116.5507199
b0083	192	67.12722882
b0084	740	53.58876466
b0085	1195	102.7646032
b0086	1036	97.54811333
b0087	652	77.03670778
b0088	1347	130.8761155
b0089	662	68.04045568
b0090	758	90.81896086
b0091	1838	159.3447375
b0092	999	138.7983916
b0093	717	110.4070249
b0094	1832	185.6097109
b0095	8121	902.0603771
b0096	22655	3157.911544
b0097	1460	364.1783016
b0098	8740	413.2969648
b0099	204	66.93359258
b0101	273	176.4314617
b0102	499	85.82349286
b0103	311	64.08366838
b0104	912	111.7822675
b0106	45	4.786581544
b0107	136	12.55608519
b0108	4	1.16064653
b0109	811	116.0812059
b0110	258	59.80798954
b0111	583	87.25313006
b0112	620	57.74089779
b0113	555	92.83465407
b0114	10348	497.0507976
b0115	12583	850.5741075
b0116	13764	1235.971268
b0117	41	2.829780193
b0118	75986	3742.596543
b0119	1030	363.0857255
b0120	420	67.60218563
b0121	890	131.3558698
b0122	222	81.63047169
b0123	669	55.19413042
b0124	1295	69.30567023
b0125	1142	272.1262229
b0126	1130	218.0938859
b0127	584	80.61422598
b0128	465	77.17509101
b0129	415	120.4170775
b0130	278	28.92132994
b0131	1405	471.8782108
b0132	119	16.86311441
b0133	2158	324.1085001
b0134	2343	377.1236213
b0135	8	0.826222954
b0136	0	0
b0137	15	3.167358414
b0138	3	0.673480421
b0139	2	0.098507529
b0140	3	0.518061862
b0141	1	0.218737231
b0142	65	17.32808999
b0143	2050	187.6399312
b0144	154	21.25786096
b0145	10787	3027.013874
b0146	1456	264.2718065
b0147	52	12.53104813
b0148	1359	71.56353063
b0149	2633	132.9081065
b0150	1585	90.38263311
b0151	339	54.3594911
b0152	172	24.7018408
b0153	419	27.03770867
b0154	4059	405.4604491
b0155	750	67.49012655
b0156	1657	614.585046
b0157	208	42.65375998
b0158	255	40.73673706
b0159	2319	424.523903
b0160	433	36.50015429
b0161	1057	94.91584063
b0162	603	66.63268722
b0163	1088	359.7464408
b0164	37	5.823576086
b0166	2768	429.3294823
b0167	1336	63.95670408
b0168	3075	494.9445734
b0169	18309	3227.056576
b0170	32954	4949.338051
b0171	1507	265.6165962
b0172	5590	1281.906012
b0173	1210	129.3510014
b0174	2718	456.4288174
b0175	1156	172.4047082
b0176	1822	172.3174073
b0177	8708	457.988831
b0178	5984	1575.556171
b0179	3307	412.4443984
b0180	1087	305.0305072
b0181	2508	406.751445
b0182	929	103.4604256
b0183	306	65.58819374
b0184	1831	67.26876359
b0185	2314	308.4400019
b0186	866	51.73411224
b0187	219	71.85518027
b0188	710	69.94034546
b0189	251	125.9540442
b0190	391	91.63527556
b0191	96	29.04085786
b0192	817	147.038489
b0193	74	11.47773905
b0194	8459	629.6826452
b0195	298	53.85940879
b0196	386	121.9581582
b0197	1390	217.9732587
b0198	295	57.71953759
b0199	463	57.40898509
b0200	12	2.665859999
b0201	1	0.082983969
b0202	0	0
b0203	0	0
b0204	1	0.044063802
b0205	0	0
b0206	0	0
b0207	77	12.2549982
b0208	625	87.40524586
b0209	1070	170.9345437
b0210	199	40.8081646
b0211	3776	355.5421582
b0212	282	47.73158855
b0213	308	54.51185923
b0214	417	114.0167815
b0215	817	142.8201717
b0216	6	9.971008827
b0217	17	2.76761038
b0218	1	0.358434958
b0219	691	114.6838449
b0220	1093	295.0668333
b0221	2471	129.3220134
b0222	1974	436.2617731
b0223	601	100.1363662
b0224	1418	244.8705735
b0225	153	70.17231481
b0226	345	169.1442206
b0227	53	9.042597116
b0228	211	54.21652624
b0229	32	2.390403361
b0230	27	4.570045712
b0231	467	56.58893725
b0232	49	21.32687999
b0233	16	5.131279396
b0234	13	3.672178012
b0235	1	0.618170434
b0236	2	0.510823473
b0237	4362	382.8306606
b0238	1241	345.9693865
b0239	1466	150.6756919
b0240	2107	670.6826289
b0241	1	0.121175454
b0242	1251	144.9996025
b0243	2067	210.9218227
b0244	17	28.62291788
b0245	3	1.122467368
b0246	0	0
b0247	2	0.536525283
b0248	1	0.278782745
b0249	3	1.599515999
b0250	283	77.37829535
b0251	5	1.441005405
b0252	15	2.335059853
b0253	245	36.28531665
b0254	51	7.29980456
b0256	0	0
b0258	414	47.8122472
b0259	0	0
b0260	138	12.57739076
b0261	870	119.3208077
b0262	84	10.26623449
b0263	12	4.412457929
b0264	0	0
b0265	0	0
b0266	110	45.5525592
b0267	29	3.212880622
b0268	422	59.4055667
b0269	1025	66.64649997
b0270	62	5.736514357
b0271	145	11.51730949
b0272	165	27.81766955
b0273	132	16.80685468
b0274	0	0
b0275	0	0
b0276	145	22.40867825
b0277	33	6.734804207
b0278	12	2.196760171
b0279	8	1.197298526
b0280	853	247.5078725
b0281	291	26.57868127
b0283	134	17.91725341
b0284	239	13.90756976
b0285	58	7.755229087
b0286	48	8.901654257
b0287	86	17.89377248
b0288	14	5.428660361
b0289	84	15.11778835
b0290	88	6.849508902
b0291	56	2.836829642
b0292	14	2.677814528
b0293	13	2.829075917
b0294	0	0
b0295	10	5.612336839
b0296	1	0.484701818
b0297	3	0.440233761
b0298	0	0
b0299	0	0
b0300	59	11.03759578
b0301	103	22.18857211
b0303	17	9.178657211
b0304	397	38.31118261
b0305	107	16.01386778
b0306	185	32.87893998
b0307	365	32.7071899
b0308	162	29.78409102
b0310	2	0.382544933
b0311	366	28.02742577
b0312	637	55.33695541
b0313	272	59.19297303
b0314	493	31.01519715
b0315	22	2.585076362
b0316	175	24.00131189
b0317	4	1.027801445
b0318	20	4.223144552
b0319	0	0
b0320	19	1.570584185
b0321	20	1.803541648
b0323	24	3.229306749
b0324	437	40.43317378
b0325	921	112.2403227
b0326	3	0.470445882
b0327	1	0.520167805
b0328	84	15.99515999
