Gene_id	CAZ_4_readcount	CAZ_4_fpkm
b0001	57	132.4120429
b0002	669	41.64455941
b0003	732	120.2890246
b0004	850	101.2597719
b0005	133	68.6580963
b0006	280	55.25016487
b0007	264	28.28530453
b0008	17183	2761.513567
b0009	799	208.3368143
b0010	207	55.97367894
b0011	26	5.583052375
b0013	4	1.514263778
b0014	39155	3131.566808
b0015	3198	433.5232764
b0016	1	0.137753106
b0018	1	0.730091464
b0019	4550	597.7741167
b0020	902	152.6423015
b0021	3	0.91261433
b0022	2	1.11100875
b0023	3673	2133.11155
b0024	38	26.60333281
b0025	1583	257.6478827
b0026	3782	205.8406968
b0027	534	165.3989027
b0028	399	135.9430307
b0029	612	98.66598844
b0030	152	25.46942027
b0031	376	70.13141366
b0032	803	107.1499771
b0033	2467	117.3924534
b0034	155	60.01130598
b0035	9	2.334810267
b0036	9	1.755563445
b0037	43	4.242423374
b0038	141	17.74877526
b0039	482	64.65429399
b0040	10	1.01200797
b0041	6	1.193145584
b0042	4	0.651036975
b0043	17	2.025195437
b0044	0	0
b0045	11	1.266149612
b0046	32	9.239575595
b0047	158	13.00291722
b0048	670	214.0080605
b0049	588	106.9415113
b0050	229	92.88385853
b0051	1136	211.8863987
b0052	499	77.27907531
b0053	2493	296.9889544
b0054	6009	391.2081181
b0055	853	160.2711814
b0058	258	59.93387203
b0059	1350	71.20087037
b0060	1795	117.0101945
b0061	9	1.982575959
b0062	40	4.080351498
b0063	45	4.056063691
b0064	235	40.98977676
b0065	567	113.6365891
b0066	55	12.06374308
b0067	102	9.70736137
b0068	427	66.53181058
b0069	414	38.32980188
b0070	307	39.92281316
b0071	34	8.602067749
b0072	78	8.53597301
b0073	64	8.9857411
b0074	86	8.387692015
b0075	0	0
b0076	66	10.70800814
b0077	191	16.9762137
b0078	24	7.478985733
b0080	2276	347.2184242
b0081	1838	613.9448876
b0082	2435	396.3187583
b0083	228	95.510326
b0084	1262	109.5013242
b0085	1653	170.3203293
b0086	1701	191.9028492
b0087	1823	258.0802542
b0088	3054	355.5329231
b0089	1882	231.7644567
b0090	1976	283.6692454
b0091	2784	289.1874483
b0092	1916	318.9572222
b0093	1804	332.8373651
b0094	2739	332.4950985
b0095	6980	928.9653373
b0096	30609	5112.14338
b0097	1603	479.085165
b0098	9190	520.6960522
b0099	231	90.81214599
b0101	101	78.20828263
b0102	361	74.39278752
b0103	423	104.4348225
b0104	1116	163.892946
b0106	43	5.480237675
b0107	235	25.99568093
b0108	2	0.695325204
b0109	1288	220.8894176
b0110	424	117.7669275
b0111	713	127.8556666
b0112	422	47.08930537
b0113	5566	1115.522496
b0114	37508	2158.669983
b0115	18007	1458.4358
b0116	13018	1400.638206
b0117	60	4.961786651
b0118	19089	1126.524385
b0119	1343	567.2388311
b0120	868	167.397575
b0121	1187	209.9076117
b0122	343	151.1163453
b0123	551	54.46736515
b0124	524	33.60069625
b0125	1048	299.2151387
b0126	735	169.9692572
b0127	731	120.9022014
b0128	339	67.41272549
b0129	246	85.52500012
b0130	199	24.80530268
b0131	1616	650.298791
b0132	129	21.90274393
b0133	1402	252.2928744
b0134	1426	275.0103018
b0135	14	1.732420424
b0136	2	0.513632186
b0137	1	0.253001993
b0138	2	0.537962132
b0139	7	0.413100251
b0140	3	0.620725537
b0141	2	0.524168231
b0142	41	13.09601564
b0143	1291	141.5844756
b0144	74	12.23907374
b0145	4664	1568.159614
b0146	1933	420.3773449
b0147	58	16.74673077
b0148	1041	65.68119137
b0149	1219	73.7262777
b0150	621	42.42924593
b0151	147	28.24301191
b0152	76	13.07773263
b0153	186	14.38092416
b0154	2486	297.5421935
b0155	658	70.94517479
b0156	2259	1003.907507
b0157	187	45.94662149
b0158	272	52.06345124
b0159	1522	333.8366722
b0160	430	43.43034205
b0161	1517	163.2177107
b0162	126	16.68240082
b0163	2939	1164.354395
b0164	60	11.31507067
b0166	2077	385.99272
b0167	1769	101.4671448
b0168	2498	481.750164
b0169	13079	2762.068754
b0170	5323	957.8851428
b0171	1651	348.6639279
b0172	6118	1681.015971
b0173	1279	163.8222777
b0174	3725	749.4935013
b0175	1291	230.6935861
b0176	2769	313.7774469
b0177	7236	455.9875814
b0178	4055	1279.237421
b0179	3166	473.107808
b0180	1267	425.998763
b0181	1909	370.9586403
b0182	805	107.4168512
b0183	206	52.90411516
b0184	1720	75.7131889
b0185	1452	231.8953014
b0186	264	18.89648496
b0187	153	60.14830449
b0188	348	41.07396784
b0189	228	137.0854091
