Gene_id	TET_1_readcount	TET_1_fpkm
b0781	1222	191.7567291
b0782	728	220.4593974
b0783	383	122.4269715
b0784	15	9.472633917
b0785	555	190.3309358
b0786	2624	578.2149488
b0787	47	10.22619919
b0788	122	19.80443672
b0789	259	32.39610292
b0790	239	48.72563766
b0791	696	263.0764783
b0792	103	14.45453768
b0793	102	13.97338802
b0794	298	26.65207627
b0795	171	26.5916462
b0796	61	14.1018199
b0797	992	112.899917
b0798	103	33.12872301
b0799	1776	128.2676544
b0800	1395	225.0414525
b0801	866	123.8804198
b0802	228	135.709091
b0803	95	55.2747702
b0804	28	6.41568362
b0805	246	16.73955071
b0806	45	26.78468901
b0807	125	20.94811168
b0808	239	16.67966572
b0809	1062	228.1922136
b0810	597	140.5222184
b0811	2795	581.2671934
b0812	14425	4446.311519
b0813	157	27.46637141
b0814	12383	3728.127641
b0815	298	29.22642454
b0817	360	119.5009202
b0818	366	50.81191941
b0819	1545	260.6054269
b0820	1263	123.1692158
b0821	49	6.012803014
b0822	82	15.61127217
b0823	56	3.575695433
b0824	2	0.345224881
b0825	42	9.84125225
b0826	352	72.91149477
b0827	696	87.47931438
b0828	507	81.53525517
b0829	511	42.40622931
b0830	362	36.541347
b0831	133	22.43399468
b0832	118	20.10026443
b0833	23	1.521105795
b0834	28	3.273012411
b0835	395	46.27731713
b0836	190	76.8664773
b0837	184	25.61345888
b0838	568	140.7328221
b0839	1065	137.5303608
b0840	306	62.63170757
b0841	85	22.11867953
b0842	241	30.36467015
b0843	74	40.33680183
b0844	341	64.92004647
b0845	269	34.56531992
b0846	152	43.97277808
b0847	742	68.36926904
b0848	39	16.02829802
b0849	466	280.5955715
b0850	51	27.51010767
b0851	150	32.23053864
b0852	301	51.78373208
b0853	470	153.0714093
b0854	292	40.75700746
b0855	106	14.52136402
b0856	34	5.536625442
b0857	49	8.997882524
b0858	68	21.60302933
b0859	209	28.78404256
b0860	63	13.37038984
b0861	843	195.7564401
b0862	484	104.8674742
b0863	1120	237.6958194
b0864	447	95.25649481
b0865	979	294.7457774
b0866	498	238.7805424
b0867	997	186.3840465
b0868	212	32.47973728
b0869	391	42.44746172
b0870	708	109.7691087
b0871	1570	141.8856184
b0872	22	3.527065343
b0873	11	1.033795014
b0874	109	18.81475599
b0875	328	73.21148328
b0876	232	21.72482069
b0877	203	31.75860306
b0878	465	64.7296651
b0879	567	45.24094929
b0880	19084	13176.54324
b0881	164	79.36945851
b0882	21783	1486.172643
b0883	20	35.30709005
b0884	3233	2293.380902
b0885	247	54.42800776
b0886	504	45.4686428
b0887	405	35.60681068
b0888	886	142.4856727
b0889	3531	1108.171866
b0890	6637	258.4125036
b0891	1636	415.2852239
b0892	1772	204.8231546
b0893	5175	621.7652286
b0894	114	7.243368659
b0895	28	7.038565525
b0896	126	22.65538278
b0897	204	50.54488681
b0898	351	47.45715394
b0899	173	18.78110199
b0900	64	10.937818
b0901	17	4.468646931
b0902	762	159.7538617
b0903	4523	307.7763734
b0904	316	57.21559209
b0905	528	46.57889359
b0906	319	71.51086811
b0907	3112	443.9420778
b0908	918	111.0688459
b0909	42	8.529085284
b0910	1992	452.4262908
b0911	60757	5638.394641
b0912	4005	2183.093126
b0913	203	13.9233081
b0914	1651	146.6465552
b0915	679	106.8728088
b0916	203	25.57687983
b0917	4	3.395654563
b0918	593	123.3243097
b0919	328	56.99685947
b0920	142	28.28188444
b0921	498	98.42862052
b0922	628	73.74191325
b0923	354	78.00613258
b0924	5479	190.8023323
b0925	1414	118.8672032
b0926	1571	444.5477765
b0927	2057	493.1441522
b0928	1835	239.3530185
b0929	20857	2975.353443
b0930	5062	561.3046077
b0931	2016	260.3391618
b0932	3621	215.2800159
b0933	40	8.091208137
b0934	17	3.334558505
b0935	17	2.304511637
b0936	5	0.809120814
b0937	3	0.809120814
b0938	28	8.055247212
b0939	2	0.442596001
b0940	61	3.643376767
b0941	69	10.00862049
b0942	14	4.005371542
b0943	9	2.709613888
b0944	46	10.05085095
b0945	173	26.58334021
b0946	517	147.9126491
b0947	627	87.75243247
b0948	1504	110.786249
b0949	1984	161.5391894
b0950	706	87.46247571
b0951	923	87.37913109
b0952	347	95.57954804
b0953	2816	2603.981956
b0954	2188	654.9295132
b0955	2399	211.634026
b0956	275	94.30812133
b0957	59676	8905.608056
b0958	1548	471.5365721
b0959	302	74.46993851
b0960	336	24.23305568
b0961	125	43.44272825
b0962	552	41.72937242
b0963	787	266.3646872
b0964	112	26.24333933
b0965	1236	463.8021221
b0966	2679	1308.760549
b0967	448	58.43605031
b0968	420	233.8620158
b0969	157	73.90950851
b0970	4003	942.2285432
b0971	18	31.77638105
b0972	7	0.971812666
b0973	14	1.212328176
b0974	7	1.535958155
b0975	18	4.755648864
b0976	1	0.389351369
b0977	22	3.983364006
b0978	103	10.35674642
b0979	114	15.57610939
b0980	142	16.98219389
b0981	390	27.77944362
b0982	4	1.390167304
b0983	24	3.2705515
b0984	31	2.296560364
b0985	25	5.199169887
b0986	20	4.817091356
b0987	315	159.9203491
b0988	14	4.315311007
b0989	37	26.98588855
b0990	44304	32313.04882
b0991	295	198.3922203
b0992	27	3.905477
b0993	117	6.621526397
b0994	40	6.038919193
b0995	47	10.53608402
b0996	10	1.324392125
b0997	79	4.818509816
b0998	51	13.20485168
b0999	336	170.5817057
b1000	1069	180.3153407
b1001	14	1.730244031
b1002	961	120.2033008
b1003	411	280.0409722
b1004	1725	448.8790846
b1006	64	7.481171226
b1007	3	0.941522401
b1008	3	0.788584752
b1009	2	0.387893124
b1010	0	0
b1011	2	0.448344001
b1012	6	0.811233401
b1013	159	38.65546197
b1014	10610	415.9162735
b1015	1704	175.4264005
b1018	412	56.74174898
b1019	349	42.62387381
b1020	2051	299.1786887
b1021	125	46.90555442
b1022	163	19.09671568
b1023	201	15.46586946
b1024	589	37.74828984
b1025	104	11.88853893
b1026	1	0.179182464
b1027	0	0
b1028	0	0
b1029	42	6.610689202
b1032	2	3.530709005
b1033	584	96.61884835
b1034	661	139.1424671
b1035	477	133.5180551
b1036	640	202.0828569
b1037	118	21.98014527
b1038	10	3.725448351
b1039	23	9.161737214
b1040	121	28.87479991
b1041	2	0.681364896
b1042	28	9.539108541
b1043	10	4.665201088
b1044	9	4.481284507
b1045	208	60.51132737
b1046	426	46.53980984
b1047	44	5.902808838
b1048	783	79.19269964
b1049	1743	106.4375531
b1050	31	21.12231177
b1051	2329	964.8344961
b1053	147	18.61175701
