Gene_id	ETH_2_readcount	ETH_2_fpkm
b1463	153	23.52537224
b1464	486	70.71543001
b1465	84	16.04529146
b1466	57	10.65322384
b1467	195	16.41804961
b1468	486	16.89911639
b1469	107	10.0206748
b1471	1	0.097732134
b1472	0	0
b1473	36	5.309447756
b1474	46	1.963171792
b1475	20	2.939694238
b1476	92	18.29892239
b1477	562	256.5115304
b1478	8950	1151.561975
b1479	2069	158.5032753
b1480	4112	3876.050759
b1481	27	16.26018375
b1482	9492	2858.178966
b1483	147	20.62780593
b1484	135	17.79229833
b1485	66	9.571211841
b1486	51	6.484999972
b1487	198	16.60614511
b1488	65	14.52799923
b1489	497	26.93770442
b1490	884	83.14679646
b1491	441	43.45903658
b1492	57319	4854.257669
b1493	677	62.85878316
b1494	14	0.651337833
b1495	12	0.657807687
b1496	3	0.23146169
b1497	1	0.112332876
b1498	30	2.318742781
b1499	1	0.170710591
b1500	0	0
b1501	68	3.87962279
b1502	1	0.142165541
b1503	0	0
b1504	0	0
b1505	2	0.212031736
b1506	0	0
b1507	77	7.570879208
b1508	6	2.923179102
b1511	1469	119.9558565
b1512	1163	158.5794021
b1513	1747	147.9507345
b1514	655	82.80210191
b1515	378	49.51741759
b1516	821	104.3957839
b1517	853	126.666089
b1518	139	62.13513517
b1519	618	105.9161376
b1520	12	1.705986492
b1521	98	8.779603349
b1522	103	14.13332427
b1523	19	6.865410918
b1524	111	15.57609835
b1525	215	20.13500076
b1526	96	14.15852735
b1527	0	0
b1528	103	11.24969892
b1529	592	115.6279734
b1530	14	4.18653007
b1531	18	6.097568907
b1532	8	4.751834521
b1533	351	50.73177331
b1534	109	11.93508437
b1535	93	13.57752717
b1536	1220	403.8152505
b1537	272	68.17371839
b1538	1555	98.86446036
b1539	1095	190.6816729
b1540	266	50.36633337
b1541	27	17.21666515
b1542	26	2.314933758
b1544	0	0
b1545	0	0
b1546	0	0
b1547	2	0.270158816
b1548	0	0
b1549	0	0
b1550	73	54.57440984
b1551	0	0
b1552	108	65.9568017
b1553	0	0
b1554	1	0.243598258
b1555	1	0.416927789
b1556	0	0
b1557	363	218.6091371
b1558	15	9.160666903
b1559	53	9.155800679
b1560	5	0.619435572
b1561	17	8.775337264
b1562	141	117.5736364
b1563	108	48.78055126
b1564	56	30.35234301
b1565	6	2.550617059
b1566	7	2.734445316
b1567	0	0
b1568	0	0
b1569	0	0
b1570	243	77.47499318
b1571	3	2.501566731
b1572	0	0
b1573	49	29.10498644
b1574	24	58.90481661
b1575	0	0
b1576	1	0.677507656
b1577	59	10.0324271
b1578	0	0
b1579	2	0.224665751
b1580	3	0.382592559
b1581	8	0.856503506
b1582	25	9.945066516
b1583	87	33.09090027
b1584	66	15.30370236
b1585	115	21.03990021
b1586	142	60.36460374
b1587	166	8.897208086
b1588	145	7.781276053
b1589	10	2.104878156
b1590	73	11.10637112
b1591	149	31.51567323
b1592	61	6.312625037
b1593	339	63.35864704
b1594	441	46.98274224
b1595	48	6.984240001
b1596	125	12.96665371
b1597	56540	23801.96219
b1598	3765	595.8111127
b1599	5	1.970931364
b1600	10	3.554138525
b1601	55	6.912541885
b1602	1025	95.99244548
b1603	1181	100.2127959
b1604	1004	138.2029586
b1605	85	7.994884275
b1606	127	22.8497188
b1607	93	36.0046926
b1608	170	30.71368042
b1609	466	46.55757683
b1610	118	16.50496071
b1611	3146	291.4788495
b1612	4015	317.1081373
b1613	964	106.6314091
b1614	3530	304.2992639
b1615	15	1.541249645
b1616	32	3.029553887
b1617	170	12.20411143
b1618	598	131.6221981
b1619	1135	192.2427975
b1620	234	29.58120893
b1621	83	6.777628382
b1622	345	38.25925589
b1623	462	59.97768378
b1624	1303	162.8205144
b1625	39	23.48693209
b1626	106	31.2667479
b1627	73	16.31606067
b1628	67	15.05260534
b1629	227	13.28317305
b1630	108	13.26609893
b1631	74	15.5008515
b1632	56	10.46632517
b1633	76	15.54432661
b1634	1144	99.01077958
b1635	1163	249.6448014
b1636	234	35.23039813
b1637	2685	273.9362722
b1638	338	66.92166951
b1639	366	144.2721758
b1640	551	64.57197296
b1641	5279	1467.307864
b1642	1304	389.9453722
b1643	6	3.293201773
b1644	46	6.974064826
b1645	120	7.754484055
b1646	1932	481.450958
b1647	869	126.0209559
b1648	22	11.92413475
b1649	23	4.986456351
b1650	153	18.12610648
b1651	284	90.54690561
b1652	150	30.11145139
b1653	1129	31.80896246
b1654	1243	464.6300783
b1655	75	11.95601747
