Gene_id	IPM_4_readcount	IPM_4_fpkm
b0001	32	69.65894593
b0002	827	48.24051698
b0003	828	127.5027491
b0004	789	88.07837874
b0005	111	53.69543748
b0006	264	48.81505284
b0007	293	29.41703128
b0008	14251	2146.188291
b0009	1038	253.6243127
b0010	162	41.04902171
b0011	21	4.225634587
b0013	6	2.128467792
b0014	34734	2603.176067
b0015	3231	410.4357754
b0016	2	0.258169948
b0018	2	1.368300724
b0019	3597	442.8334694
b0020	810	128.4480977
b0021	3	0.855187952
b0022	2	1.041098377
b0023	2777	1511.2726
b0024	48	31.48966049
b0025	1861	283.8352472
b0026	6646	338.9567959
b0027	908	263.5430121
b0028	486	155.1653021
b0029	827	124.9383736
b0030	127	19.94130071
b0031	497	86.86712075
b0032	291	36.386796
b0033	468	20.86849707
b0034	58	21.04280658
b0035	13	3.160288473
b0036	2	0.365576529
b0037	41	3.790562815
b0038	83	9.790427591
b0039	563	70.76736419
b0040	12	1.137992681
b0041	5	0.931722283
b0042	2	0.305035193
b0043	4	0.446531705
b0044	1	0.498859639
b0045	3	0.323584631
b0046	21	5.681926733
b0047	138	10.64233896
b0048	550	164.6236808
b0049	593	101.064347
b0050	251	95.40096711
b0051	1382	241.5500219
b0052	844	122.4836466
b0053	3208	358.1184271
b0054	4848	295.7621233
b0055	690	121.4869944
b0058	203	44.18989382
b0059	971	47.98937058
b0060	1296	79.16597043
b0061	15	3.096370172
b0062	56	5.353032771
b0063	21	1.77372316
b0064	388	63.41817005
b0065	578	108.5518574
b0066	49	10.07139803
b0067	130	11.59360948
b0068	230	33.58177081
b0069	427	37.04575057
b0070	246	29.97727539
b0071	32	7.586617873
b0072	63	6.4606062
b0073	73	9.60441854
b0074	89	8.134077775
b0075	1	1.651397425
b0076	42	6.385403377
b0077	170	14.15893792
b0078	24	7.00836956
b0080	2421	346.0983935
b0081	1749	547.4544365
b0082	1863	284.1402824
b0083	226	88.71523544
b0084	1162	94.48011957
b0085	2428	234.4318457
b0086	2422	256.0504467
b0087	2242	297.4253678
b0088	3552	387.487804
b0089	1865	215.2188668
b0090	1828	245.9097761
b0091	2953	287.4404904
b0092	2233	348.3372738
b0093	1547	267.4608039
b0094	2396	272.5551037
b0095	6287	784.0826373
b0096	34978	5474.231356
b0097	2028	567.9648267
b0098	7820	415.1928027
b0099	168	61.88929426
b0101	81	58.77473563
b0102	325	62.75976101
b0103	245	56.68202273
b0104	615	84.63411803
b0106	68	8.121086589
b0107	234	24.2562401
b0108	5	1.628929433
b0109	1114	179.0269974
b0110	530	137.9455349
b0111	1143	192.0662121
b0112	408	42.66230204
b0113	5693	1069.179454
b0114	35449	1911.791928
b0115	23002	1745.765235
b0116	11378	1147.15452
b0117	46	3.564666934
b0118	19637	1085.942547
b0119	1295	512.5473578
b0120	507	91.62451449
b0121	658	109.0379435
b0122	421	173.809579
b0123	726	67.25052492
b0124	726	43.62424264
b0125	1293	345.9354706
b0126	752	162.9578056
b0127	568	88.03177471
b0128	426	79.38273847
b0129	329	107.1835567
b0130	233	27.21583512
b0131	1033	389.5347454
b0132	114	18.13793982
b0133	1114	187.8522719
b0134	1437	259.6931505
b0135	2	0.231915377
b0136	1	0.240655906
b0137	1	0.237081809
b0138	0	0
b0139	4	0.22120335
b0140	0	0
b0141	0	0
b0142	19	5.686999882
b0143	1180	121.2678538
b0144	69	10.6940008
b0145	4202	1323.92097
b0146	1511	307.9258884
b0147	49	13.25782904
b0148	1422	84.07447779
b0149	1390	78.77849728
b0150	900	57.62228983
b0151	370	66.61464049
b0152	200	32.249512
b0153	438	31.73381254
b0154	2875	322.4479164
b0155	585	59.10539518
b0156	3325	1384.660841
b0157	206	47.4300395
b0158	363	65.10959061
b0159	1834	376.9580405
b0160	311	29.43469047
b0161	1509	152.1406373
b0162	160	19.85099495
b0163	2231	828.246217
b0164	67	11.84009298
b0166	2363	411.5102231
b0167	1972	105.9933961
b0168	2342	423.2438125
b0169	10491	2076.113641
b0170	4832	814.813445
b0171	2249	445.0652539
b0172	4955	1275.793296
b0173	1620	194.4427344
b0174	3564	671.9757175
b0175	1565	262.0582942
b0176	3013	319.9426891
b0177	9770	576.9302496
b0178	3804	1124.540484
b0179	3931	550.4609797
b0180	1222	385.0146181
b0181	2129	387.6765339
b0182	988	123.5400497
b0183	269	64.73643875
b0184	2192	90.41863179
b0185	1111	166.2699176
b0186	406	27.23186734
b0187	176	64.83640352
b0188	486	53.75241411
b0189	204	114.9372608
b0190	314	82.62431292
b0191	89	30.2287713
b0192	584	118.0087206
b0193	72	12.53861027
b0194	3548	296.5367955
b0195	132	26.78622603
b0196	232	82.30075463
b0197	577	101.5912982
b0198	199	43.71658046
b0199	325	45.2454091
b0200	10	2.494298194
b0201	1	0.093172228
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	39	6.969143611
b0208	277	43.49401808
b0209	2011	360.7035447
b0210	255	58.7119421
b0211	9602	1015.109987
b0212	172	32.68718395
b0213	419	83.26195067
b0214	639	196.1669595
b0215	743	145.8305751
b0216	5	9.329323115
b0217	12	2.193459175
b0218	0	0
b0219	975	181.6858451
b0220	1143	346.4485471
b0221	1818	106.8281902
b0222	1566	388.5832262
b0223	408	76.32552474
b0224	2154	417.636403
b0225	266	136.9772015
b0226	386	212.479802
b0227	33	6.321549343
b0228	111	32.0231826
b0229	21	1.761297779
b0230	30	5.701253015
b0231	568	77.27789314
b0232	32	15.63772255
b0233	8	2.880633102
b0234	9	2.854402172
b0235	0	0
b0236	2	0.573539225
b0237	5536	545.5184119
b0238	570	178.4156826
b0239	2276	262.6477967
b0240	3302	1180.108318
b0241	4	0.544210515
b0242	496	64.54809935
b0243	478	54.76476341
b0244	4	7.561661893
b0245	0	0
b0246	0	0
b0247	2	0.602396545
b0248	3	0.939029908
b0249	1	0.598631567
b0250	221	67.84491088
b0251	3	0.970753892
b0252	4	0.699131757
b0253	129	21.45096447
b0254	26	4.178367981
b0256	0	0
b0258	139	18.02378074
b0259	0	0
b0260	343	35.09925253
b0261	1095	168.617766
b0262	41	5.62610756
b0263	5	2.064246781
b0264	0	0
b0265	1	0.520549188
b0266	49	22.78287127
b0267	34	4.229293146
b0268	143	22.60179908
b0269	382	27.88747054
b0270	19	1.973796055
b0271	46	4.102354125
b0272	106	20.06480508
b0273	81	11.57950015
b0274	0	0
b0275	0	0
b0276	258	44.76723019
b0277	19	4.35368412
b0278	7	1.438771147
b0279	14	2.352517033
b0280	280	91.22004824
b0281	165	16.92063529
b0283	113	16.96435537
b0284	361	23.58592038
b0285	73	10.95927382
b0286	52	10.82742312
b0287	22	5.13947101
b0288	8	3.482947296
b0289	55	11.11383499
b0290	127	11.09871664
b0291	36	2.047575905
b0292	8	1.718045752
b0293	9	2.199054734
b0294	3	0.72929734
b0295	15	9.452077367
b0296	33	17.958947
b0297	4	0.659043926
b0298	0	0
b0299	0	0
b0300	50	10.50230819
b0301	0	0
b0303	2	1.212418363
b0304	28	3.033788935
b0305	7	1.176258517
b0306	25	4.988596388
b0307	60	6.036620839
b0308	34	7.018439056
b0310	0	0
b0311	365	31.38248069
b0312	826	80.56532366
b0313	412	100.6678389
b0314	979	69.15165825
b0315	20	2.638596437
b0316	130	20.01854756
b0317	7	2.019479984
b0318	51	12.09117224
b0319	4	0.665146185
b0320	24	2.227466294
b0321	20	2.024969358
b0323	5	0.755371062
b0324	191	19.84184455
b0325	193	26.40820396
b0326	1	0.176068108
b0327	2	1.168061593
b0328	55	11.75883434
b0329	580	301.9185292
b0330	33	2.987499689
b0331	411	66.27274717
b0333	256	31.43583201
b0334	422	41.75578861
b0335	626	47.66211264
b0336	112	12.77080675
b0337	478	53.48521286
b0338	63	10.05701032
b0339	12	2.612210472
b0340	15	4.575527897
b0341	28	3.482947296
b0342	3	0.704272431
b0343	5	0.572853174
b0344	78	3.644352171
b0345	374	49.61511488
b0346	88	15.15959075
b0347	8	0.690313879
b0348	4	0.608133655
b0349	9	1.491400443
