Gene_id	MMC_4_readcount	MMC_4_fpkm
b1280	1053	141.0456024
b1281	489	103.8411617
b1282	67	32.11027985
b1283	5116	3661.031465
b1284	144	30.08972851
b1285	238	18.78082878
b1286	1792	145.1356414
b1287	82	11.3925723
b1288	4891	971.4885809
b1289	170	75.25973762
b1290	199	38.64529103
b1291	331	52.239112
b1292	121	21.28260118
b1293	164	26.6062558
b1294	594	56.62414695
b1295	337	214.6900091
b1296	502	56.76197884
b1297	1007	111.2151919
b1298	329	67.39869744
b1299	335	94.08657268
b1300	837	88.1535015
b1301	423	51.74975263
b1302	568	70.31235928
b1303	141	22.59421715
b1304	2168	507.8672413
b1305	37	25.77129525
b1306	166	72.26410493
b1307	84	59.29845146
b1308	2380	1184.086539
b1309	78	7.276162028
b1310	34	4.12095083
b1311	23	4.086733252
b1312	16	2.974469011
b1313	43	6.399663293
b1314	33	6.554717475
b1315	59	8.755987522
b1316	107	7.393630931
b1317	13	3.086856618
b1319	62	10.72458591
b1320	163	25.57049626
b1321	1391	155.9326283
b1322	638	94.14845609
b1323	1765	179.3813865
b1324	3317	1025.308488
b1325	1364	221.2861763
b1326	538	115.656964
b1327	54	9.188638592
b1328	142	24.72651301
b1329	797	77.38768078
b1330	449	68.18418979
b1331	2	0.308195351
b1332	2273	1380.691879
b1333	6190	1020.063417
b1334	8310	1729.510043
b1335	291	88.38128832
b1336	85	8.723623811
b1337	52	5.635754821
b1338	75	8.965522654
b1339	305	52.58392462
b1340	249	69.18903664
b1341	245	31.14010326
b1342	242	38.54227166
b1343	1011	115.3138477
b1344	848	141.9832275
b1345	88	11.15786858
b1346	0	0
b1347	1	0.746273029
b1348	0	0
b1349	43	8.319562281
b1350	135	8.134117785
b1351	6	3.406898609
b1352	16	11.29494313
b1353	25	8.012133742
b1355	18	20.8956448
b1356	1110	364.6881404
b1357	12	6.332013575
b1358	11	4.075391716
b1359	27	4.931664419
b1360	43	9.021212112
b1361	13	4.074650736
b1362	1	0.352966973
b1363	250	26.87197119
b1365	17	10.09164664
b1366	54	18.68153674
b1368	35	5.878999743
b1370	66	10.54367398
b1372	140	6.524063943
b1373	0	0
b1374	0	0
b1375	0	0
b1376	1355	488.1654949
b1377	51	7.048134158
b1378	2325	103.3667535
b1379	857	317.5100637
b1380	408	64.58653847
b1381	630	37.39845518
b1382	1	0.842566323
b1383	113	54.15614363
b1384	174	30.09803142
b1385	277	28.94046805
b1386	110	7.580873773
b1387	110	8.425663225
b1388	46	7.751610167
b1389	7	3.809101917
b1390	28	5.874277654
b1391	18	5.664482024
b1392	65	9.511322913
b1393	35	7.142066093
b1394	37	7.349228684
b1395	78	8.560190621
b1396	6	2.222940936
b1397	325	42.23311293
b1398	365	43.53259333
b1399	246	40.53886925
b1400	221	58.60326777
b1402	12	2.075726305
b1403	0	0
b1404	0	0
b1406	543	98.83567183
b1407	109	7.404503521
b1408	18	4.654970376
b1409	44	7.687360963
b1410	135	12.03460771
b1411	143	17.33223438
b1412	199	51.4632836
b1413	3489	140.0939752
b1414	991	193.8912359
b1415	2161	235.1848355
b1418	321	94.73872854
b1419	402	362.0710866
b1420	5	4.664206428
b1421	249	23.77977859
b1422	695	117.877217
b1423	1482	172.8088482
b1424	1543	146.0234598
b1426	2099	1461.998614
b1427	552	160.1999435
b1428	162	25.87992704
b1429	349	55.07990963
b1430	352	92.86953244
b1431	563	131.8861886
b1432	912	124.391828
b1433	92	12.26019975
b1434	52	15.17560795
b1435	654	52.239112
b1436	82	55.63126213
b1438	113	42.46776731
b1439	423	47.11544643
b1440	1317	180.10186
b1441	515	79.59509668
b1442	384	63.88477391
b1443	557	109.8006996
b1444	4363	479.8299908
b1445	111	99.97485227
b1446	480	321.4714584
b1447	101	35.17433541
b1448	240	72.47044439
b1449	357	53.89989302
b1450	209	49.1800649
b1451	235	17.51239846
b1452	283	41.76177598
b1453	178	18.59712387
b1454	106	26.88031977
b1455	8	5.886097127
b1456	31	2.384996277
b1457	47	15.2499271
b1459	168	24.97961333
b1460	2	0.275668137
b1461	143	95.77170533
b1462	90	24.74484253
b1463	139	25.74906584
b1464	1052	184.4145833
b1465	643	147.9724626
b1466	497	111.9087873
b1467	959	97.276327
b1468	1324	55.46478291
b1469	322	36.33044074
b1471	17	2.00164892
b1472	8	4.493687054
b1473	77	13.68167219
b1474	1543	79.33558052
b1475	786	139.1862442
b1476	884	211.8319954
b1477	709	389.8687411
b1478	2401	372.1842965
b1479	2174	200.6498754
b1480	4755	5399.934295
b1481	35	25.39401278
b1482	6877	2494.78037
b1483	60	10.14351689
b1484	51	8.097856267
b1485	55	9.609201204
b1486	47	7.200112211
b1487	89	8.992806514
b1488	45	12.11731979
b1489	352	22.98520928
b1490	435	49.29287141
b1491	621	73.72838307
b1492	23598	2407.69251
b1493	437	48.88328039
b1494	97	5.436903287
b1495	76	5.019181431
b1496	43	3.996942733
b1497	39	5.278044995
b1498	163	15.17820901
b1499	29	5.964308063
b1500	0	0
b1501	288	19.79587402
b1502	45	7.707409967
b1503	13	4.042312238
b1504	12	3.541634712
b1505	56	7.152543452
b1506	6	4.632039487
b1507	131	15.51774075
b1508	7	4.108694202
b1511	1761	173.2449646
b1512	657	107.9279767
b1513	400	40.81180625
b1514	347	52.84831447
b1515	225	35.50997039
b1516	1001	153.3470707
b1517	1273	227.7410602
b1518	529	284.891652
b1519	1173	242.1995193
b1520	59	10.10527085
b1521	348	37.56035325
b1522	488	80.67305903
b1523	40	17.41303733
b1524	309	52.239112
b1525	266	30.01210322
b1526	147	26.119556
b1527	33	4.634114774
b1528	138	18.15868377
b1529	418	98.3601298
b1530	101	36.38724353
b1531	125	51.01475781
b1532	36	25.76175386
b1533	290	50.49780826
b1534	156	20.57904412
b1535	3514	618.0748807
b1536	322	128.4045348
b1537	149	44.99206756
b1538	900	68.93724457
b1539	1369	287.2102182
b1540	1083	247.0522196
b1541	71	54.5437787
b1542	63	6.757831737
b1544	0	0
b1545	1	0.265173157
b1546	0	0
b1547	21	3.417512
b1548	0	0
b1549	14	5.338303416
b1550	300	270.2023034
b1551	963	967.4281703
b1552	15592	11472.0033
b1553	4	1.258773783
b1554	20	5.869563146
b1555	11	5.525290692
b1556	5	3.627716111
b1557	5720	4150.107231
b1558	386	284.0041864
b1559	75	15.60929641
b1560	67	10.00005858
b1561	76	47.26395847
b1562	187	187.8598835
b1563	263	143.1134006
b1564	96	62.6869344
b1565	10	5.121481568
b1566	36	16.9424147
b1567	11	9.420167737
b1568	2	1.123421763
b1569	2	1.356860052
b1570	604	232.003115
b1571	1	1.004598308
b1572	0	0
b1573	20	14.31208548
b1574	14	41.39703215
b1575	2	1.658384508
b1576	0	0
b1577	19	3.892325992
b1578	0	0
b1579	56	7.578731274
b1580	44	6.76035567
b1581	45	5.804345778
b1582	73	34.9858273
b1583	344	157.6338116
b1584	293	81.85058725
b1585	239	52.67994839
b1586	363	185.9097809
b1587	306	19.75916968
b1588	469	30.32195981
b1589	52	13.18657196
b1590	137	25.11143278
b1591	380	96.8334759
b1592	146	18.20265
b1593	625	140.7303664
b1594	713	91.51470972
b1595	79	13.84862365
b1596	321	40.11663864
b1597	64	32.45925406
b1598	601	114.5828697
b1599	73	34.66777433
b1600	217	92.91710905
b1601	446	67.53230131
b1602	627	70.74281474
b1603	885	90.47282606
b1604	1341	222.3893625
b1605	138	15.63773852
b1606	139	30.12961231
b1607	196	91.418446
b1608	124	26.99020787
b1609	220	26.48065585
b1610	151	25.44550294
b1611	1671	186.5204191
b1612	2330	221.7069781
b1613	1825	243.2050495
b1614	1809	187.873864
b1615	86	10.64588538
b1616	57	6.501374201
b1617	213	18.42207095
b1618	1243	329.6102346
b1619	605	123.4557139
b1620	427	65.03236392
b1621	187	18.39682475
b1622	447	59.72092855
b1623	1642	256.8162332
b1624	1498	225.516397
b1625	69	50.06248233
b1626	309	109.8087456
b1627	328	88.3217976
b1628	199	53.86312584
b1629	411	28.97473014
b1630	153	22.6418814
b1631	110	27.75991459
b1632	75	16.88764396
b1633	114	28.09084324
b1634	578	60.26787771
b1635	1262	326.3651453
b1636	458	83.07469894
b1637	2730	335.5594724
b1638	766	182.7176246
b1639	169	80.25827207
b1640	418	59.01607788
b1641	3982	1333.43682
b1642	1689	608.4955873
b1643	54	35.70774744
b1644	144	26.30221024
b1645	199	15.49267256
b1646	741	222.4665632
b1647	633	110.5931702
b1648	68	44.4032452
b1649	51	13.32097356
