Gene_id	PME_2_readcount	PME_2_fpkm
b0001	34	84.67797727
b0002	2065	137.8133018
b0003	717	126.3202585
b0004	907	115.8415164
b0005	181	100.1746006
b0006	218	46.11805349
b0007	353	40.54810528
b0008	8410	1449.049145
b0009	510	142.5700638
b0010	132	38.2671718
b0011	16	3.683471083
b0013	1	0.405863943
b0014	19389	1662.527323
b0015	2647	384.7041136
b0016	3	0.443059022
b0018	2	1.56547521
b0019	3846	541.7188124
b0020	649	117.7475808
b0021	3	0.978422006
b0022	3	1.786683664
b0023	1662	1034.814693
b0024	48	36.0273747
b0025	971	169.4352707
b0026	4763	277.9260329
b0027	601	199.57437
b0028	435	158.8957338
b0029	820	141.7322982
b0030	152	27.30599383
b0031	370	73.98870062
b0032	29	4.148713677
b0033	144	7.346364114
b0034	96	39.84845989
b0035	18	5.006342042
b0036	5	1.045641839
b0037	36	3.807912673
b0038	72	9.716742683
b0039	172	24.73533009
b0040	9	0.976484537
b0041	7	1.492379091
b0042	5	0.872478222
b0043	9	1.149474805
b0044	0	0
b0045	3	0.370213732
b0046	77	23.83590786
b0047	550	48.52721062
b0048	684	234.2342283
b0049	917	178.8040102
b0050	319	138.7184978
b0051	1387	277.3576426
b0052	762	126.5188602
b0053	4657	594.7893517
b0054	7042	491.5193313
b0055	365	73.52553606
b0058	391	97.37967386
b0059	1585	89.62305189
b0060	1092	76.31691649
b0061	23	5.43192907
b0062	162	17.71705477
b0063	98	9.470158678
b0064	464	86.76900141
b0065	353	75.84880871
b0066	74	17.40163431
b0067	96	9.795152153
b0068	211	35.24705618
b0069	355	35.23737226
b0070	162	22.58586372
b0071	170	46.1117698
b0072	214	25.10794288
b0073	123	18.51475489
b0074	77	8.051442159
b0075	1	1.889366633
b0076	39	6.78372591
b0077	112	10.67245708
b0078	30	10.02285958
b0080	2277	372.4195429
b0081	601	215.2272617
b0082	939	163.8514101
b0083	167	75.00166068
b0084	856	79.62926536
b0085	1583	174.8692621
b0086	1478	178.7682839
b0087	1088	165.1337839
b0088	1763	220.0402001
b0089	976	128.8593571
b0090	1092	168.068715
b0091	1896	211.1482418
b0092	1319	235.4076973
b0093	1114	220.3533518
b0094	1833	238.5583423
b0095	7039	1004.370573
b0096	20770	3719.02681
b0097	1082	346.6932527
b0098	4439	269.6452949
b0099	92	38.77561674
b0101	133	110.413441
b0102	347	76.66409849
b0103	285	75.43775469
b0104	361	56.83844621
b0106	43	5.875411948
b0107	82	9.72492176
b0108	3	1.118196579
b0109	678	124.6601568
b0110	261	77.72073937
b0111	467	89.78137652
b0112	440	52.63824942
b0113	610	131.0701794
b0114	10014	617.8867189
b0115	10604	920.7772892
b0116	5702	657.7302899
b0117	48	4.255660765
b0118	12109	766.1338062
b0119	955	432.4463545
b0120	437	90.35450316
b0121	581	110.152036
b0122	272	128.476931
b0123	967	102.4826083
b0124	2300	158.1188888
b0125	878	268.7544872
b0126	420	104.1288941
b0127	488	86.53176889
b0128	418	89.11635145
b0129	146	54.41890016
b0130	148	19.7784429
b0131	731	315.3754587
b0132	56	10.19379207
b0133	974	187.9121476
b0134	936	193.5281807
b0135	5	0.663336953
b0136	2	0.550669672
b0137	7	1.898719933
b0138	1	0.288377012
b0139	8	0.506158267
b0140	1	0.221828471
b0141	2	0.56196546
b0142	22	7.533849449
b0143	996	117.1082958
b0144	143	25.35664539
b0145	5480	1975.382535
b0146	2567	598.51115
b0147	34	10.52494633
b0148	758	51.27414484
b0149	1254	81.31207926
b0150	488	35.74641255
b0151	96	19.77442371
b0152	53	9.777631363
b0153	88	7.29449871
b0154	1748	224.299235
b0155	1633	188.765265
b0156	1590	757.5538734
b0157	58	15.27843594
b0158	126	25.85672538
b0159	941	221.2829444
b0160	284	30.75261579
b0161	1451	167.374018
b0162	137	19.44677107
b0163	1559	662.1717429
b0164	48	9.70479097
b0166	1526	304.043749
b0167	535	32.89957723
b0168	1284	265.4809658
b0169	6635	1502.241656
b0170	3722	718.0790691
b0171	844	191.0914781
