Gene_id	KAN_4_readcount	KAN_4_fpkm
b0001	20	53.02658852
b0002	5751	408.5889179
b0003	1649	309.2762988
b0004	2016	274.106673
b0005	327	192.6632716
b0006	261	58.77966627
b0007	207	25.31269225
b0008	2154	395.0981095
b0009	834	248.1968995
b0010	536	165.4205111
b0011	44	10.78355834
b0013	8	3.456547992
b0014	28927	2640.516649
b0015	3849	595.5153133
b0016	13	2.043881983
b0018	0	0
b0019	4325	648.519267
b0020	527	101.7864681
b0021	4	1.388791604
b0022	16	10.14421693
b0023	1642	1088.370729
b0024	59	47.14281637
b0025	1526	283.4727117
b0026	7972	495.2084771
b0027	1212	428.4548352
b0028	611	237.5944676
b0029	1013	186.3959861
b0030	245	46.85464133
b0031	183	38.95712507
b0032	785	119.5521128
b0033	1340	72.7757835
b0034	118	52.14281204
b0035	149	44.11704496
b0036	204	45.41666589
b0037	122	13.73777641
b0038	252	36.20436044
b0039	699	107.0135011
b0040	107	12.35887023
b0041	64	14.52557133
b0042	62	11.51723993
b0043	56	7.614074249
b0044	0	0
b0045	56	7.356842011
b0046	92	30.31802688
b0047	387	36.35011068
b0048	534	194.6738631
b0049	201	41.72305595
b0050	88	40.73788705
b0051	380	80.89457664
b0052	527	93.1500405
b0053	3588	487.8446144
b0054	1583	117.6244568
b0055	540	115.8007117
b0058	349	92.53139696
b0059	941	56.64377892
b0060	896	66.66199699
b0061	35	8.799670939
b0062	117	13.62180028
b0063	178	18.31147448
b0064	1767	351.7671676
b0065	4933	1128.385009
b0066	184	46.06258161
b0067	343	37.25685633
b0068	592	105.2771782
b0069	446	47.12834117
b0070	745	110.5732552
b0071	62	17.90303632
b0072	131	16.36216575
b0073	203	32.52977257
b0074	217	24.15543259
b0075	23	46.26112722
b0076	105	19.44308246
b0077	385	39.0552352
b0078	84	29.87595597
b0080	1229	213.9899851
b0081	1062	404.8735994
b0082	1032	191.7063162
b0083	107	51.15761859
b0084	867	85.85985988
b0085	326	38.33736823
b0086	332	42.74902898
b0087	322	52.02774973
b0088	426	56.60195758
b0089	493	69.29233483
b0090	846	138.6138856
b0091	1196	141.7922355
b0092	978	185.8176024
b0093	1265	266.3772488
b0094	1700	235.533778
b0095	3355	509.6214191
b0096	30873	5884.963575
b0097	257	87.66442441
b0098	1448	93.63719533
b0099	93	41.7278462
b0101	40	35.35105901
b0102	397	93.37383551
