Gene_id	ETH_3_readcount	ETH_3_fpkm
b0001	37	72.34287476
b0002	2296	120.2944099
b0003	1185	163.8983875
b0004	1649	165.3408184
b0005	192	83.42241413
b0006	150	24.91197816
b0007	124	11.18201384
b0008	5943	803.8876001
b0009	360	79.0065593
b0010	240	54.62181878
b0011	20	3.614679184
b0013	0	0
b0014	35979	2421.948754
b0015	3952	450.9125316
b0016	4	0.463770159
b0018	2	1.228990923
b0019	9342	1033.01584
b0020	951	135.4535194
b0021	4	1.024159102
b0022	0	0
b0023	1700	830.9654533
b0024	54	31.81908005
b0025	1093	149.7294514
b0026	4745	217.3638631
b0027	809	210.9022907
b0028	536	153.705798
b0029	909	123.3449407
b0030	133	18.75722211
b0031	544	85.40141301
b0032	167	18.7557492
b0033	1455	58.27408075
b0034	54	17.59691548
b0035	7	1.528440487
b0036	4	0.656712707
b0037	40	3.321597088
b0038	22	2.330844853
b0039	100	11.28994286
b0040	6	0.511065532
b0041	4	0.669489218
b0042	9	1.232904906
b0043	11	1.102940571
b0044	0	0
b0045	5	0.484399575
b0046	43	10.44989457
b0047	288	19.94883816
b0048	414	111.3004904
b0049	472	72.25242007
b0050	92	31.4075458
b0051	628	98.5883959
b0052	372	48.48927822
b0053	2755	276.2364795
b0054	4697	257.3757487
b0055	303	47.91709093
b0058	437	85.44280073
b0059	1435	63.70079369
b0060	544	29.8469224
b0061	45	8.343365099
b0062	128	10.98977911
b0063	77	5.841500064
b0064	413	60.63161701
b0065	458	77.25774309
b0066	89	16.43050096
b0067	152	12.17547804
b0068	207	27.14646108
b0069	126	9.818568783
b0070	174	19.04466849
b0071	150	31.94159576
b0072	186	17.13218609
b0073	145	17.13496959
b0074	142	11.65665054
b0075	0	0
b0076	39	5.325627331
b0077	100	7.480814311
b0078	33	8.655393387
b0080	1509	193.7586733
b0081	819	230.255064
b0082	1266	173.4286235
b0083	128	45.13015847
b0084	1058	77.26576207
b0085	1479	128.2635385
b0086	1077	102.266695
b0087	981	116.8903139
b0088	1534	150.3064297
b0089	1079	111.8381739
b0090	1105	133.514674
b0091	1742	152.2999523
b0092	1132	158.6078839
b0093	1199	186.1899064
b0094	2766	282.6095278
b0095	5595	626.737363
b0096	20986	2950.020008
b0097	647	162.7514587
b0098	4030	192.1831149
b0099	113	37.38968537
b0101	92	59.95986016
b0102	225	39.0254174
b0103	236	49.04089382
b0104	369	45.61039587
b0106	24	2.574444825
b0107	66	6.144954613
b0108	3	0.877850659
b0109	394	56.87176115
b0110	212	49.56039481
b0111	377	56.90012359
b0112	578	54.28490472
b0113	334	56.34079955
b0114	8488	411.1583595
b0115	8256	562.8038304
b0116	6502	588.8030826
b0117	35	2.436106602
b0118	13160	653.6642251
b0119	1699	603.9830182
b0120	392	63.62926587
b0121	434	64.5964433
b0122	111	41.16060115
b0123	486	40.43546536
b0124	1353	73.02241548
b0125	648	155.717956
b0126	519	101.0163806
b0127	409	56.93529144
b0128	391	65.44257111
b0129	327	95.68572182
b0130	96	10.07173049
b0131	1444	489.0803246
b0132	231	33.0112678
b0133	914	138.4345761
b0134	605	98.20333126
b0135	2	0.208303546
b0136	2	0.432308365
b0137	1	0.212943972
b0138	1	0.226393065
b0139	4	0.198682135
b0140	0	0
b0141	0	0
b0142	19	5.107993522
b0143	583	53.81450595
b0144	149	20.74170764
b0145	5962	1687.194314
b0146	3532	646.5015227
b0147	41	9.963852959
b0148	832	44.1829823
b0149	1550	78.90267165
b0150	1321	75.96576912
b0151	211	34.12066903
b0152	149	21.57975643
b0153	387	25.18408781
b0154	1552	156.3437633
b0155	813	73.77834747
b0156	1842	688.982998
b0157	92	19.02572486
b0158	70	11.27725753
b0159	886	163.5665601
b0160	142	12.071314
b0161	547	49.53480255
b0162	286	31.87098221
b0163	1323	441.1505788
b0164	12	1.904709179
b0166	1832	286.5559925
b0167	620	29.93165322
b0168	908	147.3861567
b0169	10352	1840.033021
b0170	4678	708.5305766
b0171	741	131.7102462
b0172	3230	746.9753967
b0173	1399	150.8209036
b0174	1198	202.8802732
b0175	678	101.9718692
b0176	1738	165.7638976
b0177	5887	312.2409798
b0178	2840	754.0845537
b0179	2766	347.890676
b0180	870	246.2024578
b0181	1374	224.723093
b0182	542	60.87195248
b0183	156	33.72005245
b0184	1782	66.0225356
b0185	1289	173.2685171
b0186	970	58.43731347
b0187	208	68.82349166
b0188	349	34.67003261
b0189	191	96.65652138
b0190	85	20.08927469
b0191	62	18.91425746
b0192	639	115.9762953
b0193	49	7.664434299
b0194	3366	252.6831075
b0195	61	11.11820178
b0196	103	32.81860945
b0197	1473	232.9434817
b0198	458	90.37029582
b0199	1139	142.4236137
b0200	6	1.344208821
b0201	2	0.167372305
b0202	0	0
b0203	0	0
b0204	7	0.311056587
b0205	0	0
b0206	0	0
b0207	127	20.38382332
b0208	151	21.29579353
b0209	1074	173.0253512
b0210	78	16.13050586
b0211	2602	247.0732965
b0212	164	27.99368212
b0213	109	19.45477332
b0214	196	54.044088
b0215	434	76.50972177
b0216	2	3.351793425
b0217	2	0.328356353
b0218	0	0
b0219	485	81.17556774
b0220	1643	447.2982468
b0221	1653	87.24327585
b0222	1180	262.9913218
b0223	397	66.70636277
b0224	1033	179.8954122
b0225	52	24.0512202
b0226	195	96.41221892
b0227	63	10.83969994
b0228	124	32.13144942
b0229	33	2.485962374
b0230	31	5.291488694
b0231	210	25.66216841
b0232	25	10.97313324
b0233	2	0.646837328
b0234	3	0.854596337
b0235	0	0
b0236	4	1.030291791
b0237	2277	201.5317522
b0238	206	57.91519315
b0239	694	71.93298677
b0240	2057	660.3074736
b0241	4	0.488803208
b0242	870	101.6923195
b0243	1043	107.3308938
b0244	7	11.8856359
b0245	1	0.377321774
b0246	0	0
b0247	5	1.352662965
b0248	6	1.686850286
b0249	5	2.688417643
b0250	398	109.7425869
b0251	1	0.290639745
b0252	7	1.098915241
b0253	182	27.1828895
b0254	15	2.165168572
b0256	0	0
b0258	117	13.62649231
b0259	1	0.126886968
b0260	388	35.66174514
b0261	436	60.30354173
b0262	17	2.095271057
b0263	0	0
b0264	0	0
b0265	0	0
b0266	48	20.04567718
b0267	34	3.798699215
b0268	130	18.45514422
b0269	351	23.01547787
b0270	40	3.732293474
b0271	119	9.532117676
b0272	80	13.60148057
b0273	117	15.02303829
b0274	0	0
b0275	0	0
