Gene_id	Wu_2_readcount	Wu_2_fpkm
b0001	36	91.73340731
b0002	1831	125.0238569
b0003	1356	244.4257777
b0004	1643	214.6979889
b0005	104	58.89058247
b0006	195	42.20681224
b0007	187	21.97712775
b0008	10501	1851.191057
b0009	661	189.0571441
b0010	130	38.55930995
b0011	20	4.710865921
b0013	1	0.415254107
b0014	22675	1989.271876
b0015	2279	338.8836999
b0016	1	0.151103247
b0018	3	2.40254162
b0019	5745	827.919548
b0020	748	138.8488733
b0021	4	1.334745344
b0022	4	2.437361064
b0023	1223	779.0969246
b0024	51	39.16471956
b0025	1020	182.1034731
b0026	5158	307.9381176
b0027	787	267.3858946
b0028	481	179.763503
b0029	749	132.4555806
b0030	237	43.56083658
b0031	497	101.6842128
b0032	143	20.93075859
b0033	1815	94.73709274
b0034	34	14.43951782
b0035	17	4.837604954
b0036	4	0.855867244
b0037	24	2.597342292
b0038	46	6.351546811
b0039	132	19.42212123
b0040	9	0.999076713
b0041	2	0.436259179
b0042	7	1.249729717
b0043	8	1.045394955
b0044	1	0.583951088
b0045	6	0.757558168
b0046	43	13.61892707
b0047	323	29.15806013
b0048	574	201.1127548
b0049	544	108.5276215
b0050	194	86.31353227
b0051	878	179.6352895
b0052	557	94.62131087
b0053	3465	452.7866899
b0054	4724	337.3556106
b0055	429	88.41706476
b0058	261	66.5067203
b0059	826	47.78636273
b0060	793	56.7028424
b0061	28	6.765778125
b0062	172	19.24590892
b0063	90	8.898302296
b0064	687	131.442806
b0065	369	81.12111117
b0066	98	23.57859158
b0067	123	12.84039935
b0068	197	33.66976518
b0069	318	32.29503409
b0070	124	17.68792304
b0071	102	28.30717354
b0072	178	21.36735802
b0073	116	17.86505307
b0074	160	17.11734487
b0075	0	0
b0076	27	4.80508324
b0077	121	11.79682755
b0078	28	9.571100762
b0080	2458	411.3246877
b0081	949	347.714248
b0082	1354	241.7334339
b0083	208	95.57651909
b0084	1003	95.46261864
b0085	1578	178.3499646
b0086	1454	179.9342797
b0087	1319	204.8261014
b0088	1679	214.4044925
b0089	1068	144.2682823
b0090	1255	197.6247952
b0091	2174	247.7092031
b0092	1404	256.375451
b0093	1131	228.8919616
b0094	2009	267.513403
b0095	6400	934.3217411
b0096	23516	4308.139228
b0097	998	327.1765255
b0098	5370	333.7455266
b0099	122	52.60950111
b0101	92	78.14327289
b0102	249	56.28535005
b0103	227	61.47566238
b0104	321	51.70987567
b0106	21	2.935774049
b0107	108	13.10477247
b0108	3	1.144067438
b0109	770	144.8512229
b0110	313	95.36175162
b0111	600	118.0195883
b0112	544	66.58572408
b0113	631	138.7192985
b0114	12458	786.4716385
b0115	13549	1203.720311
b0116	7878	929.758317
b0117	31	2.812036308
b0118	15650	1013.080964
b0119	1292	598.5836477
b0120	389	82.29082806
b0121	473	91.75104156
b0122	228	110.1855295
b0123	437	47.38475058
b0124	792	55.70761498
b0125	750	234.8853539
b0126	488	123.7870614
b0127	433	78.55559493
b0128	399	87.03370615
b0129	383	146.0592763
b0130	114	15.58722124
b0131	1139	502.7680928
b0132	110	20.48678901
b0133	1294	255.4251408
b0134	1021	215.9869806
b0135	1	0.135736815
b0136	2	0.563410095
b0137	2	0.555042618
b0138	1	0.295048971
b0139	2	0.129467216
b0140	0	0
b0141	0	0
b0142	14	4.905189141
b0143	575	69.17188856
b0144	94	17.05363955
b0145	3518	1297.477849
b0146	2104	501.9096876
b0147	40	12.66876937
b0148	1069	73.98444009
b0149	1609	106.7448768
b0150	1211	90.75911458
b0151	320	67.43976477
b0152	165	31.14405804
b0153	380	32.22773933
b0154	1999	262.4415682
b0155	864	102.1840486
b0156	985	480.1601296
b0157	105	28.29916812
b0158	188	39.47246906
b0159	1117	268.7478244
b0160	225	24.92755633
b0161	590	69.63155713
b0162	145	21.05854701
b0163	1659	720.9487295
b0164	31	6.412687965
b0166	2005	408.7232926
b0167	739	46.49587654
b0168	1532	324.0862432
