Gene_id	MMC_3_readcount	MMC_3_fpkm
b0001	42	100.338502
b0002	532	34.05724224
b0003	498	84.16081975
b0004	656	80.36881232
b0005	69	36.63151659
b0006	288	58.44316496
b0007	268	29.52959008
b0008	14118	2333.388541
b0009	701	187.9762363
b0010	207	57.56381179
b0011	34	7.508323277
b0013	4	1.557281865
b0014	23487	1931.824603
b0015	2206	307.5425147
b0016	1	0.141666477
b0018	4	3.003329311
b0019	4436	599.3533532
b0020	883	153.6720072
b0021	5	1.564234016
b0022	10	5.712854667
b0023	4698	2805.894537
b0024	25	17.99940512
b0025	1433	239.8598433
b0026	3684	206.2030252
b0027	476	151.6226252
b0028	297	104.0653606
b0029	618	102.4637429
b0030	158	27.22690342
b0031	365	70.01374442
b0032	1259	172.7698513
b0033	4530	221.6842934
b0034	135	53.75276891
b0035	40	10.67172852
b0036	36	7.221746052
b0037	138	14.00200827
b0038	144	18.64135434
b0039	406	56.00696785
b0040	31	3.226348814
b0041	34	6.953233229
b0042	48	8.034384143
b0043	53	6.493211971
b0044	2	1.094963811
b0045	50	5.918723304
b0046	32	9.502058836
b0047	247	20.90481634
b0048	668	219.4307478
b0049	590	110.3536482
b0050	205	85.51145954
b0051	990	189.9002931
b0052	590	93.96780343
b0053	2661	326.0082463
b0054	4921	329.4767031
b0055	737	142.4097051
b0058	275	65.69782867
b0059	1278	69.31832821
b0060	3971	266.2102833
b0061	23	5.210517446
b0062	67	7.028749734
b0063	74	6.859455833
b0064	357	64.0385661
b0065	566	116.6587326
b0066	98	22.10605051
b0067	179	17.51942098
b0068	381	61.05090908
b0069	367	34.94362771
b0070	300	40.1208114
b0071	57	14.83079697
b0072	96	10.80426818
b0073	82	11.84004824
b0074	98	9.829598794
b0075	4	7.249415577
b0076	65	10.84535584
b0077	201	18.37254061
b0078	41	13.13956573
b0080	1899	297.9347502
b0081	1489	511.498389
b0082	1854	310.3280875
b0083	255	109.8553856
b0084	1238	110.4705085
b0085	1394	147.7141503
b0086	1272	147.5808178
b0087	1222	177.9119039
b0088	1936	231.7831368
b0089	1276	161.6008277
b0090	1376	203.1465444
b0091	2084	222.6248373
b0092	1496	256.1145321
b0093	1174	222.7559592
b0094	1861	232.3299936
b0095	5237	716.7906849
b0096	24914	4279.204454
b0097	1438	441.9811819
b0098	6769	394.4200464
b0099	234	94.60487329
b0101	119	94.76414075
b0102	280	59.33997428
b0103	274	69.56987461
b0104	984	148.6130193
b0106	96	12.58252679
b0107	208	23.66259457
b0108	20	7.150784073
b0109	1059	186.7758404
b0110	380	108.5442387
b0111	732	134.991749
b0112	353	40.50887951
b0113	3282	676.4557606
b0114	32662	1933.173405
b0115	18419	1534.184857
b0116	12338	1365.187049
b0117	52	4.422378111
b0118	20439	1240.459972
b0119	1085	471.2869032
b0120	763	151.3281306
b0121	984	178.9527015
b0122	334	151.3315502
b0123	566	57.53960701
b0124	493	32.51094558
b0125	1127	330.9115214
b0126	531	126.2825232
b0127	582	98.9932331
b0128	354	72.39542833
b0129	286	102.2562122
b0130	199	25.50998616
b0131	1421	588.0731625
b0132	130	22.699582
b0133	1271	235.2167331
b0134	1273	252.4779952
b0135	19	2.417934615
b0136	16	4.225789985
