Gene_id	PME_1_readcount	PME_1_fpkm
b2900	171	85.27595551
b2901	952	102.8630824
b2902	426	89.08851945
b2903	10139	548.9002609
b2904	2049	817.4523173
b2905	3511	498.8865416
b2906	886	114.5917027
b2907	1306	172.3512549
b2908	2494	292.6429075
b2909	1114	299.3585765
b2910	1197	564.3717783
b2911	2045	1738.710595
b2912	425	120.4485742
b2913	519	65.49216679
b2914	1240	292.3228927
b2915	9	4.362370572
b2916	465	80.9283176
b2917	19	1.378197261
b2918	19	2.968105546
b2919	15	2.969298036
b2920	18	1.893605076
b2921	30	5.203719634
b2922	1709	358.8466801
b2923	44	10.76417225
b2924	3193	577.0066853
b2925	13903	2002.948788
b2926	6829	912.8285407
b2927	981	149.6421411
b2928	293	63.84905686
b2929	231	70.4736689
b2930	21	3.382417762
b2933	9	1.008150435
b2934	4	1.401722676
b2935	1938	151.3733829
b2936	2567	526.2222058
b2937	3064	517.6237666
b2938	4896	385.3184617
b2939	93	109.6210847
b2940	4	2.881318834
b2942	3282	442.1215363
b2943	604	67.36709327
b2944	13	4.061618116
b2945	29	6.373086575
b2946	277	58.87809717
b2947	783	128.1050715
b2948	996	274.7674684
b2949	383	142.9051226
b2950	16	2.537675304
b2951	275	60.69160949
b2952	240	65.85871622
b2953	23	12.2975876
b2954	138	36.14745447
b2955	281	38.45306244
b2956	15	2.315345492
b2957	304	45.17643743
b2958	584	126.201765
b2959	925	440.1280605
b2960	547	118.2061052
b2961	760	112.2975546
b2962	148	83.43297147
b2963	277	39.90626586
b2964	444	54.95823419
b2965	264	19.23037514
b2966	430	94.49749059
b2967	8	16.37802285
b2968	19	5.505089617
b2969	3	0.484707841
b2970	0	0
b2971	2	0.757134876
b2972	29	5.570549747
b2975	350	32.35705643
b2976	5298	379.5222228
b2977	615	236.2681444
b2979	1577	163.5782329
b2980	357	72.60923463
b2981	18	2.54372562
b2982	2	0.305980761
b2983	8	1.165477281
b2984	1	0.204995016
b2985	1	0.21791487
b2986	2	0.449036701
b2987	14	1.452184693
b2988	1030	86.16072773
b2989	1994	357.8418533
b2990	33	20.62052274
b2991	12	5.45934095
b2992	39	12.40911547
b2993	84	26.40335805
b2994	270	24.65353791
b2995	58	7.654190492
b2996	144	22.70023836
b2997	594	82.59265678
b2998	5	2.701236407
b3001	1370	204.764618
b3002	360	113.1572488
b3003	3410	599.5096612
