Gene_id	Wu_3_readcount	Wu_3_fpkm
b0001	40	86.33230054
b0002	2936	169.8043836
b0003	1550	236.650438
b0004	1875	207.5295686
b0005	60	28.77743351
b0006	165	30.24963813
b0007	193	19.2121042
b0008	10198	1522.733461
b0009	578	140.0257058
b0010	170	42.70936561
b0011	21	4.189655762
b0013	1	0.351724187
b0014	30288	2250.63849
b0015	3198	402.7848367
b0016	1	0.12798589
b0018	6	4.069951311
b0019	7344	896.4355485
b0020	959	150.781364
b0021	2	0.565271015
b0022	1	0.516117014
b0023	1474	795.3363188
b0024	80	52.03590718
b0025	1093	165.2823646
b0026	5745	290.5095704
b0027	699	201.1542603
b0028	490	155.1103666
b0029	897	134.3597491
b0030	199	30.98055834
b0031	512	88.7269191
b0032	173	21.44782871
b0033	2020	89.30650457
b0034	58	20.8636393
b0035	18	4.338526779
b0036	6	1.087391572
b0037	45	4.124950653
b0038	49	5.730678571
b0039	166	20.68802898
b0040	7	0.658176945
b0041	7	1.293304891
b0042	6	0.907313987
b0043	11	1.217506803
b0044	0	0
b0045	7	0.748602156
b0046	43	11.53536106
b0047	469	35.86057476
b0048	577	171.2347224
b0049	726	122.6778918
b0050	262	98.73400404
b0051	1068	185.0788078
b0052	741	106.6203912
b0053	4759	526.7377158
b0054	6211	375.6884781
b0055	507	88.50647797
b0058	454	97.98716112
b0059	1248	61.15427357
b0060	954	57.77877308
b0061	39	7.982016581
b0062	201	19.04997171
b0063	114	9.546799372
b0064	691	111.9815386
b0065	630	117.3103613
b0066	122	24.86222046
b0067	143	12.64438629
b0068	228	33.00631246
b0069	279	23.99944116
b0070	162	19.57304829
b0071	168	39.49061668
b0072	237	24.0972492
b0073	127	16.56678899
b0074	119	10.78329975
b0075	2	3.274673469
b0076	45	6.783252186
b0077	127	10.48749773
b0078	46	13.31833661
b0080	2431	344.5689625
b0081	951	295.1379725
b0082	1457	220.3260797
b0083	269	104.6956055
b0084	1125	90.69288788
b0085	1946	186.2932687
b0086	1702	178.4010299
b0087	1608	211.502179
b0088	1996	215.8897484
b0089	1290	147.5970295
b0090	1611	214.8728508
b0091	2597	250.6356534
b0092	1629	251.9525234
b0093	1259	215.8151679
b0094	2344	264.3696006
b0095	7208	891.2910736
b0096	26737	4148.845411
b0097	1019	282.9528529
b0098	6449	339.4859794
b0099	130	47.4827653
b0101	119	85.61286471
b0102	303	58.01321728
b0103	256	58.72264694
b0104	275	37.52230016
b0106	36	4.262791897
b0107	82	8.427676958
b0108	4	1.292048035
b0109	734	116.9541937
b0110	336	86.70765837
b0111	623	103.7956589
b0112	650	67.38820403
b0113	682	126.9931213
b0114	13220	706.8943212
b0115	13231	995.6330708
b0116	8475	847.1924967
b0117	45	3.45748291
b0118	17082	936.60577
b0119	1413	554.4888212
b0120	423	75.79324423
b0121	514	84.45031614
b0122	184	75.31748979
b0123	573	52.62596618
b0124	1582	94.25060816
b0125	711	188.604727
b0126	445	95.61009302
b0127	468	71.91564453
b0128	489	90.34658456
b0129	273	88.18227841
b0130	160	18.52985963
b0131	1058	395.5650841
b0132	88	13.88200447
b0133	1224	204.6440307
b0134	966	173.088118
b0135	5	0.57485188
b0136	4	0.954427443
b0137	1	0.235063195
b0138	0	0
b0139	3	0.164489949
b0140	0	0
b0141	1	0.243501361
b0142	20	5.935345662
b0143	661	67.3521628
b0144	97	14.90559299
b0145	3940	1230.803258
b0146	2294	463.5126111
b0147	35	9.389247376
b0148	1024	60.02759465
b0149	1852	104.0687353
b0150	1106	70.20847383
b0151	268	47.83977857
b0152	146	23.34169607
b0153	320	22.98711785
b0154	2162	240.4162496
b0155	1101	110.292246
b0156	1568	647.4171825
b0157	81	18.49088456
b0158	145	25.78652048
b0159	1161	236.5986717
b0160	282	26.46272691
b0161	1001	100.0636801
b0162	143	17.59076538
b0163	1711	629.7907863
b0164	31	5.431607839
b0166	2462	425.1002479
b0167	762	40.60815618
b0168	1500	268.7703696
b0169	8057	1580.862149
b0170	4224	706.2225374
b0171	1145	224.6601912
b0172	3688	941.4862281
b0173	1154	137.3311057
b0174	1492	278.9145111
b0175	944	156.7263302
b0176	2078	218.7786836
b0177	7600	444.9679609
b0178	3424	1003.586348
b0179	3611	501.3458055
b0180	1183	369.5533641
b0181	1728	311.9780169
b0182	741	91.86613339
b0183	181	43.1878418
b0184	1976	80.81476678
b0185	1271	188.5956084
b0186	1357	90.24385506
b0187	239	87.29523774
b0188	492	53.9527033
b0189	225	125.6896729
b0190	145	37.82967565
b0191	78	26.26706165
b0192	739	148.0580741
b0193	53	9.151223858
b0194	3814	316.0545669
b0195	94	18.91262686
b0196	142	49.94483461
b0197	938	163.7457127
b0198	317	69.04603945
b0199	795	109.7348791
b0200	11	2.720366762
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	74	13.11091281
b0208	340	52.93160722
b0209	1518	269.9581937
b0210	155	35.38379145
b0211	3533	370.3236419
b0212	232	43.71429186
b0213	238	46.89169353
b0214	363	110.4887423
b0215	565	109.9498459
b0216	5	9.249889344
b0217	10	1.812319286
b0218	0	0
b0219	649	119.9078392
b0220	1703	511.7920842
b0221	2974	173.2683975
b0222	1058	260.2941227
b0223	325	60.28085438
b0224	1375	264.3271348
b0225	118	60.24694952
b0226	426	232.5018163
b0227	61	11.58579473
b0228	127	36.32717586
b0229	35	2.910502251
b0230	29	5.464286483
b0231	446	60.16282194
b0232	63	30.52463484
b0233	24	8.56831855
b0234	8	2.515643195
b0235	0	0
b0236	4	1.137311744
b0237	3670	358.5632688
b0238	208	64.55173322
b0239	1292	147.8258621
b0240	1474	522.3104183
b0241	4	0.539576878
b0242	684	88.25600942
b0243	1055	119.8428646
b0244	5	9.371598414
