Gene_id	IPM_1_readcount	IPM_1_fpkm
b0001	25	57.22706346
b0002	1270	77.90129857
b0003	616	99.74805969
b0004	766	89.91985767
b0005	118	60.02483101
b0006	250	48.60986086
b0007	174	18.37024729
b0008	10781	1707.324449
b0009	687	176.5162933
b0010	161	42.89910239
b0011	14	2.962342109
b0013	1	0.373035673
b0014	26067	2054.349483
b0015	3194	426.6558404
b0016	2	0.271481487
b0018	1	0.719425941
b0019	3818	494.2770615
b0020	998	166.4208484
b0021	5	1.498804043
b0022	12	6.568671632
b0023	3988	2282.215291
b0024	24	16.55665179
b0025	1897	304.2438556
b0026	7232	387.8617553
b0027	921	281.0993357
b0028	731	245.4201692
b0029	1225	194.6081212
b0030	133	21.96018199
b0031	329	60.46853801
b0032	517	67.97917701
b0033	2831	132.7454736
b0034	82	31.28412803
b0035	12	3.067602996
b0036	11	2.114343413
b0037	83	8.069236902
b0038	135	16.74525896
b0039	421	55.64693562
b0040	2	0.199444815
b0041	0	0
b0042	3	0.481144737
b0043	10	1.173888481
b0044	0	0
b0045	7	0.793961061
b0046	41	11.66526808
b0047	212	17.19207884
b0048	662	208.3637381
b0049	844	151.258664
b0050	248	99.12090738
b0051	1589	292.0501729
b0052	1194	182.2109701
b0053	4653	546.2103104
b0054	5743	368.4285636
b0055	690	127.7510034
b0058	310	70.9615587
b0059	1414	73.48687266
b0060	1090	70.0155603
b0061	23	4.99256795
b0062	76	7.639413183
b0063	18	1.598724313
b0064	237	40.73473159
b0065	486	95.97988432
b0066	119	25.7202493
b0067	225	21.1004815
b0068	435	66.78817041
b0069	331	30.1976432
b0070	240	30.75408601
b0071	45	11.21877086
b0072	92	9.920991559
b0073	79	10.92974025
b0074	49	4.709219421
b0075	1	1.736545374
b0076	22	3.517193488
b0077	132	11.56086207
b0078	26	7.983873244
b0080	1941	291.7862763
b0081	1456	479.2411234
b0082	1651	264.7899872
b0083	202	83.38264591
b0084	1119	95.67510006
b0085	2376	241.239763
b0086	2162	240.3486134
b0087	1753	244.5450337
b0088	3041	348.847836
b0089	1679	203.7448935
b0090	2080	294.2371263
b0091	3292	336.9603938
b0092	2162	354.6512113
b0093	1533	278.7061289
b0094	2715	324.7669834
b0095	8047	1055.326662
b0096	27356	4502.101707
b0097	1616	475.9149849
b0098	8633	481.9914526
b0099	217	84.06215415
b0101	131	99.95660418
b0102	409	83.05308339
b0103	275	66.903137
b0104	682	98.69366209
b0106	64	8.037476844
b0107	152	16.56859742
b0108	17	5.823924282
b0109	944	159.5290811
b0110	296	81.0136168
b0111	614	108.4944805
b0112	351	38.59453136
b0113	4083	806.349522
b0114	32482	1842.103084
b0115	21236	1694.83526
b0116	14669	1555.217134
b0117	45	3.666976882
b0118	38887	2261.36508
b0119	720	299.6617141
b0120	815	154.8801884
b0121	1140	198.6511767
b0122	260	112.8754493
b0123	2102	204.7511275
b0124	1211	76.51911793
b0125	1278	359.5522048
b0126	530	120.772409
b0127	612	99.74177119
b0128	482	94.44914879
b0129	157	53.78565366
b0130	179	21.98635863
b0131	1055	418.3433521
b0132	91	15.22506061
b0133	1310	232.2935168
b0134	1267	240.7769309
b0135	1	0.1219366
b0136	1	0.253064401
b0137	1	0.249306019
b0138	0	0
b0139	5	0.290761061
b0140	0	0
b0141	4	1.033021864
b0142	29	9.127716622
b0143	1662	179.609472
b0144	142	23.14269855
b0145	3818	1264.959059
b0146	1000	214.2970887
