Gene_id	CIP_2_readcount	CIP_2_fpkm
b0001	74	177.8669305
b0002	655	42.18755091
b0003	662	112.559919
b0004	1099	135.4648348
b0005	255	136.2044062
b0006	337	68.80441523
b0007	438	48.5558882
b0008	11162	1856.098713
b0009	864	233.1008421
b0010	348	97.36516656
b0011	39	8.665104834
b0013	8	3.133591568
b0014	11344	938.7534175
b0015	1813	254.297813
b0016	4	0.570127846
b0018	6	4.532516374
b0019	3093	420.4520652
b0020	693	121.3423672
b0021	5	1.573790408
b0022	9	5.172980645
b0023	6014	3613.823377
b0024	37	26.80186623
b0025	1767	297.5726913
b0026	6302	354.8942622
b0027	1182	378.8084897
b0028	551	194.2435073
b0029	1012	168.8135962
b0030	612	106.1054653
b0031	589	113.67132
b0032	1579	218.0065426
b0033	4512	222.1523854
b0034	184	73.71061983
b0035	38	10.20007915
b0036	20	4.036592191
b0037	90	9.187533191
b0038	104	13.54545123
b0039	259	35.94685996
b0040	27	2.827213184
b0041	18	3.703612602
b0042	19	3.199706358
b0043	31	3.821119088
b0044	1	0.550826643
b0045	17	2.024660092
b0046	126	37.6429326
b0047	608	51.77238242
b0048	980	323.8860659
b0049	820	154.3098695
b0050	219	91.90935982
b0051	1552	299.5210334
b0052	1123	179.9500567
b0053	4976	613.3512446
b0054	6962	468.9759087
b0055	608	118.2009172
b0058	582	139.8899372
b0059	2323	126.7685737
b0060	3736	251.986327
b0061	434	98.92086743
b0062	1564	165.0764779
b0063	1233	114.9916191
b0064	1023	184.6265629
b0065	777	161.1265135
b0066	215	48.79425711
b0067	337	33.18499729
b0068	653	105.2750627
b0069	340	32.57061887
b0070	379	50.99561468
b0071	87	22.77477287
b0072	157	17.77742861
b0073	115	16.70639048
b0074	88	8.88050282
b0075	2	3.646852255
b0076	60	10.07225861
b0077	152	13.97854325
b0078	30	9.673053238
b0080	2566	405.0400951
b0081	1090	376.7222215
b0082	1309	220.4429275
b0083	228	98.82371767
b0084	1852	166.2692198
b0085	1688	179.9603948
b0086	1651	192.7236635
b0087	1258	184.2721108
b0088	1723	207.5424449
b0089	1326	168.9591044
b0090	1661	246.7208234
b0091	2567	275.896974
b0092	1739	299.5348633
b0093	1514	289.0229154
b0094	2681	336.7447933
b0095	7258	999.4749432
b0096	25679	4437.545838
b0097	1570	485.5005356
b0098	8272	484.9424023
b0099	209	85.01373661
b0101	148	118.5779536
b0102	442	94.24466171
b0103	420	107.2914504
b0104	1413	214.7084265
b0106	94	12.39565991
b0107	168	19.22885735
b0108	11	3.95695874
b0109	711	126.1651789
b0110	278	79.89381218
b0111	542	100.5635504
b0112	439	50.68567256
b0113	515	106.7955656
b0114	5682	338.3564307
b0115	5808	486.7247378
b0116	7377	821.2442564
b0117	66	5.647310046
b0118	23203	1416.812629
b0119	857	374.5256988
b0120	531	105.9582601
b0121	709	129.7282512
b0122	318	144.9623771
b0123	868	88.78004349
b0124	1235	81.93978264
b0125	1167	344.749779
b0126	986	235.9232882
b0127	1281	219.2183081
b0128	778	160.0783669
b0129	346	124.4643385
b0130	442	57.00652708
b0131	1382	575.4273413
b0132	150	26.35183939
b0133	1112	207.0487527
b0134	1113	222.0933023
b0135	47	6.017747729
b0136	13	3.454430403
b0137	14	3.664905979
b0138	11	3.061436499
b0139	57	3.480511997
b0140	6	1.284518811
b0141	11	2.982938127
b0142	67	22.14323104
b0143	2819	319.8860716
b0144	388	66.39867569
b0145	7156	2489.504498
b0146	2670	600.7995109
b0147	70	20.91274033
b0148	1298	84.73753864
b0149	3145	196.8113372
b0150	1290	91.19568374
b0151	199	39.56012099
b0152	103	18.33863247
b0153	353	28.23965699
b0154	2274	281.6104436
b0155	1355	151.1635647
b0156	1484	682.3736246
b0157	166	42.20179509
b0158	164	32.48020473
b0159	1093	248.0563861
b0160	413	43.16042437
b0161	2163	240.7958962
b0162	1443	197.6811222
b0163	1830	750.1490279
b0164	84	16.39064962
b0166	1762	338.8124664
b0167	838	49.73389647
b0168	2309	460.7488186
b0169	29526	6451.718659
b0170	6236	1161.11153
b0171	910	198.8438657
b0172	6302	1791.643614
b0173	1122	148.6983442
b0174	2835	590.2085791
b0175	1710	316.1667891
b0176	3962	464.5410537
b0177	11375	741.6802637
b0178	4753	1551.454242
b0179	4166	644.1386087
b0180	1337	465.1296135
b0181	2570	516.7298452
b0182	1030	142.2081943
b0183	348	92.47244462
b0184	3583	163.192712
b0185	2507	414.276718
b0186	1298	96.13082114
b0187	282	114.7075298
b0188	675	82.43317887
b0189	369	229.5586234
b0190	258	74.96084773
b0191	124	46.50383231
b0192	682	152.1676032
b0193	108	20.76716593
b0194	3878	357.8815867
b0195	181	40.55577858
b0196	271	106.1504143
b0197	866	168.3585433
b0198	162	39.29566948
b0199	140	21.52066883
b0200	8	2.203306571
b0201	1	0.102878128
b0202	0	0
b0203	0	0
b0204	1	0.054627436
b0205	0	0
b0206	1	2.060234716
b0207	65	12.82521735
b0208	134	23.2322424
b0209	615	121.8007677
b0210	157	39.91374596
b0211	2981	347.9765239
b0212	322	67.56806817
b0213	240	52.65994128
b0214	347	117.6226739
b0215	661	143.2510469
b0216	9	18.54211244
b0217	98	19.77930174
b0218	5	2.221821752
b0219	495	101.8493465
b0220	2940	983.9576686
b0221	4692	304.429382
b0222	1094	299.7410224
b0223	405	83.65679636
b0224	1826	390.9218914
b0225	131	74.48597698
b0226	243	147.6975163
b0227	72	15.22925502
b0228	150	47.78255214
b0229	117	10.83517487
b0230	52	10.91161349
b0231	2104	316.0743426
b0232	97	52.33977242
b0233	44	17.49392285
b0234	87	30.4669147
b0235	5	3.831837515
b0236	31	9.815928675
b0237	3566	387.999567
b0238	877	303.1058608
b0239	789	100.5344897
b0240	1388	547.7354365
b0241	16	2.403607168
b0242	1159	166.541238
b0243	1145	144.8489583
b0244	229	478.0015624
b0245	5	2.319270075
b0246	1	0.498861865
b0247	1	0.332574577
b0248	2	0.691233434
b0249	2	1.321983943
b0250	227	76.94624486
b0251	5	1.786464787
b0252	15	2.894855349
b0253	334	61.32536622
b0254	55	9.759612999
b0256	0	0
b0258	308	44.09794812
b0259	0	0
b0260	129	14.57572039
