Gene_id	CIP_3_readcount	CIP_3_fpkm
b0001	63	189.5421885
b0002	625	50.3877403
b0003	456	97.0493153
b0004	794	122.5042716
b0005	216	144.413096
b0006	318	81.2672152
b0007	274	38.02070853
b0008	8208	1708.434173
b0009	764	258.0033288
b0010	413	144.6359557
b0011	26	7.23076776
b0013	6	2.941748251
b0014	9538	987.9716486
b0015	1486	260.894835
b0016	3	0.535223738
b0018	0	0
b0019	2604	443.0771981
b0020	594	130.1869715
b0021	7	2.757888986
b0022	23	16.54733391
b0023	7108	5346.293157
b0024	33	29.92120653
b0025	1651	348.0209973
b0026	5830	410.9518923
b0027	1084	434.8438779
b0028	452	199.4505314
b0029	914	190.8424378
b0030	389	84.41852974
b0031	340	82.13275227
b0032	1379	238.316172
b0033	3615	222.788127
b0034	116	58.16638588
b0035	23	7.727688934
b0036	26	6.568407355
b0037	69	8.816726178
b0038	105	17.11793163
b0039	223	38.74073977
b0040	26	3.407767776
b0041	16	4.12073685
b0042	24	5.059057502
b0043	15	2.314312435
b0044	2	1.378944493
b0045	22	3.279651767
b0046	75	28.04632867
b0047	347	36.9850233
b0048	759	313.985661
b0049	564	132.8497698
b0050	193	101.3852522
b0051	1159	279.9760585
b0052	939	188.338746
b0053	3636	560.9893344
b0054	5074	427.8276294
b0055	499	121.4282297
b0058	568	170.8888302
b0059	2296	156.8325229
b0060	2681	226.3438889
b0061	212	60.48335844
b0062	759	100.2748618
b0063	595	69.45794482
b0064	584	131.926867
b0065	793	205.8358556
b0066	195	55.39450838
b0067	324	39.93546509
b0068	598	120.6744595
b0069	254	30.45668706
b0070	315	53.05252094
b0071	47	15.40048899
b0072	122	17.29143244
b0073	82	14.91078441
b0074	121	15.28417865
b0075	5	11.41195442
b0076	71	14.91886613
b0077	126	14.5040979
b0078	39	15.74014689
b0080	1689	333.7127998
b0081	994	430.0143767
b0082	1036	218.3826488
b0083	186	100.9116101
b0084	1344	151.0330511
b0085	1192	159.0679196
b0086	1211	176.943235
b0087	837	153.4639167
b0088	1302	196.3064123
b0089	912	145.4570461
b0090	1213	225.5271465
b0091	1775	238.7928268
b0092	1260	271.6565568
b0093	1087	259.7393785
b0094	1981	311.451482
b0095	4834	833.2272098
b0096	22425	4850.640039
b0097	1282	496.2264813
b0098	6582	482.9913606
b0099	226	115.0676143
b0101	105	105.3012158
b0102	355	94.74683128
