Gene_id	TET_2_readcount	TET_2_fpkm
b0001	150	341.8723847
b0002	7634	466.2345373
b0003	2917	470.2962147
b0004	5295	618.8766759
b0005	186	94.2048349
b0006	193	37.36396771
b0007	166	17.44958699
b0008	14600	2302.084067
b0009	698	178.5643653
b0010	393	104.2620331
b0011	23	4.845586181
b0013	6	2.228501471
b0014	20709	1625.001301
b0015	2891	384.5051709
b0016	3	0.405455119
b0018	4	2.865216177
b0019	2309	297.6252511
b0020	630	104.5993654
b0021	3	0.895380055
b0022	12	6.54016736
b0023	9604	5472.237305
b0024	35	24.04034121
b0025	2592	413.9051139
b0026	9305	496.8739501
b0027	1185	360.1055786
b0028	895	299.1763225
b0029	1682	266.0493317
b0030	117	19.23452499
b0031	476	87.10675457
b0032	77	10.08062349
b0033	302	14.09931796
b0034	67	25.45049975
b0035	13	3.308815636
b0036	15	2.870684147
b0037	71	6.87264691
b0038	113	13.95557879
b0039	233	30.66382929
b0040	19	1.88650372
b0041	3	0.585306807
b0042	13	2.075912994
b0043	12	1.402553373
b0044	3	1.566915097
b0045	14	1.581031449
b0046	42	11.89793158
b0047	453	36.57649153
b0048	423	132.5610172
b0049	732	130.6171503
b0050	208	82.77291177
b0051	1390	254.3663631
b0052	777	118.0599302
b0053	4267	498.7246036
b0054	6008	383.7564698
b0055	762	140.4693298
b0058	476	108.4875034
b0059	1843	95.36675412
b0060	2023	129.382418
b0061	29	6.267660387
b0062	137	13.71128899
b0063	61	5.394388481
b0064	536	91.72603324
b0065	420	82.58564274
b0066	54	11.62072655
b0067	167	15.59328543
b0068	350	53.50441794
b0069	317	28.79490352
b0070	263	33.55510802
b0071	1118	277.5146262
b0072	1483	159.2281003
b0073	792	109.098616
b0074	1050	100.4739451
b0075	2	3.458019524
b0076	99	15.75868897
b0077	315	27.46870291
b0078	95	29.04525545
b0080	1460	218.526189
b0081	682	223.5055887
b0082	1025	163.6777553
b0083	141	57.95017144
b0084	743	63.25122808
b0085	943	95.32909266
b0086	868	96.07645414
b0087	820	113.8943272
b0088	1206	137.7457572
b0089	1019	123.1179939
b0090	1101	155.0717772
b0091	1695	172.742835
b0092	1153	188.3156332
b0093	1093	197.8499004
b0094	2091	249.0390094
b0095	5388	703.5448784
b0096	17880	2929.823993
b0097	1121	328.7039669
b0098	5918	328.9757354
b0099	252	97.19694877
b0101	324	246.148117
b0102	517	104.5284006
b0103	404	97.86028198
b0104	999	143.9400627
b0106	111	13.87950729
b0107	145	15.73698279
b0108	8	2.728777311
b0109	883	148.5729965
b0110	242	65.94668755
b0111	424	74.5961545
b0112	367	40.17871375
b0113	373	73.34391605
b0114	4779	269.8481891
b0115	3444	273.6712821
b0116	6680	705.1447812
b0117	45	3.651064303
b0118	24302	1407.082519
