Gene_id	PME_3_readcount	PME_3_fpkm
b0001	75	166.8299888
b0002	886	52.81120814
b0003	925	145.5515658
b0004	1666	190.0435975
b0005	294	145.3274569
b0006	273	51.58202896
b0007	648	66.48017666
b0008	13232	2036.263189
b0009	782	195.2478318
b0010	165	42.7226003
b0011	35	7.196587751
b0013	3	1.087484371
b0014	16444	1259.337535
b0015	2361	306.4715571
b0016	4	0.52762045
b0018	3	2.097291287
b0019	2270	285.5694821
b0020	511	82.80365271
b0021	2	0.582580913
b0022	3	1.59576511
b0023	2099	1167.253821
b0024	56	37.54055638
b0025	874	136.2126125
b0026	2817	146.8103901
b0027	395	117.1517255
b0028	340	110.9234059
b0029	617	95.24922261
b0030	856	137.3439278
b0031	487	86.9789051
b0032	89	11.37173605
b0033	266	12.12028671
b0034	326	120.8590585
b0035	30	7.452304067
b0036	13	2.428161669
b0037	75	7.085443539
b0038	67	8.075776797
b0039	240	30.82632863
b0040	26	2.519518246
b0041	11	2.094571065
b0042	25	3.896241776
b0043	21	2.395507531
b0044	0	0
b0045	32	3.526976339
b0046	90	24.88311697
b0047	460	36.24947904
b0048	726	222.0507151
b0049	507	88.29521684
b0050	231	89.71746063
b0051	1065	190.2105419
b0052	627	92.97991374
b0053	3734	425.9440534
b0054	6717	418.7368962
b0055	511	91.93640852
b0058	201	44.71043699
b0059	916	46.26017109
b0060	976	60.92131835
b0061	271	57.16324098
b0062	1147	112.0369378
b0063	410	35.38639621
b0064	679	113.4064333
b0065	533	102.2875006
b0066	49	10.29142935
b0067	103	9.38638745
b0068	342	51.02556242
b0069	415	36.79125115
b0070	192	23.90805335
b0071	83	20.1076937
b0072	139	14.56577033
b0073	103	13.84750017
b0074	101	9.432474175
b0075	7	11.81233024
b0076	73	11.34090844
b0077	146	12.42569099
b0078	30	8.951853056
b0080	5091	743.69323
b0081	623	199.2655186
b0082	773	120.4717957
b0083	119	47.73343285
b0084	635	52.75868575
b0085	927	91.46050514
b0086	1093	118.0748759
b0087	854	115.7673806
b0088	1458	162.5281312
b0089	748	88.20415407
b0090	792	108.8706264
b0091	1496	148.7996908
b0092	1103	175.821781
b0093	933	164.830438
b0094	1717	199.5830878
b0095	7599	968.4133286
b0096	13940	2229.342961
b0097	1078	308.5021453
b0098	5429	294.5430924
b0099	109	41.03162186
b0101	124	91.94186048
b0102	295	58.21110899
b0103	272	64.30342369
b0104	465	65.38968526
b0106	56	6.834066373
b0107	105	11.12199925
b0108	9	2.996130411
b0109	852	139.9132577
b0110	476	126.5973654
b0111	727	124.8317586
b0112	513	54.81348627
b0113	657	126.0842174
b0114	7340	404.5000989
b0115	9685	751.1139083
b0116	8398	865.2025658
b0117	56	4.434402291
b0118	23709	1339.771955
b0119	2113	854.5739789
b0120	361	66.66484382
b0121	410	69.42590536
b0122	246	103.7797585
b0123	727	68.81441239
b0124	1934	118.7500186
b0125	717	196.0205768
b0126	516	114.2596701
b0127	549	86.9459592
b0128	364	69.31126071
b0129	268	89.21810556
b0130	234	27.92978154
b0131	873	336.3923112
b0132	95	15.4451684
b0133	844	145.4318888
b0134	1058	195.3778525
b0135	25	2.96227583
b0136	12	2.950962616
b0137	12	2.907136438
b0138	7	1.802934616
b0139	19	1.073671059
b0140	4	0.792498732
b0141	4	1.003831727
b0142	34	10.3990693
b0143	1077	113.1007083
b0144	171	27.08152828
b0145	6264	2016.711149
b0146	4342	904.1854098
b0147	50	13.82395387
b0148	673	40.65983233
b0149	885	51.25333146
b0150	466	30.48736265
b0151	113	20.78893995
b0152	53	8.732829042
b0153	160	11.84551811
b0154	2002	229.4413747
b0155	1348	139.1704683
b0156	1250	531.9217033
b0157	69	16.23384122
b0158	112	20.52779487
b0159	873	183.3554658
b0160	443	42.84387538
b0161	1713	176.4815427
b0162	179	22.69348863
b0163	3074	1166.137311
b0164	60	10.83471514
b0166	1852	329.5670818
b0167	673	36.96348393
b0168	1331	245.7919865
b0169	6147	1243.03508
b0170	3376	581.7275552
b0171	711	143.7771176
b0172	5016	1319.714905
b0173	899	110.2611034
b0174	1823	351.2274819
b0175	843	144.2437749
b0176	1460	158.4206723
b0177	5448	328.7394186
b0178	3181	960.9132736
b0179	2435	348.424269
b0180	839	270.1182397
b0181	1126	209.5164756
b0182	527	67.33601009
b0183	134	32.95241587
b0184	1113	46.91356997
b0185	1119	171.125861
b0186	1445	99.03875524
b0187	245	92.22703995
b0188	387	43.73796842
b0189	173	99.60077448
b0190	273	73.40519506
b0191	71	24.64193309
b0192	743	153.4178901
b0193	60	10.67711928
b0194	2606	222.5642098
b0195	92	19.07705634
b0196	286	103.6735101
b0197	1079	194.1279546
b0198	161	36.14139573
b0199	93	13.23000609
b0200	9	2.293912346
b0201	0	0
b0202	0	0
b0203	0	0
b0204	0	0
b0205	0	0
b0206	0	0
b0207	28	5.112799656
b0208	299	47.97410563
