Gene_id	CHL_4_readcount	CHL_4_fpkm
b0001	46	98.85274725
b0002	875	50.38699848
b0003	830	126.1744139
b0004	1372	151.1995198
b0005	45	21.48972766
b0006	222	40.52348645
b0007	181	17.93964267
b0008	11396	1694.255535
b0009	1076	259.5432823
b0010	144	36.02087684
b0011	22	4.370179911
b0013	1	0.350202969
b0014	9090	672.5376742
b0015	1438	180.3313062
b0016	0	0
b0018	0	0
b0019	2622	318.6666968
b0020	511	79.99586702
b0021	1	0.2814131
b0022	3	1.541654376
b0023	6205	3333.594004
b0024	43	27.84833201
b0025	1465	220.5776824
b0026	8498	427.8629952
b0027	929	266.1860933
b0028	720	226.9315241
b0029	1399	208.6469521
b0030	512	79.36403029
b0031	566	97.66061637
b0032	560	69.1262258
b0033	6804	299.5115786
b0034	68	24.35502468
b0035	12	2.879841677
b0036	5	0.902240474
b0037	40	3.650764545
b0038	58	6.753914408
b0039	211	26.18249759
b0040	7	0.655330309
b0041	6	1.103752549
b0042	13	1.957344622
b0043	18	1.983667169
b0044	1	0.492472926
b0045	10	1.064806326
b0046	48	12.82099006
b0047	527	40.12107931
b0048	695	205.36121
b0049	936	157.4791715
b0050	240	90.05219211
b0051	1180	203.6034052
b0052	797	114.1820863
b0053	5035	554.8757886
b0054	5298	319.0772863
b0055	525	91.25233622
b0058	297	63.82449116
b0059	925	45.13064581
b0060	717	43.23711278
b0061	124	25.26895563
b0062	627	59.16752563
b0063	626	52.19691876
b0064	981	158.2905469
b0065	472	87.50954198
b0066	129	26.17504168
b0067	168	14.79069524
b0068	292	42.08841784
b0069	242	20.72668661
b0070	200	24.05974598
b0071	129	30.19200352
b0072	305	30.87710334
b0073	193	25.06741309
b0074	254	22.91690805
b0075	2	3.260510404
b0076	34	5.102957553
b0077	204	16.77319961
b0078	45	12.97245755
b0080	3089	435.9399739
b0081	431	133.1801292
b0082	808	121.6564965
b0083	126	48.82747958
b0084	730	58.59508086
b0085	1038	98.93939938
b0086	945	98.62504153
b0087	594	77.79162357
b0088	1256	135.2629054
b0089	579	65.96051831
b0090	750	99.60126585
b0091	1882	180.8456675
b0092	859	132.2843236
b0093	690	117.7668108
b0094	1604	180.1257743
b0095	7538	928.0652283
b0096	21668	3347.734385
b0097	1379	381.2604432
b0098	7844	411.13518
b0099	177	64.36999963
b0101	210	150.4280936
b0102	503	95.88924448
