gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b3362,9,5,5,11,6,7,4,6,9
b3363,852,1144,1047,338,390,378,228,319,292
b3364,64,141,113,17,26,20,483,587,663
b3365,59,85,795,3659,148,1590,172,168,152
b3366,5,2,163,247,4,110,14,30,22
b3367,6,13,65,65,6,30,27,53,67
b3368,384,485,537,437,376,358,499,537,616
b3369,3,3,9,5,4,4,35,21,15
b3370,5,8,4,9,4,10,23,47,48
b3371,30,29,34,39,40,41,59,59,77
b3374,46,25,57,46,54,29,110,134,152
b3375,157,193,296,192,149,143,240,290,310
b3376,29,34,45,56,57,59,190,230,201
b3377,18,21,15,22,17,31,92,126,132
b3378,2,4,2,6,2,2,5,6,1
b3379,7,8,16,11,8,7,22,30,31
b3380,15,16,17,13,7,8,37,55,37
b3381,10,21,16,21,18,6,35,39,37
b3382,16,21,27,43,41,54,35,30,25
b3383,106,124,239,233,231,225,166,208,135
b3384,993,1449,1043,1133,1283,1189,472,533,466
b3385,289,445,283,399,395,330,193,205,197
b3386,344,503,327,348,393,346,141,156,161
b3387,273,325,272,241,286,181,212,245,278
b3388,2068,2889,2488,2989,3649,2890,1993,2469,2588
b3389,1979,2629,2918,2409,2536,2147,1741,2145,2296
b3390,1652,2057,2827,1529,1643,1342,681,864,975
b3391,31,45,57,30,35,28,120,146,171
b3392,2,3,0,2,3,1,0,11,3
b3393,3,9,2,1,8,8,32,26,34
b3394,4,13,13,7,11,11,38,35,42
b3395,38,66,70,97,58,71,157,136,174
b3396,834,866,799,415,419,299,1369,1618,1678
b3397,904,1106,767,374,400,265,1433,1925,1926
b3398,950,1155,1262,942,1022,819,3579,4606,4800
b3399,376,475,449,250,286,247,217,294,269
b3400,165,213,325,173,237,180,79,119,101
b3401,640,824,903,716,858,731,603,567,689
b3402,199,269,274,238,297,249,472,526,534
b3403,13084,13428,8862,8241,7595,8455,2867,3513,3120
b3404,477,578,608,557,689,570,471,616,632
b3405,853,1078,1365,860,934,994,763,893,886
b3406,145,213,208,128,131,142,194,248,238
b3407,510,643,537,509,554,479,440,601,609
b3408,216,232,508,707,495,718,99,133,158
b3409,1615,2422,5063,5500,3903,4598,721,868,914
b3410,61,77,181,155,136,127,46,44,53
b3411,41,39,47,45,38,42,65,55,79
b3412,245,315,285,257,262,211,641,622,741
b3413,230,284,363,308,362,265,170,207,231
b3414,807,1028,1526,1025,1159,1192,935,1172,1244
b3415,75,119,171,124,127,119,361,430,469
b3416,443,700,529,805,963,855,668,878,908
b3417,296,484,334,540,638,674,162,189,205
b3418,4030,5021,5184,7663,6890,6781,1965,2568,2012
b3421,68,106,71,157,223,151,246,258,287
b3422,44,57,59,66,62,84,204,220,254
b3423,201,255,242,131,137,118,529,674,759
b3424,237,305,242,125,151,121,599,783,926
b3425,131,141,106,41,62,62,270,279,378
b3426,367,573,391,2567,2660,2718,1173,1092,3862
b3427,35,47,37,27,39,32,35,28,38
b3428,3166,4966,3677,5521,6567,5804,535,610,630
b3429,1946,3052,2248,3610,3993,3470,440,540,524
b3430,1328,2039,1473,2622,2804,2823,349,435,342
b3431,1427,2240,1751,2884,3291,3053,629,769,759
b3432,2074,3140,2632,3464,4079,3631,441,567,522
b3433,2782,3760,3602,3460,3648,3336,671,856,745
b3434,182,202,280,110,119,75,346,391,468
b3437,20,31,30,28,20,34,55,51,49
b3438,929,1147,1202,995,946,904,351,388,435
b3439,388,502,532,536,661,620,186,235,209
b3440,510,686,838,588,823,761,217,259,279
b3441,89,100,109,114,121,114,66,69,62
b3442,3,1,0,0,2,0,0,8,7
b3443,0,0,0,1,0,0,1,1,1
b3444,0,0,0,0,0,0,0,0,0
b3445,0,0,0,0,0,0,0,0,0
b3446,13,24,17,17,29,24,63,96,80
b3447,570,893,320,835,1115,820,136,203,225
b3448,681,1124,1166,1585,2297,2306,322,367,332
b3449,432,663,134,592,746,615,266,305,321
b3450,422,701,79,560,956,655,121,114,125
b3451,56,93,13,93,173,100,16,39,26
b3452,41,71,11,49,103,54,30,25,46
b3453,393,533,155,260,460,287,189,233,219
b3454,19,11,10,14,20,14,72,101,102
b3455,15,8,8,10,17,7,67,69,43
b3456,22,26,29,34,28,23,196,231,219
b3457,14,9,8,23,16,14,167,180,203
b3458,15,29,14,28,26,18,109,186,163
b3459,292,365,391,187,218,140,399,528,520
b3460,82,75,59,46,74,49,952,1342,1308
b3461,6237,8752,10925,4721,5925,5114,14530,15439,20469
b3462,393,636,518,803,973,912,1468,1744,1876
b3463,344,426,386,393,445,387,944,1099,1217
b3464,1193,1107,1362,827,902,771,1774,2041,2226
b3465,165,200,200,208,183,207,187,219,197
b3466,27,33,39,30,35,42,23,36,27
b3467,75,94,98,78,87,85,108,142,169
b3468,371,457,448,542,541,590,531,638,683
b3469,974,1051,700,4979,4846,5422,9059,10463,11664
b3470,228,242,247,108,83,71,293,330,390
b3471,125,172,166,101,86,77,455,508,469
b3472,4611,5600,5102,2878,3491,3303,2678,3070,2789
b3473,104,135,208,112,127,103,1437,1705,1710
b3474,127,168,125,228,385,248,107,134,120
b3475,125,160,152,142,155,112,195,199,257
b3476,105,95,300,251,27,132,81,108,128
b3477,18,28,58,120,39,93,38,52,74
b3478,10,15,53,79,22,41,41,30,48
b3479,18,13,38,61,32,57,29,29,44
b3480,21,23,59,47,26,40,50,63,79
b3481,30,58,55,23,26,31,36,56,49
b3482,13,6,10,2,10,9,11,19,10
b3483,3,2,1,0,5,1,3,3,3
b3484,0,1,2,3,0,2,1,3,4
b3485,123,151,121,328,376,322,427,501,518
b3486,381,485,573,801,999,859,3247,3830,4041
b3487,619,751,1307,591,714,599,4676,5869,5541
b3488,23,41,26,27,34,34,23,35,37
b3491,39,106,90,3160,6038,4009,78,87,98
b3492,203,275,265,205,184,168,777,1019,925
b3493,2073,2550,2268,1090,1102,874,1283,1408,1749
b3494,869,1453,1181,3603,5405,4593,343,437,355
b3495,2859,4015,5389,3237,2905,3608,1021,1349,1226
b3496,941,1103,1235,1468,1718,1417,1186,1534,1340
b3497,101,161,148,216,311,218,217,253,285
b3498,1333,1712,1541,2243,2990,2642,685,825,936
b3499,725,930,1124,963,1037,909,305,379,372
b3500,1592,1995,1822,1999,2311,2075,468,593,572
b3501,489,680,905,237,280,230,534,657,666
b3502,836,1319,2095,530,738,592,1476,1581,1630
b3503,362,449,899,169,220,210,99,100,105
b3504,2,3,4,1,5,0,3,14,15
b3505,0,0,0,1,1,0,3,1,0
b3506,2468,4670,3709,10672,16460,14630,91,121,161
b3507,26,50,63,163,313,193,9,16,14
b3508,82,259,208,1297,1721,905,50,57,67
b3509,941,2758,2243,9242,12707,9503,9,12,28
b3510,2614,7046,7327,30975,39757,31689,22,34,58
b3511,347,1231,1042,6952,10116,7766,70,107,93
b3512,912,2273,1711,3912,6024,4379,4,6,18
b3513,213,514,305,1354,2094,1445,56,62,63
b3514,558,1415,640,6043,10362,7181,661,726,805
b3515,73,170,174,327,660,401,73,101,103
b3516,842,1525,1468,1356,2078,1448,31,28,50
b3517,2,15,14,193,285,189,2,3,1
b3518,38,34,44,23,42,38,153,151,184
b3519,376,623,428,634,1099,773,256,291,312
b3520,25,33,39,39,67,38,61,108,108
b3521,16,33,29,47,63,51,275,315,347
b3522,221,364,206,849,1314,1046,203,239,267
b3523,35,38,46,76,95,93,191,281,254
b3524,252,416,257,890,1323,952,312,318,327
b3525,9,5,5,3,3,7,105,119,86
b3526,117,127,195,155,133,145,599,722,852
b3527,767,927,1110,339,383,288,1233,1437,1447
b3528,2340,2729,1693,1066,1380,913,1647,1991,1742
b3529,548,653,627,522,580,468,434,512,469
b3530,337,490,392,612,718,603,1021,1076,1253
b3531,28,42,32,42,56,52,134,187,191
b3532,71,84,64,56,70,74,625,676,718
b3533,28,71,60,43,61,26,1189,1296,1516
b3534,26,46,60,22,23,20,256,299,327
b3535,64,75,101,67,59,41,88,61,87
b3536,879,989,1401,941,1033,911,426,552,686
b3537,0,0,0,1,0,0,1,0,0
b3538,259,351,389,401,478,362,96,138,135
b3539,101,110,155,55,43,47,239,300,305
b3540,1822,2704,332,1337,2260,1518,121,158,146
b3541,1574,2039,275,1323,2327,1360,105,151,130
b3542,1089,1354,243,1021,1757,947,142,165,163
b3543,1200,1283,358,1199,2132,1140,182,216,208
b3544,18067,20583,10435,20440,28216,19174,1630,2046,1782
b3545,1,3,1,0,2,1,6,8,19
b3546,1070,1175,1426,662,609,414,496,673,582
b3547,50,63,60,134,165,152,113,109,111
b3548,238,356,305,268,463,302,134,158,130
b3549,149,174,193,152,199,192,147,184,191
b3550,45,41,43,49,68,53,93,115,145
b3551,445,601,578,599,745,542,847,1026,1105
b3552,188,221,223,43,51,36,703,843,957
b3553,844,1000,892,745,636,655,428,530,504
b3554,2302,2847,2559,1782,2166,1761,998,990,1191
b3555,2959,4627,2621,4381,6775,5881,106,100,103
b3556,30668,28869,18629,27136,42557,23985,5624,6664,7607
b3557,11,12,26,9,8,5,297,448,398
b3558,3,4,7,5,6,0,171,250,238
b3559,3508,4462,4292,5462,5693,5384,1354,1503,1581
b3560,1382,1637,1966,1473,1327,1264,517,514,621
b3561,38,51,47,27,44,31,161,223,225
b3562,0,1,2,0,3,7,44,54,57
b3563,0,2,1,2,0,1,28,21,25
b3564,126,166,125,181,222,184,253,350,316
b3565,157,174,139,233,327,284,264,310,310
b3566,226,247,96,152,154,206,55,84,59
b3567,47,68,15,40,64,54,77,106,130
b3568,66,89,48,76,103,76,157,175,166
b3569,107,129,156,61,85,70,128,170,187
b3570,850,1077,1302,1043,1206,999,1622,1978,2464
b3571,74,99,70,101,73,80,130,161,181
b3572,494,630,481,497,549,437,690,875,891
b3573,112,120,178,161,72,127,176,169,234
b3574,248,288,227,161,176,157,316,398,378
b3575,21,27,27,27,27,14,63,87,81
b3576,5,0,4,1,8,0,4,6,5
b3577,2,0,0,0,0,0,6,8,16
b3578,4,3,0,2,1,5,33,50,48
b3579,5,4,2,4,9,6,14,26,17
b3580,11,16,11,17,14,16,77,88,97
b3581,11,6,4,11,22,14,16,20,12
b3582,15,20,5,11,17,25,17,18,22
b3583,12,22,16,30,27,22,59,63,70
b3584,22,21,12,31,24,14,118,125,125
b3585,247,321,305,181,230,182,97,139,100
b3586,4,14,10,14,12,12,89,103,139
b3587,3,3,8,15,16,8,5,7,6
b3588,4419,6672,7084,14283,13862,12457,154,222,147
b3589,1,2,4,0,6,2,44,60,43
b3590,1062,1357,1944,1330,1197,1169,494,604,648
b3591,901,1194,1711,1119,885,1153,368,509,487
b3592,329,475,361,289,322,247,132,212,214
b3593,3,5,6,4,6,5,9,10,9
b3594,19,29,22,15,30,14,20,36,24
b3595,3,8,2,4,2,6,14,26,26
b3596,1,0,1,2,0,0,3,6,6
b3597,27,66,73,179,162,148,90,130,120
b3598,17,20,25,49,58,59,37,34,32
b3599,988,1277,748,2372,2161,2157,770,969,818
b3600,581,803,541,963,1102,1073,579,659,702
b3601,85,123,134,117,128,121,336,379,415
b3602,531,666,739,418,481,460,328,409,406
b3603,298,399,190,199,350,233,291,348,341
b3604,96,127,58,132,220,140,27,36,37
b3605,462,743,307,650,847,724,181,198,169
b3606,148,170,96,32,19,32,75,124,105
b3607,668,984,1058,1101,1221,1137,1293,1458,1617
b3608,1362,1779,1373,2163,2317,1949,626,843,757
b3609,1131,1381,1238,1212,1320,1052,578,630,627
b3610,393,425,342,367,419,348,77,79,62
b3611,845,1083,832,653,668,484,218,239,295
b3612,1296,1705,1889,1633,1562,1442,999,1059,1323
b3613,370,375,407,208,205,153,441,530,552
b3614,187,225,164,112,108,98,112,180,178
b3615,39,68,50,15,30,12,263,290,291
b3616,4167,4560,2710,3670,3162,3946,1253,1400,1295
b3617,3754,4078,3053,3316,2718,3120,2373,2695,2545
b3618,432,465,453,224,280,214,139,140,177
b3619,1378,1572,2034,1066,1055,1071,331,384,399
b3620,647,718,824,558,569,477,174,189,201
b3621,209,238,240,217,192,149,70,110,68
b3622,123,178,107,84,124,77,9,11,10
b3623,122,277,325,271,270,315,45,66,67
b3624,56,145,215,184,171,180,25,42,30
b3625,68,164,248,188,211,209,26,41,46
b3626,89,185,295,207,228,282,42,29,44
b3627,131,252,326,245,290,311,55,78,66
b3628,131,224,298,358,361,311,137,167,199
b3629,101,173,171,252,283,257,39,28,37
b3630,96,151,193,183,245,178,50,69,66
b3631,273,439,493,585,507,506,256,335,365
b3632,625,906,1294,775,839,754,278,341,405
b3633,710,709,763,461,401,311,559,634,680
b3634,241,229,229,152,161,112,184,237,219
b3635,138,141,205,105,139,93,238,281,271
b3636,33,58,41,21,30,25,31,24,34
b3637,5174,5937,6125,2224,2112,1694,1215,1476,1620
b3638,652,735,641,594,523,542,228,300,284
b3639,571,598,620,421,300,371,476,586,642
b3640,258,343,250,197,159,125,132,157,164
b3641,367,356,351,163,189,133,200,234,242
b3642,43,65,58,35,22,16,84,100,96
b3643,722,824,779,190,158,107,606,766,777
b3644,1911,2274,2493,1061,1191,804,518,584,732
b3645,803,1072,872,284,291,289,305,477,378
b3646,175,214,152,52,59,39,158,201,211
b3647,167,234,178,489,431,321,174,192,200
b3648,2096,2828,3643,1260,1400,1145,1960,2098,1899
b3649,698,831,945,522,603,423,948,1109,987
b3650,1339,1696,1779,1183,1230,992,842,1077,1126
b3651,181,196,135,120,119,110,152,187,204
b3652,253,439,356,318,375,313,778,947,1009
b3653,462,584,833,748,766,620,3042,3451,3996
b3654,407,557,291,165,182,117,293,423,451
b3655,230,306,341,482,566,553,964,1091,1148
b3656,69,89,142,109,105,98,143,221,191
b3657,19,22,21,13,14,10,54,68,81
b3658,5,7,2,3,1,1,19,25,20
b3659,5,1,3,1,2,1,66,102,95
b3660,182,216,249,191,258,248,110,141,148
b3661,71,98,121,125,77,106,70,90,110
b3662,137,147,173,46,84,72,387,430,475
b3663,100,143,134,110,108,116,166,199,227
b3664,56,49,41,16,27,15,150,164,177
b3665,224,204,123,101,125,109,405,519,536
b3666,26,44,26,56,64,54,186,200,208
b3667,20,27,33,33,57,46,527,548,548
b3668,61,88,72,79,93,61,1151,1378,1275
b3669,141,177,161,150,143,106,822,1054,1082
b3670,35,69,19,74,118,60,41,71,25
b3671,311,437,292,981,1100,958,837,1153,899
b3672,21,30,25,67,101,103,50,69,48
b3673,1977,2349,1898,792,859,556,7504,8350,8537
b3674,164,175,267,330,167,246,144,162,162
b3675,6,8,17,13,11,11,5,15,16
b3676,68,75,96,101,125,119,65,84,79
b3677,84,95,96,55,49,52,284,327,319
b3678,25,31,39,27,30,20,85,111,105
b3679,13,13,17,9,11,13,121,167,207
b3680,16,38,44,43,41,39,52,85,88
b3683,6,6,5,4,7,8,37,68,55
b3684,16,12,23,15,15,5,69,105,115
b3685,356,381,557,508,347,438,1519,1824,1897
b3686,45,57,200,49,135,41,9624,12613,17768
b3687,105,163,429,485,694,546,1552,1603,3175
b3688,849,1113,1070,1157,1025,968,1201,1450,1676
b3689,281,284,328,262,281,246,192,219,222
b3690,11,19,23,12,8,14,166,201,247
b3691,18,23,24,27,22,39,125,145,166
b3693,39,64,112,139,113,113,94,143,182
b3696,34,44,50,9,16,11,171,196,254
b3697,535,606,801,592,615,661,215,223,219
b3698,47,85,74,70,116,95,54,71,62
b3699,7584,9766,10790,8592,9783,9529,2368,2544,2795
b3700,241,308,279,160,157,133,412,376,480
b3701,1002,1173,1331,819,761,646,1129,1296,1454
b3702,2543,3169,4029,1195,1322,964,1852,2110,2322
b3703,1166,1399,1190,488,530,449,553,549,694
b3704,154,223,140,48,62,47,243,335,311
b3705,2218,2792,2341,1868,1778,1365,3454,4003,3979
b3706,519,669,641,470,485,411,562,652,720
b3707,7559,3315,2934,489,453,434,90,104,137
b3708,192835,105382,66912,22096,20163,25586,3074,3036,2364
b3709,17910,14468,12017,2474,2571,2992,200,274,279
b3710,218,204,140,48,42,41,61,94,73
b3711,76,98,139,59,36,45,64,88,65
b3712,464,624,857,270,296,256,488,587,696
b3713,750,866,1278,565,703,636,402,409,481
b3714,719,871,838,238,352,229,1254,1616,1648
b3715,126,154,219,38,65,35,118,161,162
b3716,11,16,35,2,4,2,49,38,35
b3717,29,40,73,27,28,30,165,172,187
b3718,14,10,23,7,17,10,50,63,73
b3719,7,12,10,11,7,12,59,93,108
b3720,6,5,11,1,0,3,127,149,152
b3721,15,5,5,3,3,1,17,30,42
b3722,6,8,21,4,6,12,95,87,81
b3723,5,6,16,3,1,1,30,44,36
b3724,160,185,195,236,237,201,127,151,226
b3725,104,151,137,180,213,211,132,147,284
b3726,66,104,94,172,229,150,348,355,681
b3727,59,100,78,94,109,91,423,488,958
b3728,148,267,213,189,187,193,591,691,1495
b3729,3762,4459,2138,3641,3768,3454,1639,1933,2206
b3730,2574,2984,2157,2192,2257,1966,1192,1309,1518
b3731,4210,5982,2964,3032,3249,3378,1175,1169,1415
b3732,10389,15268,7848,9239,9041,9935,2228,2396,2428
b3733,4518,6311,3465,3593,3742,3937,732,775,740
b3734,12097,16953,9453,7540,7920,7639,2579,3003,2951
b3735,2624,3500,1986,1239,1256,1200,423,550,417
b3736,4246,5356,3238,1880,2068,1843,962,1105,882
b3737,2128,2747,1738,887,1013,831,768,875,738
b3738,3621,4389,3240,1244,1489,1003,617,769,791
b3739,1538,1850,1487,313,395,280,630,828,731
b3740,235,282,267,111,157,81,235,236,251
b3741,1997,2292,2412,1065,913,695,3703,4441,4487
b3742,1688,1826,1608,725,492,362,741,812,929
b3743,117,125,72,28,42,41,135,156,113
b3744,11977,5619,3155,1788,1624,1464,17311,20071,18570
b3745,259,334,597,378,352,377,322,390,397
b3746,352,503,647,523,510,550,179,220,257
b3747,302,398,358,261,409,266,365,446,440
b3748,1758,1786,2291,1806,1821,1384,3065,4191,2985
b3749,1118,1239,1442,1545,1424,1163,1678,1974,1664
b3750,1023,1176,904,1418,1349,1167,653,805,635
b3751,7728,9032,4883,4995,4912,5056,743,976,728
b3752,782,893,677,815,731,597,329,471,463
b3753,194,253,213,170,164,127,85,116,108
b3754,472,581,592,206,259,214,211,232,266
b3755,348,444,418,172,160,203,69,72,93
b3756,0,0,0,0,0,0,0,0,0
b3757,0,0,0,0,0,0,0,0,0
b3758,1,1,0,0,2,2,20,8,8
b3759,0,0,0,0,0,0,0,0,0
b3760,0,0,0,0,0,0,0,0,0
b3761,0,0,0,0,0,0,0,0,1
b3764,524,726,803,295,399,300,249,244,296
b3765,145,139,203,164,150,186,87,101,102
b3766,3,7,2,11,8,15,11,20,23
b3769,0,0,1,0,0,0,8,8,5
b3770,272,326,297,299,323,284,409,519,467
b3771,269,369,259,388,411,395,520,609,660
b3772,242,318,169,313,406,364,524,655,645
b3773,268,293,415,286,265,253,896,864,1177
b3774,164,254,261,296,301,350,262,266,270
b3775,267,304,311,113,105,102,392,407,464
b3777,42,48,76,66,47,46,108,100,99
b3778,525,677,712,397,445,262,705,823,857
b3779,1824,2091,2135,1474,1674,1265,1498,1831,1876
b3780,3489,4200,4061,2768,3061,2490,1388,1647,1731
b3781,4170,5467,5794,4324,5547,4764,1181,1454,1379
b3783,7076,9231,10954,3539,3736,2743,5391,6864,6593
b3784,638,704,785,423,438,342,623,784,843
b3785,506,683,684,383,532,366,369,411,481
b3786,406,487,384,271,285,216,318,432,420
b3787,481,633,423,350,401,265,407,523,539
b3788,273,432,335,233,311,233,304,312,326
b3789,220,357,304,239,261,220,204,270,311
b3790,97,160,115,91,98,77,102,114,118
b3791,334,447,454,310,351,320,290,352,412
b3792,137,225,187,166,208,165,315,419,397
b3793,62,84,55,74,143,93,93,123,146
b3794,72,101,88,148,167,139,160,164,198
b3795,218,231,151,149,203,172,459,650,647
b3796,1,4,3,13,10,3,1,2,2
b3797,0,0,0,1,0,0,0,0,0
b3798,0,0,0,0,0,0,0,0,0
b3799,0,0,3,0,0,0,0,1,1
b3800,75,86,127,105,123,86,600,695,696
b3801,48,46,60,41,69,55,204,210,285
b3802,1482,1675,1303,1611,2017,1550,492,604,693
b3803,1401,1657,1331,1304,1636,1408,466,519,503
b3804,479,623,649,573,652,547,164,165,141
b3805,1817,2083,2339,2242,2104,2019,767,905,866
b3806,6540,7884,9589,4562,5238,4719,2893,3423,3695
b3807,148,160,144,142,139,96,129,178,159
b3809,1192,1392,1789,1365,1419,1184,685,915,825
b3810,426,526,632,438,494,413,312,360,421
b3811,420,529,571,393,364,325,170,245,257
b3812,302,326,334,228,249,186,142,159,171
b3813,2586,3235,3266,1856,1867,1582,3012,3757,3797
b3816,664,870,926,213,294,187,1387,1678,1914
b3817,7,15,8,3,7,5,31,39,38
b3818,1,3,1,0,0,2,1,3,1
b3819,57,74,94,83,85,70,238,299,286
b3820,81,67,60,44,39,46,340,307,387
b3821,558,629,636,153,163,121,353,418,457
b3822,526,678,563,365,309,259,826,913,1057
b3823,432,580,899,495,609,474,430,533,535
b3824,55,60,77,52,51,56,62,56,52
b3825,852,1002,1555,631,576,536,561,641,692
b3826,376,509,508,294,321,222,190,218,224
b3827,318,452,592,321,272,320,280,333,325
b3828,110,195,364,1234,591,1252,141,169,204
b3829,215,533,1089,2655,668,1811,522,567,720
b3830,812,1058,455,872,1198,850,166,161,162
b3831,1571,2204,2155,2581,2478,2945,618,871,757
b3832,1153,1344,1454,861,690,579,785,995,902
b3833,1916,2357,2100,1314,1324,1172,849,1094,1019
b3834,367,416,401,215,222,213,245,325,306
b3835,1366,1890,1477,947,1128,849,417,515,519
b3836,1289,1547,1679,981,988,888,256,297,315
b3838,597,804,855,538,580,457,255,339,318
b3839,570,728,750,407,404,361,400,475,480
b3842,156,171,221,78,107,108,304,366,427
b3843,3012,3318,3108,2944,3136,2794,1860,2100,2226
b3844,1738,1917,2038,1697,1808,1395,1178,1356,1454
b3845,1269,1867,323,1015,1638,1136,1255,1463,1322
b3846,2032,2621,712,784,1524,811,5957,7195,6150
b3847,2628,2979,2440,2192,2160,2137,1101,1244,1344
b3848,313,364,301,260,396,286,327,392,389
b3849,457,596,505,498,660,478,652,783,825
b3850,0,4,3,9,6,7,6,11,12
b3851,0,0,0,0,0,0,0,0,0
b3852,0,0,0,0,0,0,0,0,0
b3853,0,0,0,0,0,0,0,0,0
b3854,0,0,0,0,3,1,17,18,21
b3855,0,0,0,0,0,0,0,0,0
b3856,0,5,0,1,0,4,1,3,3
b3857,67,108,109,126,129,111,111,133,119
b3858,342,366,341,325,446,376,68,93,41
b3859,1433,1931,1683,288,475,296,308,306,331
b3860,1288,1599,1303,498,820,590,427,482,455
b3861,29,43,41,5,10,6,114,147,132
b3862,48,66,74,29,17,8,51,83,76
b3863,2995,3756,4075,4659,4282,4755,717,875,780
b3864,11,12,26,15,14,15,38,37,48
b3865,1991,2280,2399,1221,1179,1200,837,960,1015
b3866,668,973,703,1043,1162,1031,213,253,203
b3867,1071,1377,1240,1211,1319,1059,338,428,364
b3868,224,234,198,356,441,362,511,628,712
b3869,154,154,90,203,196,203,264,339,361
b3870,1035,1019,554,1860,1381,1319,226,270,242
b3871,6058,7113,6322,2450,2832,2147,6092,6723,7679
b3872,105,106,180,172,141,143,58,82,63
b3873,133,138,199,160,176,140,64,51,56
b3874,27,12,13,18,24,15,127,154,143
b3875,3,0,0,0,0,1,12,13,16
b3876,5,11,6,7,13,11,194,205,278
b3877,5,5,6,6,8,4,31,42,35
b3878,3,8,4,5,13,9,41,70,70
b3879,2,3,0,6,3,2,19,14,17
b3880,25,14,11,42,41,56,27,45,47
b3881,3,12,7,21,22,13,12,19,20
b3882,1,8,2,9,12,13,13,20,16
b3883,33,38,76,92,70,62,141,222,169
b3884,84,130,150,124,106,128,502,556,504
b3885,348,427,355,541,472,451,454,539,565
b3886,216,340,281,373,480,397,105,136,134
b3887,88,112,137,122,178,147,176,198,221
b3888,309,398,408,434,557,538,530,650,673
b3889,4,3,2,0,1,0,6,8,4
b3890,17,28,28,39,34,18,95,123,125
b3891,2064,2593,1860,1241,1043,1106,778,995,852
b3892,2377,3136,1702,1182,1251,1229,378,462,436
b3893,5692,7442,4201,2724,2873,2788,1002,1063,1078
b3894,27157,31876,23238,13999,16367,14334,8160,9820,8693
b3895,362,505,556,348,429,353,345,402,442
b3896,12,13,15,10,18,17,57,69,67
b3897,13,18,18,18,9,8,93,105,118
b3898,29,38,36,36,63,38,104,109,106
b3899,5,6,19,6,7,19,89,98,106
b3900,0,2,2,0,1,2,4,14,9
b3901,5,5,5,1,4,2,7,9,8
b3902,2,5,6,11,5,9,14,19,19
b3903,13,11,12,30,26,29,24,44,30
b3904,9,5,5,55,29,33,58,69,59
b3905,19,42,26,48,61,46,65,79,81
b3906,45,36,63,70,48,48,44,63,59
b3907,32,38,59,98,71,85,163,225,213
b3908,3545,3723,2216,5340,3987,3718,323,419,429
b3909,61,76,72,47,40,52,125,144,170
b3910,211,264,266,261,236,234,210,317,268
b3911,1129,1521,1218,1149,1498,1193,1223,1446,1571
b3912,985,1149,871,912,1051,958,535,617,633
b3915,644,762,1023,732,748,593,901,830,918
b3916,2054,2755,2984,2771,3536,3110,1756,1833,1884
b3917,63,73,99,224,93,186,307,336,392
b3918,20,32,40,15,9,14,161,215,222
b3919,4439,5471,4664,5179,5660,5094,527,661,731
b3920,48,63,47,32,38,33,31,56,48
b3921,64,79,109,68,101,79,119,130,158
b3922,89,115,120,240,528,398,89,81,81
b3923,170,317,256,485,805,778,336,343,330
b3924,979,1110,819,642,662,658,204,255,235
b3925,394,450,460,325,311,261,325,393,449
b3926,651,784,542,2061,1308,1735,316,454,570
b3927,173,197,250,1145,656,920,121,165,226
b3928,2258,2897,2975,2614,2571,2909,1709,2017,1645
b3929,2233,2661,3654,2686,2972,3123,1017,1192,1219
b3930,131,168,183,137,122,88,176,186,180
b3931,1030,1371,1916,2007,2862,2231,443,516,467
b3932,356,410,759,657,868,682,208,221,277
b3933,742,906,868,618,629,531,804,1013,1128
b3934,748,797,1008,789,700,491,428,560,574
b3935,545,727,664,317,332,264,849,1022,1139
b3936,5103,6329,5689,3943,3775,3862,1628,1647,1360
b3937,130,176,419,165,156,206,421,456,523
b3938,799,1081,1803,1944,1613,2227,475,528,567
b3939,173,260,246,682,479,781,245,370,395
b3940,554,756,766,1309,1076,1217,1697,1834,2234
b3941,69,154,224,1404,855,1665,85,126,135
b3942,3852,5560,3876,9678,9866,11429,1314,1420,1532
b3943,184,210,228,186,207,157,292,325,337
b3944,2,16,33,3,3,8,55,60,93
b3945,1158,1512,3741,1384,1044,1518,167,185,176
b3946,28,43,41,33,58,54,11,26,19
b3947,12,31,12,75,55,92,38,61,40
b3949,12,6,5,15,26,15,59,41,46
b3950,2,3,2,6,6,4,9,11,10
b3951,60,81,49,146,134,128,108,121,137
b3952,13,20,23,30,21,32,35,54,58
b3953,6,11,9,16,13,15,13,27,26
b3954,97,105,130,87,83,59,55,85,109
b3955,288,357,360,235,313,226,296,309,410
b3956,2176,2893,3618,4473,4558,4756,865,1166,1083
b3957,339,399,372,382,387,354,333,393,392
b3958,29,44,52,55,39,56,98,132,142
b3959,28,57,46,103,93,84,89,124,111
b3960,125,205,206,445,554,481,423,456,508
b3961,2378,2851,3812,2028,1922,1774,1605,1725,1930
b3962,6760,6700,4324,1798,2142,1623,735,972,905
b3963,976,1119,1126,765,795,646,762,937,963
b3964,820,924,935,574,569,571,1136,1365,1428
b3965,792,1038,960,671,905,651,914,946,1212
b3966,815,920,1062,565,482,434,537,711,659
b3967,4,10,12,16,8,18,7,2,5
b3968,0,0,0,0,0,0,0,0,0
b3969,0,0,0,1,0,0,0,0,0
b3970,0,0,0,0,0,0,0,0,0
b3971,0,0,0,0,0,0,0,0,0
b3972,233,295,350,138,141,94,147,158,150
b3973,420,508,567,300,286,205,577,645,692
b3974,515,604,652,199,120,99,97,137,138
