gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b2928,189,268,342,151,182,136,172,221,218
b2929,195,288,337,163,184,204,134,143,175
b2930,9,12,4,4,12,10,80,108,103
b2933,8,16,12,7,8,4,84,121,110
b2934,4,3,0,1,4,1,3,11,6
b2935,4817,5502,4747,3484,3048,3271,1265,1539,1388
b2936,1950,2390,2714,3273,2728,2741,1299,1589,1510
b2937,1746,2791,1565,2075,2511,2172,620,676,726
b2938,2439,3869,2353,2651,3617,3075,3030,3556,3824
b2939,176,218,175,44,39,28,75,124,126
b2940,8,5,10,2,0,2,4,12,19
b2942,1459,2346,3103,6538,4005,6582,839,999,1136
b2943,90,97,114,62,113,63,778,883,999
b2944,30,31,31,11,12,9,103,104,129
b2945,21,22,19,12,10,12,182,190,240
b2946,285,331,389,256,323,245,186,235,287
b2947,958,1053,1199,931,811,786,704,882,892
b2948,916,1186,1207,686,633,547,287,407,388
b2949,374,437,446,275,268,184,225,298,235
b2950,28,26,31,27,38,28,105,142,136
b2951,373,484,494,182,259,183,191,206,221
b2952,377,455,388,266,253,227,266,323,317
b2953,34,35,32,14,31,18,8,14,14
b2954,228,269,222,114,145,86,197,207,193
b2955,434,545,329,283,332,225,322,377,381
b2956,20,29,22,11,9,6,82,107,127
b2957,866,767,1437,477,316,759,1109,1412,1358
b2958,221,307,361,232,301,201,1199,1589,1495
b2959,560,775,628,598,651,574,301,419,363
b2960,262,472,398,346,454,329,752,896,917
b2961,507,584,587,381,379,285,375,520,610
b2962,85,116,74,98,144,120,40,48,38
b2963,208,255,180,85,145,109,178,211,255
b2964,244,300,347,542,478,495,271,311,308
b2965,599,807,631,264,319,245,590,743,724
b2966,572,658,710,473,477,497,143,212,210
b2967,7,4,4,0,6,3,13,9,11
b2968,12,18,15,21,16,11,70,70,58
b2969,2,8,9,6,2,1,95,101,110
b2970,2,3,0,0,2,0,93,86,102
b2971,1,2,1,0,3,0,16,35,24
b2972,40,43,31,12,11,11,96,88,106
b2975,100,271,102,67,56,50,312,425,435
b2976,2940,6785,1407,1682,2319,2153,546,646,626
b2977,349,755,152,190,225,220,57,76,58
b2979,1279,2284,949,1180,1213,1048,242,284,313
b2980,793,879,614,448,509,388,3994,4756,4329
b2981,16,20,25,13,21,11,69,91,110
b2982,0,1,0,0,0,0,10,6,7
b2983,3,7,10,5,4,10,59,76,96
