test_group,comparison,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,index,log10_padj,Dbxref,Name,gbkey,gene_biotype,gene_synonym
aminoglycoside,imported_candidate_results,aer,b3072,1319.0,2.41,5.316,9.858e-28,2.187e-24,gene-b3072,23.66,"ASAP:ABE-0010087,ECOCYC:G7595,GeneID:945301",aer,Gene,protein_coding,"air,ECK3062,yqjJ"
aminoglycoside,imported_candidate_results,yhdX,b3269,122.4,2.4,5.276,0.0001276,0.002106,gene-b3269,2.677,"ASAP:ABE-0010733,ECOCYC:EG12835,GeneID:947765",yhdX,Gene,protein_coding,ECK3256
aminoglycoside,imported_candidate_results,ydcS,b1440,193.6,2.385,5.225,1.747e-13,6.36e-11,gene-b1440,10.2,"ASAP:ABE-0004803,ECOCYC:G6751,GeneID:946005",ydcS,Gene,protein_coding,ECK1434
aminoglycoside,imported_candidate_results,ddpA,b1487,1255.0,2.347,5.089,0.0001078,0.001833,gene-b1487,2.737,"ASAP:ABE-0004958,ECOCYC:G6781,GeneID:946052",ddpA,Gene,protein_coding,"ECK1481,yddS"
aminoglycoside,imported_candidate_results,ssnA,b2879,21.13,2.345,5.082,2.592e-06,8.521e-05,gene-b2879,4.07,"ASAP:ABE-0009452,ECOCYC:G7498,GeneID:949072",ssnA,Gene,protein_coding,"ECK2875,ygfL"
aminoglycoside,imported_candidate_results,paaA,b1388,54.23,2.342,5.07,0.0005988,0.007703,gene-b1388,2.113,"ASAP:ABE-0004649,ECOCYC:G6709,GeneID:945833",paaA,Gene,protein_coding,"ECK1385,ydbO"
aminoglycoside,imported_candidate_results,ddpF,b1483,100.4,2.339,5.06,1.065e-09,1.254e-07,gene-b1483,6.902,"ASAP:ABE-0004947,ECOCYC:G6777,GeneID:946020",ddpF,Gene,protein_coding,"ECK1477,yddO"
aminoglycoside,imported_candidate_results,ddpX,b1488,621.7,2.303,4.935,4.233e-05,0.0008275,gene-b1488,3.082,"ASAP:ABE-0004960,ECOCYC:G6782,GeneID:945532",ddpX,Gene,protein_coding,"ECK1482,vanX,yddT"
aminoglycoside,imported_candidate_results,ddpB,b1486,207.9,2.295,4.907,1.778e-05,0.0004068,gene-b1486,3.391,"ASAP:ABE-0004955,ECOCYC:G6780,GeneID:946044",ddpB,Gene,protein_coding,"ECK1480,yddR"
aminoglycoside,imported_candidate_results,ompF,b0929,57620.0,2.293,4.902,7.214e-12,1.334e-09,gene-b0929,8.875,"ASAP:ABE-0003153,ECOCYC:EG10671,GeneID:945554",ompF,Gene,protein_coding,"cmlB,cry,ECK0920,nfxB,tolF"
