antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,frc,b2374,42.77,-2.451,0.1829,1.697e-09,1.758e-07,16.556458747821768,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,putP,b1015,2774.0,1.806,3.496,3.482e-12,7.727e-10,16.456252292485477,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yqeF,b2844,1568.0,1.588,3.007,1.863e-13,6.36e-11,16.19211010035032,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,aldA,b1415,6318.0,2.119,4.343,1.673e-10,2.32e-08,16.177530960016185,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,rutF,b1007,41.34,2.784,6.887,2.002e-08,1.57e-06,16.15861536769269,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ddpF,b1483,100.4,2.339,5.06,1.065e-09,1.254e-07,16.1430820621389,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,prpB,b0331,17.07,2.76,6.774,2.76e-08,1.976e-06,15.743628044905556,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,rdcB,b4110,882.9,1.625,3.085,7.485e-13,2.076e-10,15.734505557588317,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dppC,b3542,474.5,2.891,7.419,6.522e-08,3.86e-06,15.650176102193956,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,prpR,b0330,84.88,2.016,4.046,1.386e-10,2.05e-08,15.4995042161116,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,lysA,b2838,80.75,-2.291,0.2043,1.743e-09,1.758e-07,15.475661767139808,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,fliC,b1923,150000.0,1.638,3.113,1.665e-12,3.89e-10,15.41366255302849,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,glpB,b2242,1418.0,2.868,7.303,1.246e-07,6.661e-06,14.846088904272127,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yhdZ,b3271,123.0,1.925,3.797,1.542e-10,2.208e-08,14.737801792064966,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,actP,b4067,645.3,2.702,6.507,7.39e-08,4.315e-06,14.49628187826158,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,zraP,b4002,28.13,2.576,5.964,5.18e-08,3.341e-06,14.106494198756174,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,rutD,b1009,49.88,2.718,6.578,1.629e-07,8.31e-06,13.808524417354787,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dppA,b3544,15230.0,2.759,6.769,2.979e-07,1.309e-05,13.472363515166466,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,argT,b2310,1748.0,1.991,3.975,1.721e-09,1.758e-07,13.449167428361134,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,glpQ,b2239,4426.0,2.444,5.441,5.896e-08,3.536e-06,13.32343604550251,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ydeT,b1505,63.82,-2.575,0.1678,2.465e-07,1.144e-05,12.724552987023213,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,lldR,b3604,1509.0,3.005,8.03,2.533e-06,8.389e-05,12.249250865838329,input
