gene_id,gene,CAZ_2,CAZ_3,CAZ_4,Wu_2,Wu_3,Wu_4
b0876,b0876,510,672,1235,739,656,724
b0877,b0877,186,220,379,149,171,154
b0878,b0878,283,357,648,371,438,386
b0879,b0879,316,434,774,692,1014,743
b0880,b0880,8978,12734,8980,15805,18409,19281
b0881,b0881,200,236,428,261,247,214
b0882,b0882,16603,24571,32254,16920,20033,18278
b0883,b0883,10,26,14,14,14,9
b0884,b0884,2584,2979,2847,1030,1393,1156
b0885,b0885,262,361,336,231,236,244
b0886,b0886,862,1118,1073,1487,1327,1255
b0887,b0887,839,1127,1161,986,1015,906
b0888,b0888,861,925,733,470,490,373
b0889,b0889,1231,1597,1770,1208,1370,1227
b0890,b0890,7856,10860,9335,5922,7254,5702
b0891,b0891,1398,2063,1793,979,909,1034
b0892,b0892,1190,1793,1736,857,895,722
b0893,b0893,6378,8466,12083,11268,11074,11344
b0894,b0894,1088,1401,3872,1842,1225,1974
b0895,b0895,152,213,754,264,173,276
b0896,b0896,278,379,1259,498,358,463
b0897,b0897,5692,8763,6545,10471,12007,13528
b0898,b0898,1269,1528,1717,335,365,244
b0899,b0899,145,209,197,115,96,83
b0900,b0900,19,15,34,18,13,12
b0901,b0901,5,2,8,5,6,4
b0902,b0902,2389,2976,4113,1670,2050,1998
b0903,b0903,25483,33345,43869,37030,39226,42596
b0904,b0904,2755,3084,4177,2141,2118,1767
b0905,b0905,1031,1462,1186,694,526,471
b0906,b0906,113,183,122,243,335,252
b0907,b0907,1431,1873,1906,1820,2110,1657
b0908,b0908,271,335,351,342,389,267
b0909,b0909,20,20,26,16,13,16
b0910,b0910,2521,2932,2779,947,1181,814
b0911,b0911,38403,48304,35973,25385,28792,23323
b0912,b0912,1833,2667,2182,1941,2383,2302
b0913,b0913,181,240,222,358,351,294
b0914,b0914,1444,1855,1733,1479,1477,1115
b0915,b0915,367,519,386,447,450,309
b0916,b0916,131,190,160,87,105,93
b0917,b0917,23,29,20,16,32,33
b0918,b0918,1145,1358,1547,1204,1228,1300
b0919,b0919,1031,1270,2082,2765,2143,2811
b0920,b0920,109,157,188,85,103,82
b0921,b0921,510,611,592,317,324,276
b0922,b0922,493,677,547,473,504,441
b0923,b0923,261,290,241,305,308,288
b0924,b0924,3346,5098,2691,4789,5682,5002
b0925,b0925,1375,2465,1447,2029,2816,2107
b0926,b0926,2874,3678,3875,1748,2042,1542
b0927,b0927,2479,3006,3083,1748,2016,1470
b0928,b0928,2303,2882,2338,2029,1909,1886
b0929,b0929,8452,7211,6178,4287,2647,2651
b0930,b0930,4710,5924,6615,5167,5226,4484
b0931,b0931,2984,3638,3969,1160,1212,853
b0932,b0932,2894,3052,2627,3096,3560,3288
b0933,b0933,33,45,33,43,48,24
b0934,b0934,3,6,3,6,11,2
b0935,b0935,16,19,23,21,27,13
b0936,b0936,4,6,7,13,10,6
b0937,b0937,2,1,0,1,3,1
b0938,b0938,16,17,18,11,26,7
b0939,b0939,7,3,1,1,7,2
b0940,b0940,20,26,49,13,12,11
b0941,b0941,39,41,57,18,26,24
b0942,b0942,6,7,16,3,13,1
b0943,b0943,6,3,11,5,7,6
b0944,b0944,26,23,52,23,43,32
b0945,b0945,512,634,434,89,76,51
b0946,b0946,403,450,797,201,199,141
b0947,b0947,376,498,492,459,409,435
b0948,b0948,1194,1411,1129,597,732,556
b0949,b0949,1081,1403,916,1077,1303,920
b0950,b0950,279,339,297,378,492,356
b0951,b0951,392,559,346,596,807,644
b0952,b0952,181,226,127,257,311,238
b0953,b0953,22673,35780,28819,82725,124272,109793
b0954,b0954,1795,2450,2113,1719,1790,1542
b0955,b0955,2152,2579,2184,2086,2332,1917
b0956,b0956,304,364,590,267,268,308
b0957,b0957,39739,50751,24029,66123,77651,71855
b0958,b0958,1668,2685,1885,540,575,490
b0959,b0959,167,235,291,194,237,179
b0960,b0960,529,631,570,318,418,277
b0961,b0961,176,263,264,93,98,78
b0962,b0962,970,1309,1260,1676,1916,1921
b0963,b0963,601,746,804,1043,875,937
b0964,b0964,43,61,58,96,124,113
b0965,b0965,1259,1756,1685,1270,1904,1359
b0966,b0966,1307,1813,3360,2439,3172,2937
b0967,b0967,531,617,556,405,344,295
b0968,b0968,118,173,148,240,347,238
b0969,b0969,329,396,447,146,204,145
b0970,b0970,6460,8310,8206,2500,4083,2969
b0971,b0971,18,23,25,16,24,6
b0972,b0972,70,129,87,367,669,605
b0973,b0973,79,127,93,383,591,589
b0974,b0974,45,47,56,165,244,224
b0975,b0975,41,47,75,172,288,239
b0976,b0976,6,20,19,62,76,62
b0977,b0977,47,85,90,134,238,162
b0978,b0978,89,139,133,616,1158,866
b0979,b0979,77,158,89,746,1493,1098
b0980,b0980,141,227,161,693,1236,943
b0981,b0981,160,210,212,263,376,285
b0982,b0982,0,1,7,5,6,6
b0983,b0983,12,11,13,19,19,15
b0984,b0984,20,7,18,7,15,10
b0985,b0985,5,1,7,0,0,0
b0986,b0986,2,0,1,1,1,1
b0987,b0987,6,14,10,4,4,10
b0988,b0988,5,4,5,9,3,7
b0989,b0989,8,16,10,1,4,3
b0990,b0990,1091,1160,1108,250,513,262
b0991,b0991,15,22,21,4,7,3
b0992,b0992,23,29,303,35,9,90
b0993,b0993,88,139,140,74,87,76
b0994,b0994,49,75,79,102,97,104
b0995,b0995,80,104,100,127,114,107
b0996,b0996,3,3,3,3,10,3
b0997,b0997,35,41,45,56,60,68
b0998,b0998,26,29,66,34,42,34
b0999,b0999,327,716,565,2341,3536,2747
b1000,b1000,928,1997,1745,6696,9953,7869
b1001,b1001,6,5,8,8,8,2
b1002,b1002,3987,4715,4725,7199,6985,7433
b1003,b1003,642,1092,857,1298,1741,1619
b1004,b1004,2071,3327,2226,4587,5616,5422
b1006,b1006,31,83,73,84,101,79
b1007,b1007,6,11,5,11,11,5
b1008,b1008,5,1,1,5,2,1
b1009,b1009,1,7,7,3,6,3
b1010,b1010,0,0,3,2,1,2
b1011,b1011,2,0,0,1,4,0
b1012,b1012,1,6,0,1,2,2
b1013,b1013,147,166,158,115,135,116
b1014,b1014,20324,15291,1799,2876,2362,2948
b1015,b1015,2689,2410,620,614,726,557
b1018,b1018,127,172,83,97,122,105
b1019,b1019,133,168,87,135,90,80
b1020,b1020,2898,4700,858,588,1139,519
b1021,b1021,15,17,13,3,3,6
b1022,b1022,10,9,6,9,6,2
b1023,b1023,15,14,14,6,12,8
b1024,b1024,37,59,58,33,51,25
b1025,b1025,15,27,23,17,24,18
b1026,b1026,4,3,1,3,1,1
b1027,b1027,0,1,0,0,0,0
b1028,b1028,1,1,1,0,0,0
b1029,b1029,4,5,8,3,5,6
b1032,b1032,4,1,5,2,0,2
b1033,b1033,348,361,313,321,373,373
b1034,b1034,591,752,648,528,522,487
b1035,b1035,447,574,455,375,349,254
b1036,b1036,212,269,332,201,228,209
b1037,b1037,62,110,138,84,149,85
b1038,b1038,5,7,11,8,9,8
b1039,b1039,12,14,16,17,25,7
b1040,b1040,88,194,216,144,228,123
b1041,b1041,2,0,2,4,4,1
b1042,b1042,10,38,18,34,37,24
b1043,b1043,0,2,2,1,1,0
b1044,b1044,4,9,8,10,6,5
b1045,b1045,278,404,391,517,624,477
b1046,b1046,528,671,567,644,761,587
b1047,b1047,189,192,213,41,54,33
b1048,b1048,3072,3897,4071,2846,3136,2620
b1049,b1049,3026,3791,3192,4290,5347,4039
b1050,b1050,53,62,39,62,89,90
b1051,b1051,1683,2508,886,2045,2977,3004
b1053,b1053,269,306,439,201,241,208
b1054,b1054,606,750,947,1043,956,1269
b1055,b1055,810,982,728,205,239,170
b1056,b1056,94,148,144,117,148,132
b1057,b1057,14,16,27,5,8,8
b1058,b1058,0,2,3,0,1,1
b1059,b1059,328,375,367,246,264,254
b1060,b1060,4894,5790,11099,2029,3069,2688
b1061,b1061,295,304,269,77,87,62
b1062,b1062,864,1050,941,178,185,150
b1063,b1063,1276,1688,1728,878,698,962
b1064,b1064,1836,2699,2220,2823,2632,3206
b1065,b1065,435,481,911,672,842,750
b1066,b1066,270,334,361,416,448,451
b1067,b1067,244,324,279,358,358,392
b1068,b1068,363,464,419,526,536,573
b1069,b1069,305,408,446,246,222,166
b1070,b1070,52,50,76,39,47,39
b1071,b1071,50,64,80,71,47,52
b1072,b1072,30,59,55,29,40,24
b1073,b1073,0,0,0,2,0,0
b1074,b1074,0,2,0,2,1,0
b1075,b1075,3,8,7,10,6,3
b1076,b1076,17,12,10,15,16,17
b1077,b1077,15,16,9,19,22,17
b1078,b1078,21,32,14,25,29,29
b1079,b1079,2,11,10,10,8,9
b1080,b1080,12,18,11,7,15,5
b1081,b1081,7,13,9,7,18,11
b1082,b1082,32,32,43,36,53,42
b1083,b1083,64,104,163,81,116,111
b1084,b1084,6967,7601,5858,4057,5367,3828
b1085,b1085,6,6,1,0,1,1
b1086,b1086,728,821,675,278,248,154
b1087,b1087,507,644,712,508,549,497
b1088,b1088,3901,5379,5092,1880,1950,1680
b1089,b1089,1862,2412,2242,1390,1353,1215
b1090,b1090,1785,2213,2157,1207,1345,1058
b1091,b1091,1223,1618,1365,1243,1360,1084
b1092,b1092,1761,2393,1830,1705,2090,1799
b1093,b1093,8793,12690,12160,9470,10262,9296
b1094,b1094,15531,19393,19071,10644,13453,11232
b1095,b1095,7349,9404,9549,4548,4869,4040
b1096,b1096,186,229,238,249,235,191
b1097,b1097,203,228,278,242,270,181
b1098,b1098,194,248,252,289,275,248
b1099,b1099,289,355,327,358,405,333
b1100,b1100,694,974,682,1201,1385,1319
b1101,b1101,1321,1803,1299,2797,3160,2565
b1102,b1102,119,132,113,79,49,45
b1103,b1103,369,495,368,556,605,533
b1104,b1104,182,252,188,259,301,267
b1105,b1105,543,671,519,735,961,772
b1106,b1106,173,211,166,203,269,181
b1107,b1107,482,663,555,655,740,640
b1108,b1108,991,1309,1243,1020,1052,1100
b1109,b1109,3525,3928,8429,1340,1409,1391
b1110,b1110,1941,2297,2912,2141,1011,1868
b1111,b1111,708,865,916,613,627,788
b1112,b1112,2272,4131,2682,232,533,528
b1113,b1113,741,1072,984,246,410,254
b1114,b1114,1729,2115,2338,2255,2815,2397
b1115,b1115,5,15,9,6,4,3
b1116,b1116,593,630,578,393,453,301
b1117,b1117,408,414,439,278,337,278
b1118,b1118,786,983,806,803,880,680
b1119,b1119,1018,1323,1101,1034,1070,966
b1120,b1120,653,858,645,511,571,521
b1121,b1121,6,1,6,1,1,1
b1122,b1122,0,4,2,4,1,2
b1123,b1123,1190,1918,1278,2036,1687,2117
b1124,b1124,101,134,129,131,113,116
b1125,b1125,79,131,118,86,83,84
b1126,b1126,509,690,717,333,311,224
b1127,b1127,814,1102,937,1725,1869,1962
b1128,b1128,3017,3949,4395,3549,3644,3703
b1129,b1129,462,553,594,516,605,548
b1130,b1130,420,433,456,399,537,445
b1131,b1131,1786,2332,1444,989,1088,1084
b1132,b1132,725,785,654,417,431,350
b1133,b1133,2589,3058,2638,1202,1242,910
b1134,b1134,216,243,203,149,176,119
b1135,b1135,316,386,267,169,205,157
b1136,b1136,34015,38000,15421,13270,15164,15118
b1137,b1137,36,22,9,25,39,18
b1138,b1138,33,49,32,35,40,36
b1139,b1139,66,64,54,51,67,64
b1140,b1140,34,37,41,20,42,32
b1141,b1141,1,2,0,2,2,7
b1143,b1143,67,120,134,85,72,105
b1144,b1144,7,3,12,31,59,41
b1145,b1145,180,228,285,296,363,330
b1146,b1146,0,1,1,1,1,0
b1147,b1147,1,0,2,9,18,7
b1148,b1148,3,1,2,0,5,3
b1150,b1150,0,0,0,0,0,0
b1151,b1151,0,0,1,1,9,6
b1152,b1152,2,0,5,3,13,8
b1153,b1153,1,1,0,0,2,3
b1154,b1154,1,2,2,0,2,1
b1155,b1155,0,5,0,0,1,0
b1156,b1156,0,1,0,2,1,1
b1157,b1157,0,0,1,0,1,1
b1158,b1158,0,1,2,0,1,0
b1159,b1159,32,48,33,19,22,14
b1160,b1160,2,3,0,0,0,1
b1161,b1161,13,7,4,1,2,0
b1162,b1162,1114,1179,1304,614,608,571
b1163,b1163,1232,1264,786,185,252,190
b1164,b1164,12,15,13,1,2,2
b1165,b1165,4,10,8,2,2,0
b1166,b1166,29,78,30,46,110,132
b1167,b1167,12,20,7,5,30,12
b1168,b1168,27,37,31,40,67,41
b1171,b1171,22,36,51,30,36,17
b1172,b1172,10,13,20,2,4,3
b1174,b1174,298,308,240,294,344,221
b1175,b1175,1411,1677,1699,1569,1712,1546
b1176,b1176,769,910,1024,977,1094,891
b1177,b1177,87,114,80,56,63,57
b1178,b1178,167,253,329,198,165,244
b1179,b1179,220,286,340,154,193,156
b1180,b1180,470,538,586,343,405,324
b1181,b1181,145,181,152,149,225,192
b1182,b1182,56,62,53,55,56,68
b1183,b1183,66,48,49,18,19,21
b1184,b1184,79,93,82,20,37,32
b1185,b1185,436,545,548,300,272,241
b1186,b1186,438,578,606,469,563,458
b1187,b1187,2910,3360,3981,2185,1927,1683
b1188,b1188,5095,9320,3635,8812,11291,10386
b1189,b1189,2987,3910,1597,4720,6619,4552
b1190,b1190,2502,3764,867,5133,6250,4465
b1191,b1191,772,912,1033,495,600,440
b1192,b1192,168,208,277,218,225,206
b1193,b1193,242,303,272,144,218,168
b1194,b1194,6,7,5,7,6,5
b1195,b1195,185,302,287,364,710,495
b1196,b1196,13,24,34,18,27,15
b1197,b1197,296,363,223,394,567,397
b1198,b1198,623,923,804,860,881,992
b1199,b1199,305,418,363,494,517,523
b1200,b1200,777,1060,812,1102,1006,1220
b1201,b1201,132,132,214,101,122,88
b1202,b1202,141,173,237,106,125,91
b1203,b1203,2641,3062,2493,1439,1459,1393
b1204,b1204,439,534,523,198,200,173
b1205,b1205,7503,11136,8085,19847,23231,25326
b1206,b1206,242,301,379,156,181,137
b1207,b1207,4801,5785,4235,2074,2046,1810
b1208,b1208,2232,2603,2428,1925,2301,1646
b1209,b1209,308,380,379,377,376,341
b1210,b1210,1771,2102,1935,1277,1368,1070
b1211,b1211,775,950,844,524,611,465
b1212,b1212,210,273,252,146,200,111
b1213,b1213,30,36,28,11,14,9
b1214,b1214,664,752,893,474,536,449
b1215,b1215,1405,1680,1779,1131,1255,1025
b1216,b1216,287,342,460,52,75,44
b1217,b1217,87,108,108,194,214,197
b1218,b1218,303,362,897,622,667,588
b1219,b1219,702,843,692,915,739,884
b1220,b1220,110,137,215,207,219,151
b1221,b1221,282,354,1420,1482,261,1487
b1222,b1222,321,382,842,1224,325,925
b1223,b1223,31,45,1488,5236,107,3296
b1224,b1224,205,337,25156,37780,2180,14111
b1225,b1225,94,125,21599,8344,496,3778
b1226,b1226,29,30,6130,1503,110,773
b1227,b1227,31,53,8716,1629,179,826
b1229,b1229,0,0,0,0,0,0
b1230,b1230,136,135,129,19,23,14
b1231,b1231,236,266,233,19,44,24
b1232,b1232,616,562,622,261,304,187
b1233,b1233,329,446,543,198,219,145
b1234,b1234,929,1152,1099,822,980,592
b1235,b1235,1004,1379,1203,1434,1691,1287
b1236,b1236,1169,1655,1610,1016,1406,1043
b1237,b1237,4474,5613,11244,10843,13264,12552
b1238,b1238,58,59,109,30,53,27
b1241,b1241,9768,14289,11486,21449,27355,27334
b1242,b1242,212,250,301,112,144,115
b1243,b1243,112232,124565,69240,28271,36458,29917
b1244,b1244,5400,5972,3834,1995,3039,1977
b1245,b1245,5625,7172,4168,2508,3667,2470
b1246,b1246,9104,12970,7277,4018,5879,4388
b1247,b1247,11822,16782,9200,4465,6396,5130
b1248,b1248,148,170,199,169,231,178
b1249,b1249,566,637,852,724,836,652
b1250,b1250,308,431,423,369,609,482
b1251,b1251,556,694,550,428,433,391
b1252,b1252,212,262,253,438,263,301
b1253,b1253,93,119,110,38,44,29
b1254,b1254,533,780,804,470,638,528
b1255,b1255,772,918,964,573,551,534
b1256,b1256,857,880,379,386,741,388
b1257,b1257,36,70,25,45,161,99
b1258,b1258,28,57,12,34,80,50
b1259,b1259,139,250,80,260,510,339
b1260,b1260,440,716,380,393,580,427
b1261,b1261,544,801,481,434,688,512
b1262,b1262,342,480,394,351,500,412
b1263,b1263,20,89,42,133,271,238
b1264,b1264,33,48,52,100,163,180
b1265,b1265,8,16,25,13,8,9
b1266,b1266,401,437,496,235,274,229
b1267,b1267,396,543,650,364,399,378
b1268,b1268,91,93,124,42,53,26
b1269,b1269,1140,1356,1177,507,475,415
b1270,b1270,212,311,238,216,215,213
b1271,b1271,246,280,274,256,263,245
b1272,b1272,1400,1736,1812,1257,1412,1234
b1273,b1273,1442,1778,1650,1258,1355,1353
b1274,b1274,3774,4882,4996,4379,5163,4054
b1275,b1275,3108,4062,4933,3776,3893,4001
b1276,b1276,6043,7733,3015,10651,16373,14819
b1277,b1277,1294,1597,1895,998,1090,1039
b1278,b1278,493,587,730,688,791,687
b1279,b1279,643,851,1069,776,850,695
b1280,b1280,824,1023,1531,965,956,828
b1281,b1281,556,713,503,170,173,103
b1282,b1282,62,65,49,15,19,16
b1283,b1283,5937,7603,6838,3510,4325,4036
b1284,b1284,135,117,139,137,120,112
b1285,b1285,210,294,219,474,762,612
b1286,b1286,1686,1814,1827,1483,1158,1173
b1287,b1287,42,51,71,670,276,441
b1288,b1288,6078,8362,5654,6858,6538,6559
b1289,b1289,186,201,271,141,170,128
b1290,b1290,185,315,192,283,309,290
b1291,b1291,333,607,285,543,678,613
b1292,b1292,170,218,121,250,348,258
b1293,b1293,165,262,130,310,408,301
b1294,b1294,555,811,588,794,1002,852
b1295,b1295,336,473,315,107,119,110
b1296,b1296,1658,2771,526,242,671,251
b1297,b1297,2718,3972,1159,311,1251,405
b1298,b1298,1008,1332,412,104,301,102
b1299,b1299,894,1392,507,139,346,122
b1300,b1300,4448,7348,904,277,1719,554
b1301,b1301,2771,4458,511,200,1229,382
b1302,b1302,3101,5351,579,285,1513,474
b1303,b1303,118,130,146,148,136,140
b1304,b1304,2879,3820,3061,284,529,354
b1305,b1305,33,59,42,9,11,18
b1306,b1306,227,284,239,47,55,47
b1307,b1307,96,139,100,21,34,26
b1308,b1308,2832,2869,3447,1780,1252,1471
b1309,b1309,11,30,23,6,4,4
b1310,b1310,7,13,12,2,4,1
b1311,b1311,8,10,5,15,3,4
b1312,b1312,2,5,7,10,18,20
b1313,b1313,20,24,9,18,40,24
b1314,b1314,17,14,13,25,26,17
b1315,b1315,23,18,35,32,40,27
b1316,b1316,44,66,65,44,51,45
b1317,b1317,5,3,2,4,4,3
b1319,b1319,9,3,4,0,0,0
b1320,b1320,99,132,125,29,42,23
b1321,b1321,556,766,1617,696,928,723
b1322,b1322,247,293,533,352,504,364
b1323,b1323,1228,1674,2302,1774,1839,1817
b1324,b1324,5780,6525,3859,3531,4310,4124
b1325,b1325,897,1157,1637,983,1057,930
b1326,b1326,547,580,704,630,592,580
b1327,b1327,39,69,42,61,90,74
b1328,b1328,121,146,137,66,103,87
b1329,b1329,572,752,804,357,375,274
b1330,b1330,150,172,314,103,96,95
b1331,b1331,3,0,1,0,0,0
b1332,b1332,3105,3773,2780,1037,1582,1194
b1333,b1333,5787,8301,9072,9404,8432,10556
b1334,b1334,5642,7324,7734,4349,5601,5024
b1335,b1335,230,316,317,156,92,116
b1336,b1336,39,45,38,30,40,23
b1337,b1337,19,33,15,30,37,23
b1338,b1338,12,29,27,33,36,39
b1339,b1339,206,232,260,122,169,87
b1340,b1340,222,241,246,172,147,179
b1341,b1341,252,391,183,566,745,542
b1342,b1342,192,220,173,432,538,444
b1343,b1343,770,1031,721,664,699,519
b1344,b1344,674,909,832,477,496,483
b1345,b1345,25,21,26,23,55,40
b1346,b1346,0,1,0,0,0,0
b1347,b1347,0,0,0,0,0,1
b1348,b1348,0,0,0,0,0,0
b1349,b1349,17,18,18,26,25,28
b1350,b1350,16,21,11,28,52,26
b1351,b1351,0,0,0,1,6,0
b1352,b1352,1,0,0,0,0,0
b1353,b1353,5,4,5,2,2,3
b1355,b1355,10,14,19,1,8,5
b1356,b1356,841,1188,885,593,635,618
b1357,b1357,4,5,17,6,7,8
b1358,b1358,8,18,7,10,13,13
b1359,b1359,16,26,18,26,26,15
b1360,b1360,8,15,13,7,19,4
b1361,b1361,14,8,21,10,25,12
b1362,b1362,0,1,0,0,0,0
b1363,b1363,236,246,198,113,162,113
b1365,b1365,4,5,5,0,1,2
b1366,b1366,5,7,8,0,5,2
b1368,b1368,8,20,20,5,6,6
b1370,b1370,31,45,51,35,28,30
b1372,b1372,49,48,79,51,57,46
b1373,b1373,0,0,0,0,0,0
b1374,b1374,0,0,0,0,0,0
b1375,b1375,0,0,0,0,0,0
b1376,b1376,1547,2154,1745,982,1025,1213
b1377,b1377,7,9,11,5,7,2
b1378,b1378,3767,5342,3449,5339,7308,6325
b1379,b1379,1104,1277,1448,795,555,805
b1380,b1380,209,314,316,263,479,400
b1381,b1381,489,630,629,657,798,643
b1382,b1382,0,0,0,0,0,0
b1383,b1383,74,61,67,38,44,32
b1384,b1384,320,371,187,164,194,146
b1385,b1385,348,477,257,312,398,367
b1386,b1386,63,69,70,35,36,29
b1387,b1387,85,110,29,30,45,37
b1388,b1388,35,59,11,15,63,25
b1389,b1389,18,20,0,2,6,2
b1390,b1390,48,86,12,29,44,26
b1391,b1391,33,47,11,23,33,19
b1392,b1392,91,139,23,69,105,76
b1393,b1393,58,74,7,35,55,44
b1394,b1394,42,76,6,34,49,30
b1395,b1395,90,170,35,103,151,104
b1396,b1396,13,24,5,24,24,23
b1397,b1397,808,1190,349,469,550,421
b1398,b1398,1078,1406,358,567,641,525
b1399,b1399,414,545,196,510,632,521
b1400,b1400,302,373,152,233,372,282
b1402,b1402,3,1,2,0,4,0
b1403,b1403,0,0,0,0,0,0
b1404,b1404,0,0,0,0,0,0
b1406,b1406,416,485,552,1029,790,873
b1407,b1407,32,29,33,15,23,23
b1408,b1408,2,1,3,0,0,0
b1409,b1409,1,0,2,0,2,1
b1410,b1410,60,49,101,37,59,33
b1411,b1411,60,71,98,80,89,62
b1412,b1412,163,202,150,115,157,112
b1413,b1413,2455,3121,2963,3207,3729,3418
b1414,b1414,952,1241,1323,1160,675,1047
b1415,b1415,9505,13652,2055,6505,8652,7163
b1418,b1418,290,335,302,137,215,154
b1419,b1419,357,463,482,247,191,183
b1420,b1420,1,5,3,2,4,0
b1421,b1421,147,158,220,68,92,54
b1422,b1422,1493,1654,684,336,478,264
b1423,b1423,2103,2780,1071,2543,2868,2332
b1424,b1424,1506,2008,1424,835,939,773
b1426,b1426,2050,2403,2761,2225,1967,2729
b1427,b1427,390,463,549,412,318,275
b1428,b1428,192,265,102,389,566,463
b1429,b1429,140,235,354,240,207,230
b1430,b1430,320,368,382,178,196,175
b1431,b1431,390,524,617,816,1072,1062
b1432,b1432,531,696,893,536,477,424
b1433,b1433,45,57,63,77,69,75
b1434,b1434,28,57,44,37,31,31
b1435,b1435,557,722,526,365,385,254
b1436,b1436,35,47,56,24,29,23
b1438,b1438,93,79,147,48,60,48
b1439,b1439,281,349,381,138,187,119
b1440,b1440,2271,3349,1418,3414,4480,2992
b1441,b1441,949,1457,451,1155,1606,1210
b1442,b1442,529,805,258,521,777,540
b1443,b1443,909,1426,534,867,1130,911
b1444,b1444,6416,9498,4150,6629,7651,7963
b1445,b1445,101,162,131,42,57,42
b1446,b1446,494,621,531,448,472,554
b1447,b1447,51,75,79,95,112,99
b1448,b1448,158,180,223,260,302,256
b1449,b1449,359,452,252,724,970,830
b1450,b1450,97,181,137,66,83,40
b1451,b1451,308,299,168,102,206,96
b1452,b1452,565,644,358,308,287,243
b1453,b1453,65,72,59,38,44,35
b1454,b1454,56,126,55,155,172,137
b1455,b1455,2,0,0,0,1,0
b1456,b1456,7,9,13,10,3,5
b1457,b1457,12,12,6,2,7,4
b1459,b1459,17,34,40,4,12,6
b1460,b1460,0,0,1,0,0,0
b1461,b1461,129,153,142,109,111,75
b1462,b1462,64,93,79,144,118,122
b1463,b1463,91,140,85,97,100,90
b1464,b1464,775,989,933,913,758,895
b1465,b1465,78,208,729,311,189,235
b1466,b1466,103,220,638,325,173,252
b1467,b1467,210,663,1255,831,531,746
b1468,b1468,473,1209,1238,1439,1047,1340
b1469,b1469,164,289,228,102,141,117
b1471,b1471,2,0,0,0,2,1
b1472,b1472,0,0,1,0,0,0
b1473,b1473,31,48,49,43,28,19
b1474,b1474,131,146,2319,462,62,260
b1475,b1475,34,31,1256,119,20,72
b1476,b1476,51,57,1398,132,66,110
b1477,b1477,424,561,815,681,679,571
b1478,b1478,2789,4679,2128,5555,9289,7627
b1479,b1479,3797,4022,2122,1883,2193,1766
b1480,b1480,4264,6299,4295,10926,15473,14970
b1481,b1481,95,126,63,24,46,23
b1482,b1482,4653,6798,5235,8717,10409,10002
b1483,b1483,182,295,65,180,173,155
b1484,b1484,149,277,39,171,210,151
b1485,b1485,82,191,34,63,137,89
b1486,b1486,94,154,25,68,77,59
b1487,b1487,196,327,61,121,207,130
b1488,b1488,62,97,22,17,34,19
b1489,b1489,127,228,319,627,804,550
b1490,b1490,181,268,583,648,666,543
b1491,b1491,445,496,580,406,449,376
b1492,b1492,4620,15939,15450,62735,76950,69564
b1493,b1493,97,294,292,1894,2685,2137
b1494,b1494,20,38,56,18,23,25
b1495,b1495,8,14,13,10,12,9
b1496,b1496,2,0,1,1,1,0
b1497,b1497,3,11,9,3,4,1
b1498,b1498,110,140,84,42,47,45
b1499,b1499,7,12,13,1,2,1
b1500,b1500,0,1,0,0,0,0
b1501,b1501,86,84,135,41,49,41
b1502,b1502,2,3,5,1,1,3
b1503,b1503,2,0,3,1,0,2
b1504,b1504,3,0,2,0,0,0
b1505,b1505,6,1,6,0,3,0
b1506,b1506,1,3,3,1,2,0
b1507,b1507,72,118,97,164,188,130
b1508,b1508,8,10,13,18,10,22
b1511,b1511,677,1007,1561,2294,2129,2400
b1512,b1512,273,413,577,1632,1432,1353
b1513,b1513,235,371,253,2645,2372,2454
b1514,b1514,118,234,233,1147,1077,1125
b1515,b1515,121,173,199,536,570,570
b1516,b1516,432,784,899,1523,1566,1653
b1517,b1517,463,772,1128,1248,1425,1385
b1518,b1518,135,254,486,388,376,475
b1519,b1519,513,727,839,937,1172,979
b1520,b1520,56,61,49,16,21,12
b1521,b1521,197,252,319,271,185,190
b1522,b1522,250,331,562,230,236,246
b1523,b1523,23,33,16,9,13,11
b1524,b1524,233,281,221,130,99,84
b1525,b1525,214,334,201,178,217,138
b1526,b1526,132,141,133,98,124,100
b1527,b1527,9,5,5,0,2,0
b1528,b1528,78,72,113,97,133,116
b1529,b1529,339,383,343,402,489,377
b1530,b1530,145,163,152,19,21,19
b1531,b1531,203,198,184,51,62,34
b1532,b1532,55,66,58,8,22,19
b1533,b1533,203,301,200,222,313,186
b1534,b1534,150,181,170,124,185,110
b1535,b1535,1658,2362,2287,137,172,107
b1536,b1536,170,343,141,408,621,519
b1537,b1537,71,89,67,72,131,77
b1538,b1538,1010,1105,739,1179,1358,1292
b1539,b1539,997,1187,1253,1091,1155,1185
b1540,b1540,704,874,763,471,473,359
b1541,b1541,49,65,79,44,52,76
b1542,b1542,25,23,38,20,29,19
b1544,b1544,0,0,0,0,0,0
b1545,b1545,1,0,1,0,0,0
b1546,b1546,0,0,0,0,0,0
b1547,b1547,1,11,11,2,3,5
b1548,b1548,1,0,0,0,0,0
b1549,b1549,2,3,1,1,1,0
b1550,b1550,179,207,194,40,69,46
b1551,b1551,307,372,477,23,47,23
b1552,b1552,7102,8570,9723,761,1321,798
b1553,b1553,0,0,0,0,0,0
b1554,b1554,5,4,10,4,1,1
b1555,b1555,2,8,9,2,2,0
b1556,b1556,1,9,4,2,4,2
b1557,b1557,3857,5065,5051,1130,2107,958
b1558,b1558,248,321,287,22,39,22
b1559,b1559,27,8,27,11,16,5
