gene_id,gene,CAZ_2,CAZ_3,CAZ_4,Wu_2,Wu_3,Wu_4
b0389,b0389,319,497,412,456,540,548
b0390,b0390,248,394,411,448,564,342
b0391,b0391,1019,1261,1375,888,959,1114
b0392,b0392,32,52,82,44,46,33
b0393,b0393,709,804,678,286,269,201
b0394,b0394,142,179,134,258,309,253
b0396,b0396,167,171,217,167,255,147
b0397,b0397,455,587,314,392,463,368
b0398,b0398,155,219,184,72,74,77
b0399,b0399,122,156,183,136,149,134
b0400,b0400,90,141,148,142,178,137
b0401,b0401,797,1198,926,2330,3300,2320
b0402,b0402,363,504,579,490,638,464
b0403,b0403,186,209,214,279,281,265
b0404,b0404,207,265,226,199,264,177
b0405,b0405,407,439,451,230,220,162
b0406,b0406,1928,2310,1892,774,834,629
b0407,b0407,734,956,726,498,569,471
b0408,b0408,1730,2071,1646,1898,2009,1399
b0409,b0409,1158,1439,1241,1739,2111,1739
b0410,b0410,250,357,433,230,211,267
b0411,b0411,462,602,700,737,690,713
b0412,b0412,426,525,727,422,253,371
b0413,b0413,638,855,1067,958,942,941
b0414,b0414,1283,1849,2475,2007,1872,1964
b0415,b0415,1370,1902,1911,914,870,888
b0416,b0416,1178,1463,1643,742,698,742
b0417,b0417,381,520,528,386,355,355
b0418,b0418,957,1340,2108,1146,1205,1154
b0419,b0419,1759,2465,2530,3739,4077,3923
b0420,b0420,1270,1438,1198,1209,1100,927
b0421,b0421,1217,1533,1581,1109,831,846
b0422,b0422,558,566,595,422,355,290
b0423,b0423,676,973,861,584,491,416
b0424,b0424,242,305,264,343,394,329
b0425,b0425,297,384,415,608,696,717
b0426,b0426,1018,1530,1167,1336,1982,1628
b0427,b0427,279,350,232,167,177,157
b0428,b0428,9433,11639,8028,5454,5629,5511
b0429,b0429,989,1269,640,581,675,626
b0430,b0430,2256,2516,1306,1208,1260,1167
b0431,b0431,15036,16538,11153,5571,5190,4238
b0432,b0432,13838,13985,11414,2926,2373,1637
b0433,b0433,656,607,547,316,321,209
b0434,b0434,865,964,864,418,261,227
b0435,b0435,4478,6456,5119,6354,9483,7121
b0436,b0436,9042,11125,10151,4477,4384,3477
b0437,b0437,3419,4597,5210,4620,5795,5109
b0438,b0438,6724,8747,8654,9604,13460,10269
b0439,b0439,2997,3941,5789,4607,6131,4804
